,ID,SEQUENCE,POS,PROJECT,FILE
50,71,merge local to builder,VB NN TO NN,hadoop,LocalResourcePBImpl.java
51,72,maybe init builder,RB JJ NN,hadoop,LocalResourcePBImpl.java
52,73,get size,VB NN,hadoop,LocalResourcePBImpl.java
53,74,set size,VB NN,hadoop,LocalResourcePBImpl.java
54,75,get timestamp,VB NN,hadoop,LocalResourcePBImpl.java
55,76,set timestamp,VB NN,hadoop,LocalResourcePBImpl.java
56,77,get type,VB NN,hadoop,LocalResourcePBImpl.java
57,78,set type,VB NN,hadoop,LocalResourcePBImpl.java
58,79,get resource,VB NN,hadoop,LocalResourcePBImpl.java
59,80,set resource,VB NN,hadoop,LocalResourcePBImpl.java
60,81,get visibility,VB NN,hadoop,LocalResourcePBImpl.java
61,82,set visibility,VB NN,hadoop,LocalResourcePBImpl.java
62,83,get pattern,VB NN,hadoop,LocalResourcePBImpl.java
63,84,set pattern,VB NN,hadoop,LocalResourcePBImpl.java
64,85,convert to proto format,VB TO NN NN,hadoop,LocalResourcePBImpl.java
65,86,convert from proto format,VB IN NN NN,hadoop,LocalResourcePBImpl.java
66,91,get diagnostic message,VB JJ NN,hadoop,ResourceFailedLocalizationEvent.java
67,92,join paths,VB NNS,hadoop,SwiftUtils.java
68,93,is directory,VBZ NN,hadoop,SwiftUtils.java
69,94,is file pretending to be directory,VBZ NN VBG TO VB NN,hadoop,SwiftUtils.java
70,95,is root dir,VBZ NN NN,hadoop,SwiftUtils.java
71,96,debug,VB,hadoop,SwiftUtils.java
72,97,debug ex,VB NN,hadoop,SwiftUtils.java
73,98,trace,VB,hadoop,SwiftUtils.java
74,99,partition filename from number,NN NN IN NN,hadoop,SwiftUtils.java
75,100,ls,VB,hadoop,SwiftUtils.java
76,101,file stats to string,NN NNS IN NN,hadoop,SwiftUtils.java
77,102,validate read args,VB VBN NNS,hadoop,SwiftUtils.java
78,103,test mk dir rm dir,VB VB NN VB NN,hadoop,AbstractContractMkdirTest.java
79,104,test mk dir rm rf dir,VB VB NN VB NNP NN,hadoop,AbstractContractMkdirTest.java
80,105,test no mkdir over file,VB JJ NNP IN NN,hadoop,AbstractContractMkdirTest.java
81,106,test mkdir over parent file,VB NNP IN NN NN,hadoop,AbstractContractMkdirTest.java
82,107,target to data,NN TO NN,hadoop,ZKFailoverController.java
83,108,data to target,NN TO NN,hadoop,ZKFailoverController.java
84,109,login as fc user,VB IN NNP NN,hadoop,ZKFailoverController.java
85,110,check rpc admin access,VB NNP NN NN,hadoop,ZKFailoverController.java
86,111,get rpc address to bind to,VB NNP NN TO VB TO,hadoop,ZKFailoverController.java
87,112,get policy provider,VB NN NN,hadoop,ZKFailoverController.java
88,113,get scope inside parent node,VB NN IN JJ NN,hadoop,ZKFailoverController.java
89,114,get local target,VB JJ NN,hadoop,ZKFailoverController.java
90,117,do run,VB VBP,hadoop,ZKFailoverController.java
91,118,bad arg,JJ NN,hadoop,ZKFailoverController.java
92,119,print usage,VB NN,hadoop,ZKFailoverController.java
93,120,format zk,VB FW,hadoop,ZKFailoverController.java
94,121,confirm format,VB NN,hadoop,ZKFailoverController.java
95,122,init hm,VB FW,hadoop,ZKFailoverController.java
96,123,init rpc,VB NNP,hadoop,ZKFailoverController.java
97,124,start rpc,VB NNP,hadoop,ZKFailoverController.java
98,125,init zk,VB FW,hadoop,ZKFailoverController.java
99,126,get parent znode,VB JJ NNP,hadoop,ZKFailoverController.java
100,127,main loop,JJ NN,hadoop,ZKFailoverController.java
101,128,fatal error,JJ NN,hadoop,ZKFailoverController.java
102,129,become active,VB JJ,hadoop,ZKFailoverController.java
103,130,record active attempt,VB JJ NN,hadoop,ZKFailoverController.java
104,131,wait for active attempt,VB IN JJ NN,hadoop,ZKFailoverController.java
105,132,create req info,VB NN NN,hadoop,ZKFailoverController.java
106,133,become standby,VB JJ,hadoop,ZKFailoverController.java
107,134,fence old active,VB JJ JJ,hadoop,ZKFailoverController.java
108,135,do fence,VB VBP,hadoop,ZKFailoverController.java
109,136,cede active,VB JJ,hadoop,ZKFailoverController.java
110,138,do cede active,VB VBP JJ,hadoop,ZKFailoverController.java
111,139,graceful failover to you,JJ NN TO PRP,hadoop,ZKFailoverController.java
112,141,do graceful failover,VB JJ NN,hadoop,ZKFailoverController.java
113,142,check eligible for failover,VB JJ IN NN,hadoop,ZKFailoverController.java
114,143,get current active,VB JJ JJ,hadoop,ZKFailoverController.java
115,144,recheck electability,VB NN,hadoop,ZKFailoverController.java
116,145,schedule recheck,NN VBP,hadoop,ZKFailoverController.java
117,147,verify changed service state,VB JJ NN NN,hadoop,ZKFailoverController.java
118,148,get last health state,VB JJ NN NN,hadoop,ZKFailoverController.java
119,149,set last health state,VB JJ NN NN,hadoop,ZKFailoverController.java
120,150,get elector for tests,VB NN IN NNS,hadoop,ZKFailoverController.java
121,151,get rpc server for tests,VB NNP NN IN NNS,hadoop,ZKFailoverController.java
122,154,enter neutral mode,VB JJ NN,hadoop,ZKFailoverController.java
123,155,notify fatal error,VB JJ NN,hadoop,ZKFailoverController.java
124,158,entered state,VBN NN,hadoop,ZKFailoverController.java
125,159,report service status,VB NN NN,hadoop,ZKFailoverController.java
126,160,set conf,VB NN,hadoop,StaticMapping.java
127,162,add node to rack,VB NN TO NN,hadoop,StaticMapping.java
128,163,resolve,VB,hadoop,StaticMapping.java
129,164,is single switch,VBZ JJ NN,hadoop,StaticMapping.java
130,165,get switch map,VB NN NN,hadoop,StaticMapping.java
131,167,reset map,VB NN,hadoop,StaticMapping.java
132,168,reload cached mappings,VB VBD NNS,hadoop,StaticMapping.java
133,170,from yarn,IN NN,hadoop,TypeConverter.java
134,172,to yarn,TO NN,hadoop,TypeConverter.java
135,173,from cluster time stamp,IN NN NN NN,hadoop,TypeConverter.java
136,174,to cluster time stamp,TO NN NN NN,hadoop,TypeConverter.java
137,198,from yarn nodes,IN NN NNS,hadoop,TypeConverter.java
138,200,from yarn apps,IN NN NNS,hadoop,TypeConverter.java
139,202,from yarn queue info,IN NN NN NN,hadoop,TypeConverter.java
140,203,from yarn queue user acls info,IN NN NN NN NNPS NN,hadoop,TypeConverter.java
141,204,get default retry policy,VB JJ VBP NN,hadoop,RetryUtils.java
142,205,should retry,MD VB,hadoop,RetryUtils.java
143,207,get multiple linear random retry,VB JJ JJ JJ VBP,hadoop,RetryUtils.java
144,208,set up,VB RP,hadoop,TestSwiftFileSystemLsOperations.java
145,209,create test subdirs,VB NN NNS,hadoop,TestSwiftFileSystemLsOperations.java
146,210,test list level test,VB VB NN NN,hadoop,TestSwiftFileSystemLsOperations.java
147,211,test list level test hadoop,VB VB NN NN NNP,hadoop,TestSwiftFileSystemLsOperations.java
148,212,test list status empty directory,VB VB NN JJ NN,hadoop,TestSwiftFileSystemLsOperations.java
149,213,test list status file,VB VB NN NN,hadoop,TestSwiftFileSystemLsOperations.java
150,214,test list empty root,VB VB JJ NN,hadoop,TestSwiftFileSystemLsOperations.java
151,215,test list non empty root,VB VB RB JJ NN,hadoop,TestSwiftFileSystemLsOperations.java
152,216,test list status root dir,VB VB NN JJ NN,hadoop,TestSwiftFileSystemLsOperations.java
153,217,test list status filtered,VB VB NN VBD,hadoop,TestSwiftFileSystemLsOperations.java
154,218,get datum,VB NN,hadoop,TaskFailedEvent.java
155,219,set datum,VB NN,hadoop,TaskFailedEvent.java
156,220,get task id,VB NN NN,hadoop,TaskFailedEvent.java
157,221,get error,VB NN,hadoop,TaskFailedEvent.java
158,222,get finish time,VB NN NN,hadoop,TaskFailedEvent.java
159,223,get task type,VB NN NN,hadoop,TaskFailedEvent.java
160,224,get failed attempt id,VB JJ NN NN,hadoop,TaskFailedEvent.java
161,225,get task status,VB NN NN,hadoop,TaskFailedEvent.java
162,226,get counters,VB NNS,hadoop,TaskFailedEvent.java
163,227,get event type,VB NN NN,hadoop,TaskFailedEvent.java
164,228,get select query,VB VB NN,hadoop,OracleDBRecordReader.java
165,229,set session time zone,VB NN NN NN,hadoop,OracleDBRecordReader.java
166,230,run command,VB NN,hadoop,TestQuota.java
167,232,test ds quota exceeded exception is human readable,VB FW NN VBN NN VBZ NN JJ,hadoop,TestQuota.java
168,233,test quota commands,VB NN NNS,hadoop,TestQuota.java
169,235,test namespace commands,VB NN NNS,hadoop,TestQuota.java
170,236,test space commands,VB NN NNS,hadoop,TestQuota.java
171,237,check content summary,VB NN NN,hadoop,TestQuota.java
172,238,test max space quotas,VB JJ NN NNS,hadoop,TestQuota.java
173,239,test block allocation adjusts usage conservatively,VB NN NN VBZ NN RB,hadoop,TestQuota.java
174,240,test multiple files smaller than one block,VB JJ NNS JJR IN CD NN,hadoop,TestQuota.java
175,241,register datanode,VB NN,hadoop,DatanodeProtocolServerSideTranslatorPB.java
176,242,send heartbeat,VB NN,hadoop,DatanodeProtocolServerSideTranslatorPB.java
177,243,block report,NN NN,hadoop,DatanodeProtocolServerSideTranslatorPB.java
178,244,cache report,NN NN,hadoop,DatanodeProtocolServerSideTranslatorPB.java
179,245,block received and deleted,NN VBN CC VBN,hadoop,DatanodeProtocolServerSideTranslatorPB.java
180,246,error report,NN NN,hadoop,DatanodeProtocolServerSideTranslatorPB.java
181,247,version request,NN NN,hadoop,DatanodeProtocolServerSideTranslatorPB.java
182,248,report bad blocks,VB JJ NNS,hadoop,DatanodeProtocolServerSideTranslatorPB.java
183,249,commit block synchronization,VB NN NN,hadoop,DatanodeProtocolServerSideTranslatorPB.java
184,250,log success,VB NN,hadoop,HSAuditLogger.java
185,251,create success log,VB NN NN,hadoop,HSAuditLogger.java
186,252,add remote ip,VB JJ NN,hadoop,HSAuditLogger.java
187,253,add,VB,hadoop,HSAuditLogger.java
188,254,start,VB,hadoop,HSAuditLogger.java
189,255,log failure,VB NN,hadoop,HSAuditLogger.java
190,256,create failure log,VB NN NN,hadoop,HSAuditLogger.java
191,257,get metrics,VB NNS,hadoop,MetricsSource.java
192,258,shutdown,NN,hadoop,TestAclConfigFlag.java
193,259,test modify acl entries,VB VB NNP NNS,hadoop,TestAclConfigFlag.java
194,260,test remove acl entries,VB VB NNP NNS,hadoop,TestAclConfigFlag.java
195,261,test remove default acl,VB VB JJ NNP,hadoop,TestAclConfigFlag.java
196,262,test remove acl,VB VB NNP,hadoop,TestAclConfigFlag.java
197,263,test set acl,VB VB NNP,hadoop,TestAclConfigFlag.java
198,264,test get acl status,VB VB NN NN,hadoop,TestAclConfigFlag.java
199,265,test edit log,VB VB NN,hadoop,TestAclConfigFlag.java
200,266,test fs image,VB NN NN,hadoop,TestAclConfigFlag.java
201,267,expect exception,VB NN,hadoop,TestAclConfigFlag.java
202,268,init cluster,VB NN,hadoop,TestAclConfigFlag.java
203,269,restart,VB,hadoop,TestAclConfigFlag.java
204,270,get server,VB NN,hadoop,RpcServerFactory.java
205,271,bind to,VB TO,hadoop,ConcatenatedInputFilesDemuxer.java
206,272,get next,VB NN,hadoop,ConcatenatedInputFilesDemuxer.java
207,273,close,VB,hadoop,ConcatenatedInputFilesDemuxer.java
208,274,read,VB,hadoop,ConcatenatedInputFilesDemuxer.java
209,278,next file name,JJ NN NN,hadoop,ConcatenatedInputFilesDemuxer.java
210,280,service init,NN VB,hadoop,LeveldbTimelineStore.java
211,281,service stop,NN VB,hadoop,LeveldbTimelineStore.java
212,283,get lock,VB NN,hadoop,LeveldbTimelineStore.java
213,284,return lock,VB NN,hadoop,LeveldbTimelineStore.java
214,285,new instance,JJ NN,hadoop,LeveldbTimelineStore.java
215,289,get bytes,VB NNS,hadoop,LeveldbTimelineStore.java
216,290,get bytes for lookup,VB NNS IN NN,hadoop,LeveldbTimelineStore.java
217,291,get next string,VB JJ NN,hadoop,LeveldbTimelineStore.java
218,292,get next long,VB JJ NN,hadoop,LeveldbTimelineStore.java
219,293,get offset,VB NN,hadoop,LeveldbTimelineStore.java
220,294,get entity,VB NN,hadoop,LeveldbTimelineStore.java
221,296,get entity timelines,VB NN NNS,hadoop,LeveldbTimelineStore.java
222,297,compare,VB,hadoop,LeveldbTimelineStore.java
223,298,prefix matches,NN VBZ,hadoop,LeveldbTimelineStore.java
224,299,get entities,VB NNS,hadoop,LeveldbTimelineStore.java
225,300,get entity by time,VB NN IN NN,hadoop,LeveldbTimelineStore.java
226,301,put,VB,hadoop,LeveldbTimelineStore.java
227,302,write primary filter entries,VB JJ NN NNS,hadoop,LeveldbTimelineStore.java
228,304,get start time,VB NN NN,hadoop,LeveldbTimelineStore.java
229,305,get start time long,VB NN NN NN,hadoop,LeveldbTimelineStore.java
230,306,get and set start time,VB CC VB NN NN,hadoop,LeveldbTimelineStore.java
231,307,check start time in db,VB NN NN IN NN,hadoop,LeveldbTimelineStore.java
232,308,create start time lookup key,VB NN NN NN NN,hadoop,LeveldbTimelineStore.java
233,309,create entity marker key,VB NN NN NN,hadoop,LeveldbTimelineStore.java
234,310,add primary filter to key,VB JJ NN TO NN,hadoop,LeveldbTimelineStore.java
235,311,create entity event key,VB NN NN NN,hadoop,LeveldbTimelineStore.java
236,312,get entity event,VB NN NN,hadoop,LeveldbTimelineStore.java
237,313,create primary filter key,VB NN NN NN,hadoop,LeveldbTimelineStore.java
238,314,add primary filter,VB JJ NN,hadoop,LeveldbTimelineStore.java
239,315,create other info key,VB JJ NN NN,hadoop,LeveldbTimelineStore.java
240,316,parse remaining key,VB JJ NN,hadoop,LeveldbTimelineStore.java
241,317,create related entity key,VB JJ NN NN,hadoop,LeveldbTimelineStore.java
242,318,add related entity,VB JJ NN,hadoop,LeveldbTimelineStore.java
243,319,create reverse related entity key,VB JJ JJ NN NN,hadoop,LeveldbTimelineStore.java
244,320,clear start time cache,VB NN NN NN,hadoop,LeveldbTimelineStore.java
245,321,get start time read cache size,VB NN NN VB NN NN,hadoop,LeveldbTimelineStore.java
246,322,get start time write cache size,VB NN NN VB NN NN,hadoop,LeveldbTimelineStore.java
247,323,get entity types,VB NN NNS,hadoop,LeveldbTimelineStore.java
248,324,delete keys with prefix,VB NNS IN NN,hadoop,LeveldbTimelineStore.java
249,325,delete next entity,VB JJ NN,hadoop,LeveldbTimelineStore.java
250,326,discard old entities,VB JJ NNS,hadoop,LeveldbTimelineStore.java
251,327,get db iterator,VB NN NN,hadoop,LeveldbTimelineStore.java
252,328,load version,VB NN,hadoop,LeveldbTimelineStore.java
253,329,store version,VB NN,hadoop,LeveldbTimelineStore.java
254,330,db store version,NN NN NN,hadoop,LeveldbTimelineStore.java
255,331,get current version,VB JJ NN,hadoop,LeveldbTimelineStore.java
256,332,check version,VB NN,hadoop,LeveldbTimelineStore.java
257,334,get container id,VB NN NN,hadoop,ContainerStartData.java
258,335,set container id,VB NN NN,hadoop,ContainerStartData.java
259,336,get allocated resource,VB JJ NN,hadoop,ContainerStartData.java
260,337,set allocated resource,VB JJ NN,hadoop,ContainerStartData.java
261,338,get assigned node,VB JJ NN,hadoop,ContainerStartData.java
262,339,set assigned node,VB JJ NN,hadoop,ContainerStartData.java
263,340,get priority,VB NN,hadoop,ContainerStartData.java
264,341,set priority,VB NN,hadoop,ContainerStartData.java
265,343,set start time,VB NN NN,hadoop,ContainerStartData.java
266,344,parse,VB,hadoop,ByteParam.java
267,345,get domain,VB NN,hadoop,ByteParam.java
268,346,test register node manager request,VB NN NN NN NN,hadoop,TestRegisterNodeManagerRequest.java
269,347,test register node manager request with null arrays,VB NN NN NN NN IN JJ NNS,hadoop,TestRegisterNodeManagerRequest.java
270,348,init,VB,hadoop,CrossOriginFilter.java
271,349,do filter,VB NN,hadoop,CrossOriginFilter.java
272,350,destroy,VB,hadoop,CrossOriginFilter.java
273,351,do cross filter,VB JJ NN,hadoop,CrossOriginFilter.java
274,352,get allowed headers header,VB VBN NNS NN,hadoop,CrossOriginFilter.java
275,353,get allowed methods header,VB VBN NNS NN,hadoop,CrossOriginFilter.java
276,354,initialize allowed methods,VB VBN NNS,hadoop,CrossOriginFilter.java
277,355,initialize allowed headers,VB VBN NNS,hadoop,CrossOriginFilter.java
278,356,initialize allowed origins,VB VBN NNS,hadoop,CrossOriginFilter.java
279,357,initialize max age,VB JJ NN,hadoop,CrossOriginFilter.java
280,358,encode header,VB NN,hadoop,CrossOriginFilter.java
281,359,is cross origin,VBZ JJ NN,hadoop,CrossOriginFilter.java
282,360,is origin allowed,VBZ NN VBD,hadoop,CrossOriginFilter.java
283,361,are headers allowed,VBP NNS VBD,hadoop,CrossOriginFilter.java
284,362,is method allowed,VBZ NN VBD,hadoop,CrossOriginFilter.java
285,364,get host,VB NN,hadoop,NodeIdPBImpl.java
286,365,set host,VB NN,hadoop,NodeIdPBImpl.java
287,366,get port,VB NN,hadoop,NodeIdPBImpl.java
288,367,set port,VB NN,hadoop,NodeIdPBImpl.java
289,368,build,VB,hadoop,NodeIdPBImpl.java
290,369,test reflect,VB VB,hadoop,AvroTestUtil.java
291,373,emit record,VB NN,hadoop,GangliaContext.java
292,374,emit metric,VB NN,hadoop,GangliaContext.java
293,375,get units,VB NNS,hadoop,GangliaContext.java
294,376,get slope,VB NN,hadoop,GangliaContext.java
295,377,get tmax,VB NNP,hadoop,GangliaContext.java
296,378,get dmax,VB NNP,hadoop,GangliaContext.java
297,379,xdr string,NNP NN,hadoop,GangliaContext.java
298,380,pad,NN,hadoop,GangliaContext.java
299,381,xdr int,NNP NN,hadoop,GangliaContext.java
300,383,tear down,VB RP,hadoop,TestMRCredentials.java
301,384,create keys as json,VB NNS IN NN,hadoop,TestMRCredentials.java
302,385,test,VB,hadoop,TestMRCredentials.java
303,386,transition,NN,hadoop,RMStateStore.java
304,391,get master container,VB NN NN,hadoop,RMStateStore.java
305,392,get attempt id,VB NN NN,hadoop,RMStateStore.java
306,393,get app attempt credentials,VB NN NN NNS,hadoop,RMStateStore.java
307,394,get state,VB NN,hadoop,RMStateStore.java
308,395,get final tracking url,VB JJ VBG NNP,hadoop,RMStateStore.java
309,396,get diagnostics,VB NNS,hadoop,RMStateStore.java
310,398,get final application status,VB JJ NN NN,hadoop,RMStateStore.java
311,399,get am container exit status,VB FW NN NN NN,hadoop,RMStateStore.java
312,400,get app id,VB NN NN,hadoop,RMStateStore.java
313,401,get submit time,VB NN NN,hadoop,RMStateStore.java
314,403,get attempt count,VB NN NN,hadoop,RMStateStore.java
315,404,get application submission context,VB NN NN NN,hadoop,RMStateStore.java
316,405,get attempt,VB NN,hadoop,RMStateStore.java
317,406,get user,VB NN,hadoop,RMStateStore.java
318,410,get token state,VB NN NN,hadoop,RMStateStore.java
319,411,get master key state,VB NN NN NN,hadoop,RMStateStore.java
320,412,get dt sequence number,VB NN NN NN,hadoop,RMStateStore.java
321,413,get application state,VB NN NN,hadoop,RMStateStore.java
322,414,get rm dt secret manager state,VB VB FW NN NN NN,hadoop,RMStateStore.java
323,415,get am rm token secret manager state,VB NN VB NN NN NN NN,hadoop,RMStateStore.java
324,416,set rm dispatcher,VB VB NN,hadoop,RMStateStore.java
325,418,service start,NN NN,hadoop,RMStateStore.java
326,419,init internal,VB NN,hadoop,RMStateStore.java
327,420,start internal,VB NN,hadoop,RMStateStore.java
328,422,close internal,VB NN,hadoop,RMStateStore.java
329,427,get and increment epoch,VB CC VB NN,hadoop,RMStateStore.java
330,428,load state,VB NN,hadoop,RMStateStore.java
331,429,store new application,VB JJ NN,hadoop,RMStateStore.java
332,430,update application state,VB NN NN,hadoop,RMStateStore.java
333,431,store application state internal,VB NN NN NN,hadoop,RMStateStore.java
334,432,update application state internal,JJ NN NN JJ,hadoop,RMStateStore.java
335,433,store new application attempt,VB JJ NN NN,hadoop,RMStateStore.java
336,434,update application attempt state,VB NN NN NN,hadoop,RMStateStore.java
337,435,store application attempt state internal,VB NN NN NN NN,hadoop,RMStateStore.java
338,436,update application attempt state internal,VB NN NN NN NN,hadoop,RMStateStore.java
339,437,store rm delegation token and sequence number,VB VB NN NN CC NN NN,hadoop,RMStateStore.java
340,438,store rm delegation token and sequence number state,VB VB NN NN CC NN NN NN,hadoop,RMStateStore.java
341,439,remove rm delegation token,VB VB NN NN,hadoop,RMStateStore.java
342,440,remove rm delegation token state,VB VB NN NN NN,hadoop,RMStateStore.java
343,441,update rm delegation token and sequence number,VB VB NN NN CC NN NN,hadoop,RMStateStore.java
344,442,update rm delegation token and sequence number internal,VB VB NN NN CC NN NN NN,hadoop,RMStateStore.java
345,443,store rm dt master key,VB VB FW NN NN,hadoop,RMStateStore.java
346,444,store rm dt master key state,VB VB FW NN JJ NN,hadoop,RMStateStore.java
347,445,remove rm dt master key,VB VB FW NN NN,hadoop,RMStateStore.java
348,446,remove rm dt master key state,VB VB FW NN NN NN,hadoop,RMStateStore.java
349,447,store or update am rm token secret manager state,VB CC VB NN VB NN JJ NN NN,hadoop,RMStateStore.java
350,448,remove application,VB NN,hadoop,RMStateStore.java
351,449,remove application state internal,VB NN NN NN,hadoop,RMStateStore.java
352,450,get credentials from app attempt,VB NNS IN NN NN,hadoop,RMStateStore.java
353,451,handle store event,VB NN NN,hadoop,RMStateStore.java
354,452,notify store operation failed,VB NN NN VBD,hadoop,RMStateStore.java
355,453,notify application,VB NN,hadoop,RMStateStore.java
356,454,notify application attempt,VB NN NN,hadoop,RMStateStore.java
357,455,handle,VB,hadoop,RMStateStore.java
358,456,delete store,VB NN,hadoop,RMStateStore.java
359,457,journal,NN,hadoop,JournalProtocol.java
360,458,start log segment,VB NN NN,hadoop,JournalProtocol.java
361,459,fence,VB,hadoop,JournalProtocol.java
362,460,test sorted map writable,VB VBD NN JJ,hadoop,TestSortedMapWritable.java
363,461,test foreign class,VB JJ NN,hadoop,TestSortedMapWritable.java
364,462,test equals and hash code,VB NNS CC NN NN,hadoop,TestSortedMapWritable.java
365,463,test put all,VB VBD DT,hadoop,TestSortedMapWritable.java
366,464,get scheme,VB NN,hadoop,HarFileSystem.java
367,465,initialize metadata cache,VB NNS NN,hadoop,HarFileSystem.java
368,466,initialize,VB,hadoop,HarFileSystem.java
369,467,get conf,VB NN,hadoop,HarFileSystem.java
370,468,get har version,VB NNP NN,hadoop,HarFileSystem.java
371,469,archive path,VB NN,hadoop,HarFileSystem.java
372,470,decode har uri,VB NNP NNP,hadoop,HarFileSystem.java
373,471,decode string,VB NN,hadoop,HarFileSystem.java
374,472,decode file name,VB NN NN,hadoop,HarFileSystem.java
375,473,get working directory,VB VBG NN,hadoop,HarFileSystem.java
376,474,get initial working directory,VB JJ VBG NN,hadoop,HarFileSystem.java
377,475,get status,VB NN,hadoop,HarFileSystem.java
378,476,get har auth,VB NNP NN,hadoop,HarFileSystem.java
379,477,get canonical uri,VB JJ NNP,hadoop,HarFileSystem.java
380,478,canonicalize uri,VB NNP,hadoop,HarFileSystem.java
381,479,get uri,VB NNP,hadoop,HarFileSystem.java
382,480,check path,VB NN,hadoop,HarFileSystem.java
383,481,resolve path,VB NN,hadoop,HarFileSystem.java
384,482,get path in har,VB NN IN NNP,hadoop,HarFileSystem.java
385,483,make relative,VB JJ,hadoop,HarFileSystem.java
386,484,make qualified,VB JJ,hadoop,HarFileSystem.java
387,485,fix block locations,VB NN NNS,hadoop,HarFileSystem.java
388,486,get file block locations,VB NN NN NNS,hadoop,HarFileSystem.java
389,487,get har hash,VB NNP NN,hadoop,HarFileSystem.java
390,488,file statuses in index,NN NNS IN NN,hadoop,HarFileSystem.java
391,489,to file status,TO NN NN,hadoop,HarFileSystem.java
392,490,is dir,VBZ NN,hadoop,HarFileSystem.java
393,491,get name,VB NN,hadoop,HarFileSystem.java
394,492,get part name,VB NN NN,hadoop,HarFileSystem.java
395,493,get start index,VB NN NN,hadoop,HarFileSystem.java
396,494,get length,VB NN,hadoop,HarFileSystem.java
397,495,get modification time,VB NN NN,hadoop,HarFileSystem.java
398,496,get file status,VB NN NN,hadoop,HarFileSystem.java
399,497,get file har status,VB NN NNP NN,hadoop,HarFileSystem.java
400,498,get file checksum,VB NN NN,hadoop,HarFileSystem.java
401,499,open,VB,hadoop,HarFileSystem.java
402,500,get child file systems,VB NN NN NNS,hadoop,HarFileSystem.java
