,ID,SEQUENCE,POS,PROJECT,FILE
38,38,Database Error,NN NN,pandas-main,__init__.py
39,39,Possible Precision Loss,JJ NN NN,pandas-main,__init__.py
40,40,Value Label Type Mismatch,NN NN NN NN,pandas-main,__init__.py
41,41,Invalid Column Name,JJ NN NN,pandas-main,__init__.py
42,42,Categorical Conversion Warning,JJ NN NN,pandas-main,__init__.py
43,43,Lossy Set item Error,JJ VB NN NN,pandas-main,__init__.py
44,44,No Buffer Present,DT NN JJ,pandas-main,__init__.py
45,45,Invalid Comparison,JJ NN,pandas-main,__init__.py
46,46,Subclassed Series,VBN NNS,pandas-main,__init__.py
47,47,Subclassed Data Frame,VBN NNS NN,pandas-main,__init__.py
48,48,Plot Accessor,NN NN,pandas-main,_core.py
49,49,Options,NNS,pandas-main,_misc.py
50,50,Hist Plot,NNP NN,pandas-main,hist.py
51,51,Kde Plot,NNP NN,pandas-main,hist.py
52,52,MPL Plot,NNP NN,pandas-main,core.py
53,53,Plane Plot,NN NN,pandas-main,core.py
54,54,Scatter Plot,NN NN,pandas-main,core.py
55,55,Hex Bin Plot,NN JJ NN,pandas-main,core.py
56,56,Line Plot,NN NN,pandas-main,core.py
57,57,Area Plot,NN NN,pandas-main,core.py
58,58,Bar Plot,NN NN,pandas-main,core.py
59,59,Barh Plot,NNP NN,pandas-main,core.py
60,60,Pie Plot,NN NN,pandas-main,core.py
61,61,Box Plot,NN NN,pandas-main,boxplot.py
62,62,BP,NNP,pandas-main,boxplot.py
63,63,Time Converter,NN NN,pandas-main,converter.py
64,64,Time Formatter,NN NN,pandas-main,converter.py
65,65,Period Converter,NN NN,pandas-main,converter.py
66,66,Datetime Converter,NN NN,pandas-main,converter.py
67,67,Pandas Auto Date Formatter,NNP JJ NN NN,pandas-main,converter.py
68,68,Pandas Auto Date Locator,NNP JJ NN NN,pandas-main,converter.py
69,69,Milli Second Locator,NN NN NNP,pandas-main,converter.py
70,70,Time Series Date Locator,NN NNS NN NN,pandas-main,converter.py
71,71,Time Series Date Formatter,NN NNS NN NN,pandas-main,converter.py
72,72,Time Series Timedelta Formatter,NN NNS NNP NN,pandas-main,converter.py
73,73,Data Frame,NN NN,pandas-main,frame.py
74,74,Index Slice,NN NN,pandas-main,indexing.py
75,75,Indexing Mixin,VBG NN,pandas-main,indexing.py
76,76,Location Indexer,NN NN,pandas-main,indexing.py
77,77,Loc Indexer,NN NN,pandas-main,indexing.py
78,78,i Loc Indexer,PRP NN NN,pandas-main,indexing.py
79,79,Scalar Access Indexer,NN NN NN,pandas-main,indexing.py
80,80,At Indexer,IN NNP,pandas-main,indexing.py
81,81,i At Indexer,PRP IN NNP,pandas-main,indexing.py
82,82,Flags,NNS,pandas-main,flags.py
83,83,disallow,VB,pandas-main,nanops.py
84,84,bottleneck switch,NN NN,pandas-main,nanops.py
85,85,ND Frame,NNP NN,pandas-main,generic.py
86,86,Pandas Object,NNP NN,pandas-main,base.py
87,87,No New Attributes Mixin,DT JJ NNS NN,pandas-main,base.py
88,88,Selection Mixin,NN NN,pandas-main,base.py
89,89,Index Ops Mixin,NN NN NN,pandas-main,base.py
90,90,Dir Names Mixin,NN NNS NN,pandas-main,accessor.py
91,91,Pandas Delegate,NNP NN,pandas-main,accessor.py
92,92,Cached Accessor,VBN NN,pandas-main,accessor.py
93,93,Ops Mixin,NN NN,pandas-main,arraylike.py
94,94,Series,NN,pandas-main,series.py
95,95,Resampler,NNP,pandas-main,resample.py
96,96,Group By Mixin,NN IN NNP,pandas-main,resample.py
97,97,Datetime Index Resampler,NN NN NNP,pandas-main,resample.py
98,98,Datetime Index Resampler Groupby,NN NN NNP NNP,pandas-main,resample.py
99,99,Period Index Resampler,NN NN NNP,pandas-main,resample.py
100,100,Period Index Resampler Groupby,NN NN NNP NNP,pandas-main,resample.py
101,101,Timedelta Index Resampler,NNP NN NNP,pandas-main,resample.py
102,102,Timedelta Index Resampler Groupby,NNP NN NNP NNP,pandas-main,resample.py
103,103,Time Grouper,NN NN,pandas-main,resample.py
104,104,Multi Index U Int Engine,JJ NN FW NNP NN,pandas-main,multi.py
105,105,Multi Index Py Int Engine,JJ NN FW NNP NN,pandas-main,multi.py
106,106,Multi Index,JJ NN,pandas-main,multi.py
107,107,Period Index,NN NN,pandas-main,period.py
108,108,Interval Index,NN NN,pandas-main,interval.py
109,109,Extension Index,NN NN,pandas-main,extension.py
110,110,ND Array Backed Extension Index,NNP NN VBN NN NN,pandas-main,extension.py
111,111,Properties,NNS,pandas-main,accessors.py
112,112,Arrow Temporal Properties,NN JJ NNS,pandas-main,accessors.py
113,113,Datetime Properties,NN NNS,pandas-main,accessors.py
114,114,Timedelta Properties,NNP NNS,pandas-main,accessors.py
115,115,Period Properties,NN NNS,pandas-main,accessors.py
116,116,Combined Datetime like Properties,VBN NN IN NNS,pandas-main,accessors.py
117,117,Index,NN,pandas-main,base.py
118,118,Range Index,NN NN,pandas-main,range.py
119,119,Datetime Index,NN NN,pandas-main,datetimes.py
120,120,Categorical Index,JJ NN,pandas-main,category.py
121,121,Timedelta Index,NNP NNP,pandas-main,timedeltas.py
122,122,Datetime Index Ops Mixin,NN NN NN NN,pandas-main,datetimelike.py
123,123,Datetime Timedelta Mixin,NNP NNP NNP,pandas-main,datetimelike.py
124,124,Pandas Buffer,NNP NN,pandas-main,buffer.py
125,125,Pandas Buffer Py arrow,NNP NN NNP NN,pandas-main,buffer.py
126,126,Pandas Data Frame X chg,NNP NNS NN FW NNP,pandas-main,dataframe.py
127,127,Pandas Column,NNP NN,pandas-main,column.py
128,128,Dl pack Device Type,NNP NN NN NN,pandas-main,dataframe_protocol.py
129,129,D type Kind,NN NN NN,pandas-main,dataframe_protocol.py
130,130,Column Null Type,NN JJ NN,pandas-main,dataframe_protocol.py
131,131,Column Buffers,NN NNS,pandas-main,dataframe_protocol.py
132,132,Categorical Description,JJ NN,pandas-main,dataframe_protocol.py
133,133,Buffer,NN,pandas-main,dataframe_protocol.py
134,134,Column,NN,pandas-main,dataframe_protocol.py
135,136,Arrow C Types,NN FW NNS,pandas-main,utils.py
136,137,Endianness,NN,pandas-main,utils.py
137,138,Year Month Day Dict,NN NN NN NN,pandas-main,datetimes.py
138,139,Full datetime Dict,JJ NN NN,pandas-main,datetimes.py
139,140,Index Type,NN NN,pandas-main,extensions.py
140,141,Series Type,NN NN,pandas-main,extensions.py
141,142,Index Model,NN NN,pandas-main,extensions.py
142,143,Series Model,NN NN,pandas-main,extensions.py
143,144,Iloc Type,NNP NN,pandas-main,extensions.py
144,145,I Loc Model,PRP NN NN,pandas-main,extensions.py
145,146,Py Tables Scope,NNP NNS NN,pandas-main,pytables.py
146,147,Term,NN,pandas-main,pytables.py
147,148,Constant,NN,pandas-main,pytables.py
148,149,Bin Op,JJ NN,pandas-main,pytables.py
149,150,Filter Bin Op,NN JJ NN,pandas-main,pytables.py
150,151,Joint Filter Bin Op,JJ NN JJ NN,pandas-main,pytables.py
151,152,Condition Bin Op,NN NN NN,pandas-main,pytables.py
152,153,Joint Condition Bin Op,JJ NN NN NN,pandas-main,pytables.py
153,154,Unary Op,JJ NN,pandas-main,pytables.py
154,155,Py Tables Expr Visitor,NNP NNS NN NN,pandas-main,pytables.py
155,156,Py Tables Expr,NNP NNS NN,pandas-main,pytables.py
156,157,Term Value,NN NN,pandas-main,pytables.py
157,158,Deep Chain Map,JJ NN NN,pandas-main,scope.py
158,159,Scope,NN,pandas-main,scope.py
159,162,Op,NN,pandas-main,ops.py
160,164,Div,NNP,pandas-main,ops.py
161,166,Math Call,NN NN,pandas-main,ops.py
162,167,Func Node,NN NN,pandas-main,ops.py
163,168,Abstract Engine,JJ NN,pandas-main,engines.py
164,169,Num Expr Engine,NN NN NN,pandas-main,engines.py
165,170,Python Engine,NNP NN,pandas-main,engines.py
166,171,Base Expr Visitor,JJ NN NN,pandas-main,expr.py
167,172,Pandas Expr Visitor,NNP NN NN,pandas-main,expr.py
168,173,Python Expr Visitor,NNP NN NN,pandas-main,expr.py
169,174,Expr,NN,pandas-main,expr.py
170,175,Group By Indexing Mixin,VB IN NN NN,pandas-main,indexing.py
171,176,Group By Positional Selector,VB IN JJ NN,pandas-main,indexing.py
172,177,Group By Nth Selector,VB IN NNP NN,pandas-main,indexing.py
173,178,Wrapped Cython Op,JJ NNP NN,pandas-main,ops.py
174,179,Base Grouper,JJ NN,pandas-main,ops.py
175,180,Bin Grouper,JJ NN,pandas-main,ops.py
176,181,Data Splitter,NNS NN,pandas-main,ops.py
177,182,Series Splitter,NN NN,pandas-main,ops.py
178,183,Frame Splitter,NN NN,pandas-main,ops.py
179,184,Named Agg,VBN NNP,pandas-main,generic.py
180,185,Series Group By,NN VB IN,pandas-main,generic.py
181,186,Data Frame Group By,NN NN VB IN,pandas-main,generic.py
182,187,Output Key,NN NN,pandas-main,base.py
183,188,Grouper,NN,pandas-main,grouper.py
184,189,Grouping,NN,pandas-main,grouper.py
185,190,Group By Plot,NN IN NN,pandas-main,groupby.py
186,191,Base Group By,JJ NN RB,pandas-main,groupby.py
187,192,Group By,VB IN,pandas-main,groupby.py
188,193,Join Unit,NN NN,pandas-main,concat.py
189,194,Block,NN,pandas-main,blocks.py
190,195,EA Backed Block,NNP VBN NN,pandas-main,blocks.py
191,196,Extension Block,NN NN,pandas-main,blocks.py
192,197,Numpy Block,NNP NN,pandas-main,blocks.py
193,198,ND Array Backed Extension Block,NNP NN VBN NN NN,pandas-main,blocks.py
194,199,Datetime Like Block,NN IN NN,pandas-main,blocks.py
195,200,Datetime TZ Block,NN NNP NN,pandas-main,blocks.py
196,201,Block Pair Info,NN NN NN,pandas-main,ops.py
197,202,Base Block Manager,NN NN NN,pandas-main,managers.py
198,203,Block Manager,NN NN,pandas-main,managers.py
199,204,Single Block Manager,JJ NN NN,pandas-main,managers.py
200,205,Concatenator,NN,pandas-main,concat.py
201,206,Merge Operation,VB NN,pandas-main,merge.py
202,207,Ordered Merge,VBN VB,pandas-main,merge.py
203,208,As Of Merge,IN IN VB,pandas-main,merge.py
204,209,Unstacker,NN,pandas-main,reshape.py
205,210,Extension D type,NN NN NN,pandas-main,base.py
206,211,Storage Extension D type,NN NN NN NN,pandas-main,base.py
207,212,Registry,NN,pandas-main,base.py
208,213,Pandas Extension D type,NNP NN NN NN,pandas-main,dtypes.py
209,214,Categorical D type Type,JJ NN NN NN,pandas-main,dtypes.py
210,215,Categorical D type,JJ NN NN,pandas-main,dtypes.py
211,216,Datetime TZD type,NN NN NN,pandas-main,dtypes.py
212,217,Period D type,NN NN NN,pandas-main,dtypes.py
213,218,Interval D type,NN NN NN,pandas-main,dtypes.py
214,219,Numpy EAD type,NNP NNP NN,pandas-main,dtypes.py
215,220,Base Masked D type,JJ VBN NN NN,pandas-main,dtypes.py
216,221,Sparse D type,JJ NN NN,pandas-main,dtypes.py
217,222,Arrow D type,NN NN NN,pandas-main,dtypes.py
218,223,ND Frame Describer Abstract,NNP NN NN NN,pandas-main,describe.py
219,224,Series Describer,NN NN,pandas-main,describe.py
220,225,Data Frame Describer,NN NN NN,pandas-main,describe.py
221,226,Select N,VB CD,pandas-main,selectn.py
222,227,Select N Series,VB CD NNS,pandas-main,selectn.py
223,228,Select N Frame,VB CD NN,pandas-main,selectn.py
224,229,Object String Array Mixin,NN NN NN NN,pandas-main,object_array.py
225,230,Base String Array Methods,JJ NN NN NNS,pandas-main,base.py
226,231,String Methods,NN NNS,pandas-main,accessor.py
227,232,String D type,NN NN NN,pandas-main,string_.py
228,233,Base String Array,JJ NN NN,pandas-main,string_.py
229,234,String Array,NN NN,pandas-main,string_.py
230,235,Period Array,NN NN,pandas-main,period.py
231,236,Numpy Extension Array,NN NN NN,pandas-main,numpy_.py
232,237,Interval Array,NN NN,pandas-main,interval.py
233,238,Numeric D type,JJ NN NN,pandas-main,numeric.py
234,239,Numeric Array,JJ NN,pandas-main,numeric.py
235,240,Base Masked Array,JJ VBN NN,pandas-main,masked.py
236,241,ND Array Backed Extension Array,NNP NN VBN NN NN,pandas-main,_mixins.py
237,242,Boolean D type,NN NN NN,pandas-main,boolean.py
238,243,Boolean Array,NN NN,pandas-main,boolean.py
239,244,Extension Array,NN NN,pandas-main,base.py
240,245,Extension Array Supports Any All,NN NN VBZ DT DT,pandas-main,base.py
241,246,Extension Ops Mixin,NN NN NN,pandas-main,base.py
242,247,Extension Scalar Ops Mixin,NN NN NN NN,pandas-main,base.py
243,248,Arrow String Array Mixin,NN NN NN NN,pandas-main,_arrow_string_mixins.py
244,249,Datetime Array,NN NN,pandas-main,datetimes.py
245,250,Floating D type,JJ NN NN,pandas-main,floating.py
246,251,Floating Array,JJ NN,pandas-main,floating.py
247,252,Float32 D type,NNP NN NN,pandas-main,floating.py
248,253,Float64 D type,NNP NN NN,pandas-main,floating.py
249,254,Categorical,JJ,pandas-main,categorical.py
250,255,Categorical Accessor,JJ NN,pandas-main,categorical.py
251,256,Arrow String Array,NN NN NN,pandas-main,string_arrow.py
252,257,Arrow String Array Numpy Semantics,NN NN NN NNP NN,pandas-main,string_arrow.py
253,258,Integer D type,NN NN NN,pandas-main,integer.py
254,259,Integer Array,NN NN,pandas-main,integer.py
255,260,Int8 D type,NNP NN NN,pandas-main,integer.py
256,261,Int16 D type,NNP NN NN,pandas-main,integer.py
257,262,Int32 D type,NNP NN NN,pandas-main,integer.py
258,263,Int64 D type,NN NN NN,pandas-main,integer.py
259,264,UInt8 D type,NNP NN NN,pandas-main,integer.py
260,265,UInt16 D type,NNP NN NN,pandas-main,integer.py
261,266,UInt32 D type,NNP NN NN,pandas-main,integer.py
262,267,UInt64 D type,NNP NN NN,pandas-main,integer.py
263,268,Timedelta Array,NNP NN,pandas-main,timedeltas.py
264,269,Datetime Like Array Mixin,NN IN NN NN,pandas-main,datetimelike.py
265,270,Date like Ops,NN IN NN,pandas-main,datetimelike.py
266,271,Time like Ops,NN IN NN,pandas-main,datetimelike.py
267,272,Base Accessor,JJ NN,pandas-main,accessor.py
268,273,Sparse Accessor,JJ NN,pandas-main,accessor.py
269,274,Sparse Frame Accessor,JJ NN NN,pandas-main,accessor.py
270,275,ellipsis,NN,pandas-main,array.py
271,276,Sparse Array,JJ NN,pandas-main,array.py
272,277,Arrow Period Type,NN NN NN,pandas-main,extension_types.py
273,278,Arrow Interval Type,NN NN NN,pandas-main,extension_types.py
274,279,Forbidden Extension Type,JJ NN NN,pandas-main,extension_types.py
275,280,Arrow Accessor,NN NN,pandas-main,accessors.py
276,281,List Accessor,NN NN,pandas-main,accessors.py
277,282,Struct Accessor,NN NN,pandas-main,accessors.py
278,283,Arrow Extension Array,NN NN NN,pandas-main,array.py
279,284,Base Indexer,JJ NN,pandas-main,objects.py
280,285,Fixed Window Indexer,JJ NN NN,pandas-main,objects.py
281,286,Variable Window Indexer,JJ NN NN,pandas-main,objects.py
282,287,Variable Offset Window Indexer,JJ NN NN NN,pandas-main,objects.py
283,288,Expanding Indexer,JJ NN,pandas-main,objects.py
284,289,Fixed Forward Window Indexer,JJ JJ NN NN,pandas-main,objects.py
285,290,Groupby Indexer,NNP NN,pandas-main,objects.py
286,291,Exponential Moving Window Indexer,JJ JJ NN NN,pandas-main,objects.py
287,292,Exponential Moving Window,JJ JJ NN,pandas-main,ewm.py
288,293,Exponential Moving Window Groupby,JJ JJ NN NNP,pandas-main,ewm.py
289,294,Online Exponential Moving Window,JJ JJ JJ NN,pandas-main,ewm.py
290,295,EWM Mean State,NNP JJ NNP,pandas-main,online.py
291,296,Base Window,JJ NN,pandas-main,rolling.py
292,297,Base Window Groupby,JJ NN NNP,pandas-main,rolling.py
293,298,Window,NN,pandas-main,rolling.py
294,299,Rolling And Expanding Mixin,JJ CC JJ NN,pandas-main,rolling.py
295,300,Rolling,JJ,pandas-main,rolling.py
296,301,Rolling Groupby,JJ NNP,pandas-main,rolling.py
297,302,Expanding,JJ,pandas-main,expanding.py
298,303,Expanding Groupby,JJ NNP,pandas-main,expanding.py
299,304,Test nanops Data Frame,VB NNPS NN NN,pandas-main,test_nanops.py
300,305,Test Ensure Numeric,VB VB NNP,pandas-main,test_nanops.py
301,306,Test Nan var Fixed Values,VB NNP NN VBN NNS,pandas-main,test_nanops.py
302,307,Test Nan skew Fixed Values,VB NNP JJ VBN NNS,pandas-main,test_nanops.py
303,308,Test Nan kurt Fixed Values,VB NNP NNP VBN NNS,pandas-main,test_nanops.py
304,309,Test Datetime 64 Na N Ops,VB NNP CD NNP NN NN,pandas-main,test_nanops.py
305,310,Test Factorize,VB VB,pandas-main,test_algos.py
306,311,Test Unique,VB JJ,pandas-main,test_algos.py
307,312,Test I sin,NN PRP NNP,pandas-main,test_algos.py
308,313,Like Nan,IN NNP,pandas-main,test_algos.py
309,314,Test Value Counts,VB NN NNS,pandas-main,test_algos.py
310,315,Test Duplicated,VB VBN,pandas-main,test_algos.py
311,316,Test Hash Table,VB NN NN,pandas-main,test_algos.py
312,317,Test Rank,VB NN,pandas-main,test_algos.py
313,318,Test Mode,VB NN,pandas-main,test_algos.py
314,319,Test Diff,VB NN,pandas-main,test_algos.py
315,320,Test Take,VB VB,pandas-main,test_take.py
316,321,Test Extension Take,VB NN VB,pandas-main,test_take.py
317,322,X,FW,pandas-main,test_register_accessor.py
318,323,My Accessor,PRP$ NN,pandas-main,test_register_accessor.py
319,324,Bad,JJ,pandas-main,test_register_accessor.py
320,325,some call,DT NN,pandas-main,test_common.py
321,326,Test Is Bool Indexer,NN VBZ NN NN,pandas-main,test_common.py
322,327,My List,PRP$ NN,pandas-main,test_common.py
323,328,Test Flags,VB NNS,pandas-main,test_flags.py
324,329,Test Multi Level,NN JJ NN,pandas-main,test_multilevel.py
325,330,Test Sorted,VB VBN,pandas-main,test_multilevel.py
326,331,Test Expressions,VB NNS,pandas-main,test_expressions.py
327,332,My Class,PRP$ NN,pandas-main,test_downstream.py
328,333,Foo,NNP,pandas-main,test_errors.py
329,334,Test Sorting,VB NN,pandas-main,test_sorting.py
330,335,Test Merge,VB VB,pandas-main,test_sorting.py
331,336,Test Safe Sort,VB JJ NN,pandas-main,test_sorting.py
332,337,My EA,PRP$ NNP,pandas-main,test_extension.py
333,338,Test Extension Array,VB NN NN,pandas-main,test_extension.py
334,339,Test Masked Arrays,VB VBN NNS,pandas-main,test_masked.py
335,340,Test 2 D Compat,VB CD NN NN,pandas-main,test_masked.py
336,341,Test Sparse Array,VB JJ NN,pandas-main,test_sparse.py
337,342,Test String Array,VB NN NN,pandas-main,test_string.py
338,344,Test Interval Array,VB NN NN,pandas-main,test_interval.py
339,345,Test Arrow Array,VB NN NN,pandas-main,test_arrow.py
340,346,Test Logical Ops,VB NN NNS,pandas-main,test_arrow.py
341,347,Old Arrow Extension Array,JJ NN NN NN,pandas-main,test_arrow.py
342,348,Dummy D type,JJ NN NN,pandas-main,test_common.py
343,349,Dummy Array,JJ NN,pandas-main,test_common.py
344,350,Test Extension Array D type,VB NN NN NN NN,pandas-main,test_common.py
345,351,Capturing String Array,VBG NN NN,pandas-main,test_common.py
346,352,Test Numpy Extension Array,VB NN NN NN,pandas-main,test_numpy.py
347,354,Test Datetime Array,VB NN NN,pandas-main,test_datetime.py
348,356,Test Period Array,VB NN NN,pandas-main,test_period.py
349,358,Test Categorical,VB JJ,pandas-main,test_categorical.py
350,360,Float Attr D type,NN NN NN NN,pandas-main,array.py
351,361,Float Attr Array,NN NN NN,pandas-main,array.py
352,362,List D type,NN NN NN,pandas-main,array.py
353,363,List Array,NN NN,pandas-main,array.py
354,364,Date D type,NN NN NN,pandas-main,array.py
355,365,Date Array,NN NN,pandas-main,array.py
356,366,Base Set item Tests,JJ NN NN NNS,pandas-main,setitem.py
357,367,Base Parsing Tests,JJ VBG NNS,pandas-main,io.py
358,368,Base Casting Tests,JJ VBG NNS,pandas-main,casting.py
359,369,Base Reduce Tests,JJ VB NNS,pandas-main,reduce.py
360,370,Base Printing Tests,JJ VBG NNS,pandas-main,printing.py
361,371,Base Missing Tests,JJ VBG NNS,pandas-main,missing.py
362,372,Base Ops Util,JJ NNS NN,pandas-main,ops.py
363,373,Base Arithmetic Ops Tests,JJ JJ NNS NNS,pandas-main,ops.py
364,374,Base Comparison Ops Tests,JJ NN NNS NNS,pandas-main,ops.py
365,375,Base Unary Ops Tests,JJ JJ NNS NNS,pandas-main,ops.py
366,376,Base Accumulate Tests,JJ VB NNS,pandas-main,accumulate.py
367,377,Base D type Tests,JJ NN NN NNS,pandas-main,dtype.py
368,378,Base Constructors Tests,JJ NNS NNS,pandas-main,constructors.py
369,379,Base Extension Tests,JJ NN NNS,pandas-main,base.py
370,380,Dim 2 Compat Tests,NN CD NN NNS,pandas-main,dim2.py
371,381,ND Array Backed 2D Tests,NNP NN VBN NNP NNS,pandas-main,dim2.py
372,382,Base Interface Tests,JJ NN NNS,pandas-main,interface.py
373,383,Base Get item Tests,JJ VB NN NNS,pandas-main,getitem.py
374,384,Base Index Tests,JJ NN NNS,pandas-main,index.py
375,385,Base Methods Tests,JJ NNS NNS,pandas-main,methods.py
376,386,Extension Tests,NN NNS,pandas-main,__init__.py
377,387,Base Reshaping Tests,JJ VBG NNS,pandas-main,reshaping.py
378,388,Base Groupby Tests,JJ NNP NNS,pandas-main,groupby.py
379,389,JSOND type,NNP NN,pandas-main,array.py
380,390,JSON Array,NNP NN,pandas-main,array.py
381,391,Test JSON Array,VB NNP NN,pandas-main,test_json.py
382,392,Decimal D type,JJ NN NN,pandas-main,array.py
383,393,Decimal Array,JJ NN,pandas-main,array.py
384,394,Test Decimal Array,VB JJ NN,pandas-main,test_decimal.py
385,395,Decimal Array Without From Sequence,JJ NN IN IN NN,pandas-main,test_decimal.py
386,396,Decimal Array Without Coercion,JJ NN IN NN,pandas-main,test_decimal.py
387,397,Test Set Ops,VB NN NNS,pandas-main,test_setops.py
388,398,Test Set Ops Unsorted,VB NN NNS JJ,pandas-main,test_setops.py
389,400,Test Contains,VB VBZ,pandas-main,test_indexing.py
390,401,Test Get Loc,VB VB NN,pandas-main,test_indexing.py
391,402,E,FW,pandas-main,test_indexing.py
392,403,Test Get Indexer,VB VB NN,pandas-main,test_indexing.py
393,404,Test Convert Slice Indexer,VB VB NN NN,pandas-main,test_indexing.py
394,405,Test Put mask,VB VB NN,pandas-main,test_indexing.py
395,406,Custom Index,JJ NN,pandas-main,test_subclass.py
396,407,Test Datetime Engine,VB NN NN,pandas-main,test_engines.py
397,408,Test Timedelta Engine,VB NNP NN,pandas-main,test_engines.py
398,409,Test Numeric Engine,VB JJ NN,pandas-main,test_engines.py
399,410,Test Object Engine,VB NN NN,pandas-main,test_engines.py
400,411,Test Datetime Like,VB NN NNP,pandas-main,test_datetimelike.py
401,412,Test Common,VB JJ,pandas-main,test_common.py
402,413,Test Conversion,VB NN,pandas-main,test_any_index.py
403,414,Test Round Trips,VB NN NNS,pandas-main,test_any_index.py
404,415,Test Indexing,VB VBG,pandas-main,test_any_index.py
405,416,Test Rendering,VB VBG,pandas-main,test_any_index.py
406,417,Test Reductions,VB NNS,pandas-main,test_any_index.py
407,418,Test Index Constructor Inference,VB NN NN NN,pandas-main,test_index_new.py
408,419,Test D type Enforced,VB NN NN VBN,pandas-main,test_index_new.py
409,420,Test Index Constructor Unwrapping,VB NN NN VBG,pandas-main,test_index_new.py
410,421,Array Like,NN IN,pandas-main,test_index_new.py
411,422,Test Index Construction Errors,VB NN NN NNS,pandas-main,test_index_new.py
412,423,Test Base,VB NN,pandas-main,test_old_base.py
413,424,Test Numeric Base,VB JJ NN,pandas-main,test_old_base.py
414,425,Test Index,VB NN,pandas-main,test_base.py
415,426,Test Mixed Int Index,VB VBN NN NN,pandas-main,test_base.py
416,427,Test Index Utils,VB NN NNS,pandas-main,test_base.py
417,428,Test Timedelta Index,VB NNP NN,pandas-main,test_setops.py
418,429,Test Timedelta Index Difference,VB NNP NN NN,pandas-main,test_setops.py
419,431,Test Get Item,VB VB NN,pandas-main,test_indexing.py
420,434,Test Where,VB WRB,pandas-main,test_indexing.py
421,436,Test Maybe Cast Slice Bound,VB RB VB NN NN,pandas-main,test_indexing.py
422,438,Test Vectorized Timedelta,VB VBN NNP,pandas-main,test_scalar_compat.py
423,439,Test Freq,VB NN,pandas-main,test_freq_attr.py
424,440,Test Timedelta Index Arithmetic,VB NNP NN JJ,pandas-main,test_arithmetic.py
425,441,Test Pickle,VB NN,pandas-main,test_pickle.py
426,442,Test Timedelta Index Ops,VB NNP NN NNS,pandas-main,test_ops.py
427,444,Test Timedelta Index Delete,VB NNP NN NN,pandas-main,test_delete.py
428,445,Test Timedeltas,VB NNP,pandas-main,test_timedelta_range.py
429,446,Test Join,VB VB,pandas-main,test_join.py
430,447,Test Search Sorted,VB NN VBN,pandas-main,test_searchsorted.py
431,448,Test Timedelta Index Rendering,VB NNP NN VBG,pandas-main,test_formats.py
432,449,Test Timedelta Index Factorize,VB NNP NN VBB,pandas-main,test_factorize.py
433,450,Test Timedelta Index Shift,VB NNP NN VB,pandas-main,test_shift.py
434,452,Test Timedelta Index Insert,VB NNP NN NN,pandas-main,test_insert.py
435,453,Test Repeat,VB NN,pandas-main,test_repeat.py
436,454,Test Fill NA,VB VB NNP,pandas-main,test_fillna.py
437,456,Test Set Ops Sort,VB VB NNS NN,pandas-main,test_setops.py
