ID,SEQUENCE,POS,PROJECT,FILE
112,purge shards,VB NNS,elasticsearch,IndicesTTLService.java
113,set scorer,VB NN,elasticsearch,IndicesTTLService.java
114,needs scores,VBZ NNS,elasticsearch,IndicesTTLService.java
115,collect,VB,elasticsearch,IndicesTTLService.java
116,do set next reader,VB VB JJ NN,elasticsearch,IndicesTTLService.java
117,get docs to purge,VB NNS TO VB,elasticsearch,IndicesTTLService.java
118,process bulk if needed,VB NN IN VBN,elasticsearch,IndicesTTLService.java
119,on response,IN NN,elasticsearch,IndicesTTLService.java
120,on failure,IN NN,elasticsearch,IndicesTTLService.java
121,await,VB,elasticsearch,IndicesTTLService.java
122,set timeout,VB NN,elasticsearch,IndicesTTLService.java
123,get timeout,VB NN,elasticsearch,IndicesTTLService.java
124,do notify,VB VB,elasticsearch,IndicesTTLService.java
125,visit other,VB DT,elasticsearch,DefaultBindingScopingVisitor.java
126,visit eager singleton,VB JJ NN,elasticsearch,DefaultBindingScopingVisitor.java
127,visit scope,VB NN,elasticsearch,DefaultBindingScopingVisitor.java
128,visit scope annotation,VB NN NN,elasticsearch,DefaultBindingScopingVisitor.java
129,visit no scoping,VB DT NN,elasticsearch,DefaultBindingScopingVisitor.java
130,post match,VB NN,elasticsearch,QueryCollector.java
131,match,VB,elasticsearch,QueryCollector.java
132,match and score,VB CC VB,elasticsearch,QueryCollector.java
133,match and sort,VB CC VB,elasticsearch,QueryCollector.java
134,get query,VB NN,elasticsearch,QueryCollector.java
135,counter,VB,elasticsearch,QueryCollector.java
136,matches,VBZ,elasticsearch,QueryCollector.java
137,hls,NNP,elasticsearch,QueryCollector.java
138,top docs,JJ NNS,elasticsearch,QueryCollector.java
139,scores,VBZ,elasticsearch,QueryCollector.java
140,explicit,JJ,elasticsearch,Explicit.java
141,do create test query builder,VB VB NN NN NN,elasticsearch,SpanWithinQueryBuilderTests.java
142,do assert lucene query,VB VB NN NN,elasticsearch,SpanWithinQueryBuilderTests.java
143,test illegal arguments,VB JJ NNS,elasticsearch,SpanWithinQueryBuilderTests.java
144,test from json,VB IN NNP,elasticsearch,SpanWithinQueryBuilderTests.java
145,process existing recoveries,VB VBG NNS,elasticsearch,ReplicaShardAllocator.java
146,allocate unassigned,VB JJ,elasticsearch,ReplicaShardAllocator.java
147,ignore unassigned if delayed,VB JJ IN JJ,elasticsearch,ReplicaShardAllocator.java
148,can be allocated to at least one node,MD VB VBN TO IN JJS CD NN,elasticsearch,ReplicaShardAllocator.java
149,find store,VB NN,elasticsearch,ReplicaShardAllocator.java
150,find matching nodes,VB JJ NNS,elasticsearch,ReplicaShardAllocator.java
151,fetch data,VB NNS,elasticsearch,ReplicaShardAllocator.java
152,get node with highest match,VB NN IN JJS NN,elasticsearch,ReplicaShardAllocator.java
153,is node match by sync id,VBZ NN VB IN NN NN,elasticsearch,ReplicaShardAllocator.java
154,has any data,VBZ DT NNS,elasticsearch,ReplicaShardAllocator.java
155,get value as string,VB NN IN NN,elasticsearch,NumericMetricsAggregation.java
156,get deferring collector,VB VBG NN,elasticsearch,DiversifiedNumericSamplerAggregator.java
157,create top docs collector,VB JJ NNS NN,elasticsearch,DiversifiedNumericSamplerAggregator.java
158,get keys,VB NNS,elasticsearch,DiversifiedNumericSamplerAggregator.java
159,get leaf fields lookup,VB NN NNS NN,elasticsearch,FieldsLookup.java
160,test balance all nodes started,VB NN DT NNS VBN,elasticsearch,IndexBalanceTests.java
161,test balance incrementally start nodes,VB NN RB VB NNS,elasticsearch,IndexBalanceTests.java
162,test balance all nodes started add index,NN NN DT NNS VBN VB NN,elasticsearch,IndexBalanceTests.java
163,on going merges,IN VBG VBZ,elasticsearch,ElasticsearchConcurrentMergeScheduler.java
164,do merge,VB VB,elasticsearch,ElasticsearchConcurrentMergeScheduler.java
165,before merge,IN VBG,elasticsearch,ElasticsearchConcurrentMergeScheduler.java
166,after merge,IN VB,elasticsearch,ElasticsearchConcurrentMergeScheduler.java
167,maybe stall,RB NN,elasticsearch,ElasticsearchConcurrentMergeScheduler.java
168,get merge thread,VB VB NN,elasticsearch,ElasticsearchConcurrentMergeScheduler.java
169,stats,NNS,elasticsearch,ElasticsearchConcurrentMergeScheduler.java
170,refresh config,VB NN,elasticsearch,ElasticsearchConcurrentMergeScheduler.java
171,get mapper parsers,VB NN NNS,elasticsearch,MapperRegistry.java
172,get metadata mapper parsers,VB NN NN NNS,elasticsearch,MapperRegistry.java
173,test index causes index creation,VB NN VBZ NN NN,elasticsearch,SearchWhileCreatingIndexIT.java
174,test no replicas,VB DT NNS,elasticsearch,SearchWhileCreatingIndexIT.java
175,test one replica,VB CD NN,elasticsearch,SearchWhileCreatingIndexIT.java
176,test two replicas,VB CD NN,elasticsearch,SearchWhileCreatingIndexIT.java
177,search while creating index,VB IN VBG NN,elasticsearch,SearchWhileCreatingIndexIT.java
178,types,NNS,elasticsearch,ShardSearchRequest.java
179,number of shards,NN IN NNS,elasticsearch,ShardSearchRequest.java
180,search type,VB NN,elasticsearch,ShardSearchRequest.java
181,filtering aliases,VBG NNS,elasticsearch,ShardSearchRequest.java
182,now in millis,RB IN NNS,elasticsearch,ShardSearchRequest.java
183,request cache,VB NN,elasticsearch,ShardSearchRequest.java
184,scroll,VB,elasticsearch,ShardSearchRequest.java
185,set profile,VB NN,elasticsearch,ShardSearchRequest.java
186,is profile,VBZ NN,elasticsearch,ShardSearchRequest.java
187,cache key,NN NN,elasticsearch,ShardSearchRequest.java
188,register streams,VB NNS,elasticsearch,InternalStatsBucket.java
189,do reduce,VB VB,elasticsearch,InternalStatsBucket.java
190,include fetch,VB NN,elasticsearch,QuerySearchResult.java
191,query result,VB NN,elasticsearch,QuerySearchResult.java
192,search timed out,VB VBN RP,elasticsearch,QuerySearchResult.java
193,terminated early,VBN RB,elasticsearch,QuerySearchResult.java
194,aggregations,NNS,elasticsearch,QuerySearchResult.java
195,profile results,NN NNS,elasticsearch,QuerySearchResult.java
196,pipeline aggregators,NN NNS,elasticsearch,QuerySearchResult.java
197,suggest,VB,elasticsearch,QuerySearchResult.java
198,read query search result,VB NN NN NN,elasticsearch,QuerySearchResult.java
199,read from with id,VB IN IN NN,elasticsearch,QuerySearchResult.java
200,write to no id,VB TO DT NN,elasticsearch,QuerySearchResult.java
201,setup mapper parser,VB NN NN,elasticsearch,MultifieldAttachmentMapperTests.java
202,test simple mappings,VB JJ NNS,elasticsearch,MultifieldAttachmentMapperTests.java
203,test external values,VB JJ NNS,elasticsearch,MultifieldAttachmentMapperTests.java
204,node plugins,NN NNS,elasticsearch,MinimumMasterNodesIT.java
205,test simple minimum master nodes,VB JJ JJ JJ NNS,elasticsearch,MinimumMasterNodesIT.java
206,test multiple nodes shutdown non master nodes,VB JJ NNS VB RB JJ NNS,elasticsearch,MinimumMasterNodesIT.java
207,test dynamic update minimum master nodes,VB JJ NN JJ NN NNS,elasticsearch,MinimumMasterNodesIT.java
208,assert no master block on all nodes,VB DT JJ NN IN DT NNS,elasticsearch,MinimumMasterNodesIT.java
209,test can not bring cluster down,VB MD RB VB NN RP,elasticsearch,MinimumMasterNodesIT.java
210,test can not publish without min mast nodes,VB MD RB VB IN JJ NN NNS,elasticsearch,MinimumMasterNodesIT.java
211,cluster state processed,NN NN VBN,elasticsearch,MinimumMasterNodesIT.java
212,inner execute,JJ VB,elasticsearch,Suggester.java
213,get context parser,VB NN NN,elasticsearch,Suggester.java
214,additional settings,JJ NNS,elasticsearch,MockFSIndexStore.java
215,new directory service,VB NN NN,elasticsearch,MockFSIndexStore.java
216,after index shard closed,IN NN NN VBN,elasticsearch,MockFSIndexStore.java
217,index shard state changed,NN NN NN VBN,elasticsearch,MockFSIndexStore.java
218,circuit break,NN NN,elasticsearch,NoopCircuitBreaker.java
219,add estimate bytes and maybe break,VB NN NNS CC RB VB,elasticsearch,NoopCircuitBreaker.java
220,add without breaking,VB IN VBG,elasticsearch,NoopCircuitBreaker.java
221,get limit,VB NN,elasticsearch,NoopCircuitBreaker.java
222,get overhead,VB JJ,elasticsearch,NoopCircuitBreaker.java
223,get tripped count,VB VBN NN,elasticsearch,NoopCircuitBreaker.java
224,get took,VB VBD,elasticsearch,DeleteByQueryResponse.java
225,get took in millis,VB VBD IN NN,elasticsearch,DeleteByQueryResponse.java
226,is timed out,VBZ VBN RP,elasticsearch,DeleteByQueryResponse.java
227,get total found,VB JJ VBN,elasticsearch,DeleteByQueryResponse.java
228,get total deleted,VB JJ VBN,elasticsearch,DeleteByQueryResponse.java
229,get total missing,VB JJ VBG,elasticsearch,DeleteByQueryResponse.java
230,get total failed,VB JJ VBN,elasticsearch,DeleteByQueryResponse.java
231,get shard failures,VB NN NNS,elasticsearch,DeleteByQueryResponse.java
232,script,NN,elasticsearch,ValuesSourceAggregationBuilder.java
233,missing,VBG,elasticsearch,ValuesSourceAggregationBuilder.java
234,internal x content,JJ NN NN,elasticsearch,ValuesSourceAggregationBuilder.java
235,do internal x content,VB JJ NN NN,elasticsearch,ValuesSourceAggregationBuilder.java
236,recovery id,NN NN,elasticsearch,RecoveryCleanFilesRequest.java
237,source meta snapshot,NN NN NN,elasticsearch,RecoveryCleanFilesRequest.java
238,total translog ops,JJ NN NNS,elasticsearch,RecoveryCleanFilesRequest.java
239,set search context,VB NN NN,elasticsearch,HasParentQueryBuilderTests.java
240,inner hits,JJ NNS,elasticsearch,HasParentQueryBuilderTests.java
241,mapper service,NN NN,elasticsearch,HasParentQueryBuilderTests.java
242,field data,NN NNS,elasticsearch,HasParentQueryBuilderTests.java
243,test illegal values,VB JJ NNS,elasticsearch,HasParentQueryBuilderTests.java
244,test deprecated x content,VB VBN NN NN,elasticsearch,HasParentQueryBuilderTests.java
245,test to query inner query type,VB TO VB JJ NN NN,elasticsearch,HasParentQueryBuilderTests.java
246,test unknown object exception,VB JJ NN NN,elasticsearch,HasParentQueryBuilderTests.java
247,read info from,VB NN IN,elasticsearch,FsInfo.java
248,get path,VB NN,elasticsearch,FsInfo.java
249,get mount,VB NN,elasticsearch,FsInfo.java
250,get free,VB JJ,elasticsearch,FsInfo.java
251,get available,VB JJ,elasticsearch,FsInfo.java
252,get spins,VB NNS,elasticsearch,FsInfo.java
253,add long,VB NN,elasticsearch,FsInfo.java
254,add double,VB NN,elasticsearch,FsInfo.java
255,read fs info,VB NN NN,elasticsearch,FsInfo.java
256,all token stream,DT NN NN,elasticsearch,AllTokenStream.java
257,all entries,DT NNS,elasticsearch,AllTokenStream.java
258,increment token,NN NN,elasticsearch,AllTokenStream.java
259,test wait if ongoing,VB NN IN JJ,elasticsearch,FlushIT.java
260,test synced flush,VB VBN NN,elasticsearch,FlushIT.java
261,test synced flush with concurrent indexing,NN VBN NN IN JJ VBG,elasticsearch,FlushIT.java
262,assert flush response equals shard stats,VB JJ NN VBZ NN NNS,elasticsearch,FlushIT.java
263,test unallocated shards does not hang,VB VBN NNS VBZ RB VB,elasticsearch,FlushIT.java
264,build index field data cache,VB NN NN NNS NN,elasticsearch,IndicesFieldDataCache.java
265,on removal,IN NN,elasticsearch,IndicesFieldDataCache.java
266,apply as long,VB IN NN,elasticsearch,IndicesFieldDataCache.java
267,load,VB,elasticsearch,IndicesFieldDataCache.java
268,on close,IN VB,elasticsearch,IndicesFieldDataCache.java
269,clear,VB,elasticsearch,IndicesFieldDataCache.java
270,centroid,NN,elasticsearch,GeoCentroid.java
271,indices,NNS,elasticsearch,ShardFetchSearchRequest.java
272,indices options,NNS NNS,elasticsearch,ShardFetchSearchRequest.java
273,gap policy,NN NN,elasticsearch,BucketScriptBuilder.java
274,set buckets paths map,VB NNS NNS NN,elasticsearch,BucketScriptBuilder.java
275,get aggregations,VB NNS,elasticsearch,SearchResponse.java
276,get suggest,VB VB,elasticsearch,SearchResponse.java
277,is terminated early,VBZ VBN JJ,elasticsearch,SearchResponse.java
278,get total shards,VB JJ NNS,elasticsearch,SearchResponse.java
279,get successful shards,VB JJ NNS,elasticsearch,SearchResponse.java
280,get failed shards,VB JJ NNS,elasticsearch,SearchResponse.java
281,get scroll id,VB NN NN,elasticsearch,SearchResponse.java
282,scroll id,NN NN,elasticsearch,SearchResponse.java
283,get profile results,VB JJ NNS,elasticsearch,SearchResponse.java
284,test naming conventions,VB VBG NNS,elasticsearch,NamingConventionTests.java
285,pre visit directory,RB VB NN,elasticsearch,NamingConventionTests.java
286,visit file,VB NN,elasticsearch,NamingConventionTests.java
287,is test case,VBZ NN NN,elasticsearch,NamingConventionTests.java
288,visit file failed,VB NN JJ,elasticsearch,NamingConventionTests.java
289,post visit directory,VB NN NN,elasticsearch,NamingConventionTests.java
290,assert no violations,VB DT NNS,elasticsearch,NamingConventionTests.java
291,test issue 8 2 2 6,VB NN CD CD CD CD,elasticsearch,SimpleSortTests.java
292,test issue 6 6 1 4,VB NN CD CD CD CD,elasticsearch,SimpleSortTests.java
293,test issue 6 6 3 9,VB NN CD CD CD CD,elasticsearch,SimpleSortTests.java
294,test track scores,VB NN NNS,elasticsearch,SimpleSortTests.java
295,test random sorting,VB JJ VBG,elasticsearch,SimpleSortTests.java
296,test 3 0 7 8,VB CD CD CD CD,elasticsearch,SimpleSortTests.java
297,test score sort direction,VB NN NN NN,elasticsearch,SimpleSortTests.java
298,test score sort direction with function score,VB NN NN NN IN NN NN,elasticsearch,SimpleSortTests.java
299,test issue 2 9 8 6,VB NN CD CD CD CD,elasticsearch,SimpleSortTests.java
300,test issue 2 9 9 1,VB NN CD CD CD CD,elasticsearch,SimpleSortTests.java
301,test simple sorts,VB JJ NNS,elasticsearch,SimpleSortTests.java
302,test 2 9 2 0,VB CD CD CD CD,elasticsearch,SimpleSortTests.java
303,test sort min value script,VB NN JJ NN NN,elasticsearch,SimpleSortTests.java
304,test documents with null value,VB NNS IN JJ NN,elasticsearch,SimpleSortTests.java
305,test sort missing numbers,VB NN VBG NNS,elasticsearch,SimpleSortTests.java
306,test sort missing strings,VB NN VBG NNS,elasticsearch,SimpleSortTests.java
307,test ignore unmapped,VB VB VBN,elasticsearch,SimpleSortTests.java
308,test sort mv field,VB NN VB NN,elasticsearch,SimpleSortTests.java
309,test sort on rare field,VB NN IN JJ NN,elasticsearch,SimpleSortTests.java
310,test sort meta field,VB NN JJ NN,elasticsearch,SimpleSortTests.java
311,test nested sort,VB JJ NN,elasticsearch,SimpleSortTests.java
312,test sort duel between single shard and multi shard index,VB NN NN IN JJ NN CC JJ NN NN,elasticsearch,SimpleSortTests.java
313,test many to many geo points,VB JJ TO JJ NN NNS,elasticsearch,SimpleSortTests.java
314,create shuffeld json array,VB VBN NNP NN,elasticsearch,SimpleSortTests.java
315,test many to many geo points with different formats,VB JJ TO JJ NN NNS IN JJ NNS,elasticsearch,SimpleSortTests.java
316,test single point geo distance sort,VB JJ NN NN NN NN,elasticsearch,SimpleSortTests.java
317,check correct sort order for geo sort,VB JJ NN NN IN NN NN,elasticsearch,SimpleSortTests.java
318,create q points,VB NN NNS,elasticsearch,SimpleSortTests.java
319,test cross index ignore unmapped,VB NN NN NN VBN,elasticsearch,SimpleSortTests.java
320,get content type,VB NN NN,elasticsearch,Template.java
321,do read from,VB VBP IN,elasticsearch,Template.java
322,do write to,VB VBP IN,elasticsearch,Template.java
323,script field to x content,NN NN TO NN NN,elasticsearch,Template.java
324,read template,VB NN,elasticsearch,Template.java
325,create simple script,VB JJ NN,elasticsearch,Template.java
326,create script,VB NN,elasticsearch,Template.java
327,parse inline script,VB JJ NN,elasticsearch,Template.java
328,get additional script parameters,VB JJ NN NNS,elasticsearch,Template.java
329,get default script lang,VB JJ NN NN,elasticsearch,Template.java
330,from id,IN NN,elasticsearch,WriteConsistencyLevel.java
331,from string,IN NN,elasticsearch,WriteConsistencyLevel.java
332,get subset df,VB NN FW,elasticsearch,InternalSignificantTerms.java
333,get superset df,VB NN FW,elasticsearch,InternalSignificantTerms.java
334,get superset size,VB NN NN,elasticsearch,InternalSignificantTerms.java
335,get subset size,VB NN NN,elasticsearch,InternalSignificantTerms.java
336,update score,VB NN,elasticsearch,InternalSignificantTerms.java
337,get doc count,VB NN NN,elasticsearch,InternalSignificantTerms.java
338,new bucket,JJ NN,elasticsearch,InternalSignificantTerms.java
339,get significance score,VB NN NN,elasticsearch,InternalSignificantTerms.java
340,get buckets,VB NNS,elasticsearch,InternalSignificantTerms.java
341,get bucket by key,VB NN IN NN,elasticsearch,InternalSignificantTerms.java
342,test timeout update task,VB NN NN NN,elasticsearch,ClusterServiceIT.java
343,test acked update task,VB VBN NN NN,elasticsearch,ClusterServiceIT.java
344,must ack,MD VB,elasticsearch,ClusterServiceIT.java
345,on all nodes acked,IN DT NNS VBD,elasticsearch,ClusterServiceIT.java
346,on ack timeout,IN VB NN,elasticsearch,ClusterServiceIT.java
347,ack timeout,VB NN,elasticsearch,ClusterServiceIT.java
348,test acked update task same cluster state,VB VBN NN NN JJ NN NN,elasticsearch,ClusterServiceIT.java
349,test master aware execution,VB NN JJ NN,elasticsearch,ClusterServiceIT.java
350,run only on master,VB RB IN NN,elasticsearch,ClusterServiceIT.java
351,test acked update task no ack expected,VB VBN NN NN DT NN VBD,elasticsearch,ClusterServiceIT.java
352,test acked update task timeout zero,VB VBN NN NN NN DT,elasticsearch,ClusterServiceIT.java
353,test pending update task,VB JJ NN NN,elasticsearch,ClusterServiceIT.java
354,test local node master listener callbacks,VB JJ NN NN NN NNS,elasticsearch,ClusterServiceIT.java
355,test prioritized tasks,VB VBN NNS,elasticsearch,ClusterServiceIT.java
356,test cluster state batched updates,VB NN NN JJ NNS,elasticsearch,ClusterServiceIT.java
357,cluster state published,NN NN VBN,elasticsearch,ClusterServiceIT.java
358,test cluster state update logging,VB NN NN NN VBG,elasticsearch,ClusterServiceIT.java
359,test long cluster state update logging,VB JJ NN NN NN VBG,elasticsearch,ClusterServiceIT.java
360,release,VB,elasticsearch,ClusterServiceIT.java
361,node services,NN NNS,elasticsearch,ClusterServiceIT.java
362,on master,IN NN,elasticsearch,ClusterServiceIT.java
363,off master,IN NN,elasticsearch,ClusterServiceIT.java
364,executor name,NN NN,elasticsearch,ClusterServiceIT.java
365,clean path,JJ NN,elasticsearch,BlobPath.java
366,to array,TO NN,elasticsearch,BlobPath.java
367,build as string,VB IN NN,elasticsearch,BlobPath.java
368,get reason,VB NN,elasticsearch,UnassignedInfo.java
369,get unassigned time in millis,VB JJ NN IN NNS,elasticsearch,UnassignedInfo.java
370,get unassigned time in nanos,VB JJ NN IN NNS,elasticsearch,UnassignedInfo.java
371,get message,VB NN,elasticsearch,UnassignedInfo.java
372,get details,VB NNS,elasticsearch,UnassignedInfo.java
373,get allocation delay timeout setting nanos,VB NN NN IN NN NNS,elasticsearch,UnassignedInfo.java
374,get last computed left delay nanos,VB JJ JJ JJ NN NNS,elasticsearch,UnassignedInfo.java
375,update delay,VB NN,elasticsearch,UnassignedInfo.java
376,get number of delayed unassigned,VB NN IN JJ JJ,elasticsearch,UnassignedInfo.java
377,find smallest delayed allocation setting nanos,VB JJS JJ NN NN NNS,elasticsearch,UnassignedInfo.java
378,find next delayed allocation in,VB JJ JJ NN IN,elasticsearch,UnassignedInfo.java
379,short summary,JJ NN,elasticsearch,UnassignedInfo.java
380,build result entry,VB NN NN,elasticsearch,PhraseSuggester.java
381,script service,NN NN,elasticsearch,PhraseSuggester.java
382,test that validation without specifying search request fails,VB DT NN IN VBG NN NN NNS,elasticsearch,PutWarmerRequestTests.java
383,register repository,VB NN,elasticsearch,RepositoriesService.java
384,unregister repository,VB NN,elasticsearch,RepositoriesService.java
385,verify repository,VB NN,elasticsearch,RepositoriesService.java
386,cluster changed,NN VBN,elasticsearch,RepositoriesService.java
387,repository,NN,elasticsearch,RepositoriesService.java
388,index shard repository,NN NN NN,elasticsearch,RepositoriesService.java
389,close repository,VB NN,elasticsearch,RepositoriesService.java
390,create repository holder,VB NN NN,elasticsearch,RepositoriesService.java
391,ensure repository not in use,VB NN RB IN NN,elasticsearch,RepositoriesService.java
392,failures,NNS,elasticsearch,RepositoriesService.java
393,failed,JJ,elasticsearch,RepositoriesService.java
