,ID,TYPE,DECLARATION,PROJECT,FILE
272,272,InputStream>,"getNext() throws IOException
",hadoop,ConcatenatedInputFilesDemuxer.java
273,273,void,"close() throws IOException
",hadoop,ConcatenatedInputFilesDemuxer.java
274,274,int,"read() throws IOException
",hadoop,ConcatenatedInputFilesDemuxer.java
278,278,String,"nextFileName() throws IOException
",hadoop,ConcatenatedInputFilesDemuxer.java
280,280,void,"serviceInit(Configuration conf) throws Exception
",hadoop,LeveldbTimelineStore.java
281,281,void,"serviceStop() throws Exception
",hadoop,LeveldbTimelineStore.java
283,283,CountingReentrantLock<K>,"getLock(K key)
",hadoop,LeveldbTimelineStore.java
284,284,void,"returnLock(CountingReentrantLock<K> lock)
",hadoop,LeveldbTimelineStore.java
285,285,KeyBuilder,"newInstance()
",hadoop,LeveldbTimelineStore.java
289,289,byte[],"getBytes() throws IOException
",hadoop,LeveldbTimelineStore.java
290,290,byte[],"getBytesForLookup() throws IOException
",hadoop,LeveldbTimelineStore.java
291,291,String,"getNextString() throws IOException
",hadoop,LeveldbTimelineStore.java
292,292,long,"getNextLong() throws IOException
",hadoop,LeveldbTimelineStore.java
293,293,int,"getOffset()
",hadoop,LeveldbTimelineStore.java
294,294,TimelineEntity,"getEntity(String entityId, String entityType, EnumSet<Field> fields) throws IOException
",hadoop,LeveldbTimelineStore.java
296,296,TimelineEvents,"getEntityTimelines(String entityType, SortedSet<String> entityIds, Long limit, Long windowStart, Long windowEnd, Set<String> eventType) throws IOException
",hadoop,LeveldbTimelineStore.java
297,297,int,"compare(byte[] o1, byte[] o2)
",hadoop,LeveldbTimelineStore.java
298,298,boolean,"prefixMatches(byte[] prefix, int prefixlen, byte[] b)
",hadoop,LeveldbTimelineStore.java
299,299,TimelineEntities,"getEntities(String entityType, Long limit, Long windowStart, Long windowEnd, String fromId, Long fromTs, NameValuePair primaryFilter, Collection<NameValuePair> secondaryFilters, EnumSet<Field> fields) throws IOException
",hadoop,LeveldbTimelineStore.java
300,300,TimelineEntities,"getEntityByTime(byte[] base, String entityType, Long limit, Long starttime, Long endtime, String fromId, Long fromTs, Collection<NameValuePair> secondaryFilters, EnumSet<Field> fields) throws IOException
",hadoop,LeveldbTimelineStore.java
301,301,void,"put(TimelineEntity entity, TimelinePutResponse response)
",hadoop,LeveldbTimelineStore.java
302,302,void,"writePrimaryFilterEntries(WriteBatch writeBatch, Map<String, Set<Object>> primaryFilters, byte[] key, byte[] value) throws IOException
",hadoop,LeveldbTimelineStore.java
304,304,byte[],"getStartTime(String entityId, String entityType) throws IOException
",hadoop,LeveldbTimelineStore.java
305,305,Long,"getStartTimeLong(String entityId, String entityType) throws IOException
",hadoop,LeveldbTimelineStore.java
306,306,StartAndInsertTime,"getAndSetStartTime(String entityId, String entityType, Long startTime, List<TimelineEvent> events) throws IOException
",hadoop,LeveldbTimelineStore.java
307,307,StartAndInsertTime,"checkStartTimeInDb(EntityIdentifier entity, Long suggestedStartTime) throws IOException
",hadoop,LeveldbTimelineStore.java
308,308,byte[],"createStartTimeLookupKey(String entityId, String entityType) throws IOException
",hadoop,LeveldbTimelineStore.java
309,309,byte[],"createEntityMarkerKey(String entityId, String entityType, byte[] revStartTime) throws IOException
",hadoop,LeveldbTimelineStore.java
310,310,byte[],"addPrimaryFilterToKey(String primaryFilterName, Object primaryFilterValue, byte[] key) throws IOException
",hadoop,LeveldbTimelineStore.java
311,311,byte[],"createEntityEventKey(String entityId, String entityType, byte[] revStartTime, byte[] revEventTimestamp, String eventType) throws IOException
",hadoop,LeveldbTimelineStore.java
312,312,TimelineEvent,"getEntityEvent(Set<String> eventTypes, byte[] key, int offset, byte[] value) throws IOException
",hadoop,LeveldbTimelineStore.java
313,313,byte[],"createPrimaryFilterKey(String entityId, String entityType, byte[] revStartTime, String name, Object value) throws IOException
",hadoop,LeveldbTimelineStore.java
314,314,void,"addPrimaryFilter(TimelineEntity entity, byte[] key, int offset) throws IOException
",hadoop,LeveldbTimelineStore.java
315,315,byte[],"createOtherInfoKey(String entityId, String entityType, byte[] revStartTime, String name) throws IOException
",hadoop,LeveldbTimelineStore.java
316,316,String,"parseRemainingKey(byte[] b, int offset)
",hadoop,LeveldbTimelineStore.java
317,317,byte[],"createRelatedEntityKey(String entityId, String entityType, byte[] revStartTime, String relatedEntityId, String relatedEntityType) throws IOException
",hadoop,LeveldbTimelineStore.java
318,318,void,"addRelatedEntity(TimelineEntity entity, byte[] key, int offset) throws IOException
",hadoop,LeveldbTimelineStore.java
319,319,byte[],"createReverseRelatedEntityKey(String entityId, String entityType, byte[] revStartTime, String relatedEntityId, String relatedEntityType) throws IOException
",hadoop,LeveldbTimelineStore.java
320,320,void,"clearStartTimeCache()
",hadoop,LeveldbTimelineStore.java
321,321,int,"getStartTimeReadCacheSize(Configuration conf)
",hadoop,LeveldbTimelineStore.java
322,322,int,"getStartTimeWriteCacheSize(Configuration conf)
",hadoop,LeveldbTimelineStore.java
323,323,List<String>,"getEntityTypes() throws IOException
",hadoop,LeveldbTimelineStore.java
324,324,void,"deleteKeysWithPrefix(WriteBatch writeBatch, byte[] prefix, DBIterator iterator)
",hadoop,LeveldbTimelineStore.java
325,325,boolean,"deleteNextEntity(String entityType, byte[] reverseTimestamp, DBIterator iterator, DBIterator pfIterator, boolean seeked) throws IOException
",hadoop,LeveldbTimelineStore.java
326,326,void,"discardOldEntities(long timestamp) throws IOException, InterruptedException
",hadoop,LeveldbTimelineStore.java
327,327,DBIterator,"getDbIterator(boolean fillCache)
",hadoop,LeveldbTimelineStore.java
328,328,Version,"loadVersion() throws IOException
",hadoop,LeveldbTimelineStore.java
329,329,void,"storeVersion(Version state) throws IOException
",hadoop,LeveldbTimelineStore.java
330,330,void,"dbStoreVersion(Version state) throws IOException
",hadoop,LeveldbTimelineStore.java
331,331,Version,"getCurrentVersion()
",hadoop,LeveldbTimelineStore.java
332,332,void,"checkVersion() throws IOException
",hadoop,LeveldbTimelineStore.java
334,334,ContainerId,"getContainerId()
",hadoop,ContainerStartData.java
335,335,void,"setContainerId(ContainerId containerId)
",hadoop,ContainerStartData.java
336,336,Resource,"getAllocatedResource()
",hadoop,ContainerStartData.java
337,337,void,"setAllocatedResource(Resource resource)
",hadoop,ContainerStartData.java
338,338,NodeId,"getAssignedNode()
",hadoop,ContainerStartData.java
339,339,void,"setAssignedNode(NodeId nodeId)
",hadoop,ContainerStartData.java
340,340,Priority,"getPriority()
",hadoop,ContainerStartData.java
341,341,void,"setPriority(Priority priority)
",hadoop,ContainerStartData.java
343,343,void,"setStartTime(long startTime)
",hadoop,ContainerStartData.java
344,344,Byte,"parse(String str) throws Exception
",hadoop,ByteParam.java
345,345,String,"getDomain()
",hadoop,ByteParam.java
346,346,void,"testRegisterNodeManagerRequest()
",hadoop,TestRegisterNodeManagerRequest.java
347,347,void,"testRegisterNodeManagerRequestWithNullArrays()
",hadoop,TestRegisterNodeManagerRequest.java
348,348,void,"init(FilterConfig filterConfig) throws ServletException
",hadoop,CrossOriginFilter.java
349,349,void,"doFilter(ServletRequest req, ServletResponse res, FilterChain chain) throws IOException, ServletException
",hadoop,CrossOriginFilter.java
350,350,void,"destroy()
",hadoop,CrossOriginFilter.java
351,351,void,"doCrossFilter(HttpServletRequest req, HttpServletResponse res)
",hadoop,CrossOriginFilter.java
352,352,String,"getAllowedHeadersHeader()
",hadoop,CrossOriginFilter.java
353,353,String,"getAllowedMethodsHeader()
",hadoop,CrossOriginFilter.java
354,354,void,"initializeAllowedMethods(FilterConfig filterConfig)
",hadoop,CrossOriginFilter.java
355,355,void,"initializeAllowedHeaders(FilterConfig filterConfig)
",hadoop,CrossOriginFilter.java
356,356,void,"initializeAllowedOrigins(FilterConfig filterConfig)
",hadoop,CrossOriginFilter.java
357,357,void,"initializeMaxAge(FilterConfig filterConfig)
",hadoop,CrossOriginFilter.java
358,358,String,"encodeHeader(final String header)
",hadoop,CrossOriginFilter.java
359,359,boolean,"isCrossOrigin(String origin)
",hadoop,CrossOriginFilter.java
360,360,boolean,"isOriginAllowed(String origin)
",hadoop,CrossOriginFilter.java
361,361,boolean,"areHeadersAllowed(String accessControlRequestHeaders)
",hadoop,CrossOriginFilter.java
362,362,boolean,"isMethodAllowed(String accessControlRequestMethod)
",hadoop,CrossOriginFilter.java
364,364,String,"getHost()
",hadoop,NodeIdPBImpl.java
365,365,void,"setHost(String host)
",hadoop,NodeIdPBImpl.java
366,366,int,"getPort()
",hadoop,NodeIdPBImpl.java
