,Unnamed: 0,ID,TYPE,DECLARATION,PROJECT,FILE
1404,1404,1404,char,in_end,mpv-master,uuid.c
1410,1410,1410,void,tag,mpv-master,rendezvous.c
1415,1415,1415,uint64_t,seed,mpv-master,random.c
1416,1416,1416,char,name1,mpv-master,natural_sort.c
1417,1417,1417,char,name2,mpv-master,natural_sort.c
1424,1424,1424,size_t,n,mpv-master,ta_talloc.c
1438,1438,1438,void,ptr,mpv-master,ta.c
1458,1458,1458,void,loc,mpv-master,ta.c
1466,1466,1466,size_t,element_size,mpv-master,ta_utils.c
1468,1468,1468,size_t,nextidx,mpv-master,ta_utils.c
1476,1476,1476,size_t,at,mpv-master,ta_utils.c
1478,1478,1478,size_t,append_len,mpv-master,ta_utils.c
1524,1524,1524,stream_t,stream,mpv-master,stream_null.c
1526,1526,1526,char,url,mpv-master,stream.c
1529,1529,1529,char,ok,mpv-master,stream.c
1531,1531,1531,char,proto,mpv-master,stream.c
1536,1536,1536,int,len,mpv-master,stream.c
1537,1537,1537,int,pos,mpv-master,stream.c
1539,1539,1539,int,keep,mpv-master,stream.c
1541,1541,1541,stream_info_t,sinfo,mpv-master,stream.c
1550,1550,1550,char,filename,mpv-master,stream.c
1556,1556,1556,int,forward,mpv-master,stream.c
1559,1559,1559,int,buf_size,mpv-master,stream.c
1562,1562,1562,void,mem,mpv-master,stream.c
1563,1563,1563,int,total,mpv-master,stream.c
1565,1565,1565,int,forward_size,mpv-master,stream.c
1576,1576,1576,int64_t,newpos,mpv-master,stream.c
1582,1582,1582,int,cmd,mpv-master,stream.c
1589,1589,1589,int,max_size,mpv-master,stream.c
1602,1602,1602,,arch,mpv-master,stream_libarchive.c
1603,1603,1603,void,priv,mpv-master,stream_libarchive.c
1604,1604,1604,void,buffer,mpv-master,stream_libarchive.c
1608,1608,1608,int,whence,mpv-master,stream_libarchive.c
1611,1611,1611,int64_t,request,mpv-master,stream_libarchive.c
1617,1617,1617,,mpa,mpv-master,stream_libarchive.c
1619,1619,1619,int,r,mpv-master,stream_libarchive.c
1638,1638,1638,int,max_volumes,mpv-master,stream_libarchive.c
1647,1647,1647,int,max_len,mpv-master,stream_libarchive.c
1660,1660,1660,int,cur,mpv-master,stream_concat.c
1666,1666,1666,,streams,mpv-master,stream_concat.c
1667,1667,1667,int,num_streams,mpv-master,stream_concat.c
1668,1668,1668,unsigned,delsys,mpv-master,dvb_tune.c
1669,1669,1669,int,fe_fd,mpv-master,dvb_tune.c
1672,1672,1672,dvb_priv_t,adapter,mpv-master,dvb_tune.c
1673,1673,1673,unsigned,frontend,mpv-master,dvb_tune.c
1674,1674,1674,int,demux_cnt,mpv-master,dvb_tune.c
1676,1676,1676,int,cnt,mpv-master,dvb_tune.c
1678,1678,1678,int,fd,mpv-master,dvb_tune.c
1679,1679,1679,dvb_priv_t,pid,mpv-master,dvb_tune.c
1680,1680,1680,unsigned,pestype,mpv-master,dvb_tune.c
1682,1682,1682,dvb_priv_t,devno,mpv-master,dvb_tune.c
1683,1683,1683,int,service_id,mpv-master,dvb_tune.c
1685,1685,1685,dmx_pes_type_t,festatus,mpv-master,dvb_tune.c
1687,1687,1687,int,fd_frontend,mpv-master,dvb_tune.c
1688,1688,1688,int,tmout,mpv-master,dvb_tune.c
1692,1692,1692,int,t,mpv-master,dvb_tune.c
1694,1694,1694,int,secfd,mpv-master,dvb_tune.c
1695,1695,1695,fe_sec_voltage_t,sat_no,mpv-master,dvb_tune.c
1696,1696,1696,,polv,mpv-master,dvb_tune.c
1697,1697,1697,fe_sec_tone_mode_t,hi_lo,mpv-master,dvb_tune.c
1701,1701,1701,int,cmdseq,mpv-master,dvb_tune.c
1705,1705,1705,unsigned,freq,mpv-master,dvb_tune.c
1706,1706,1706,int,srate,mpv-master,dvb_tune.c
1707,1707,1707,,pol,mpv-master,dvb_tune.c
1708,1708,1708,dvb_priv_t,stream_id,mpv-master,dvb_tune.c
1709,1709,1709,int,specInv,mpv-master,dvb_tune.c
1710,1710,1710,unsigned,diseqc,mpv-master,dvb_tune.c
1711,1711,1711,int,modulation,mpv-master,dvb_tune.c
1712,1712,1712,unsigned,HP_CodeRate,mpv-master,dvb_tune.c
1713,1713,1713,int,TransmissionMode,mpv-master,dvb_tune.c
1714,1714,1714,unsigned,guardInterval,mpv-master,dvb_tune.c
1715,1715,1715,int,bandwidth,mpv-master,dvb_tune.c
1716,1716,1716,char,LP_CodeRate,mpv-master,dvb_tune.c
1717,1717,1717,int,hier,mpv-master,dvb_tune.c
1730,1730,1730,unsigned,bandWidth,mpv-master,dvb_tune.c
1747,1747,1747,char,device,mpv-master,stream_dvdnav.c
1748,1748,1748,unsigned,speed,mpv-master,stream_dvdnav.c
1750,1750,1750,char,ext,mpv-master,stream_dvdnav.c
1751,1751,1751,char,sig,mpv-master,stream_dvdnav.c
1753,1753,1753,int,aid,mpv-master,stream_dvdnav.c
1755,1755,1755,int,sid,mpv-master,stream_dvdnav.c
1771,1771,1771,char,cr,mpv-master,stream_dvb.c
1772,1772,1772,char,modstring,mpv-master,stream_dvb.c
1773,1773,1773,char,vdr_par_str,mpv-master,stream_dvb.c
1779,1779,1779,char,pid_string,mpv-master,stream_dvb.c
1782,1782,1782,dvb_channels_list_t,list_add,mpv-master,stream_dvb.c
1783,1783,1783,int,cfg_full_transponder,mpv-master,stream_dvb.c
1787,1787,1787,int,delsys_mask,mpv-master,stream_dvb.c
1799,1799,1799,int,progname,mpv-master,stream_dvb.c
1849,1849,1849,char,target_fmt,mpv-master,stream_lavf.c
1857,1857,1857,int,track,mpv-master,stream_cdda.c
1860,1860,1860,long,inpos,mpv-master,stream_cdda.c
1861,1861,1861,int,function,mpv-master,stream_cdda.c
1869,1869,1869,cdda_priv,sector,mpv-master,stream_cdda.c
1873,1873,1873,int,st,mpv-master,stream_cdda.c
1897,1897,1897,int,playlist,mpv-master,stream_bluray.c
1899,1899,1899,int,title,mpv-master,stream_bluray.c
1902,1902,1902,BD_EVENT,ev,mpv-master,stream_bluray.c
1912,1912,1912,int,title_guess,mpv-master,stream_bluray.c
1919,1919,1919,char,list,mpv-master,external_files.c
1920,1920,1920,MPOpts,opts,mpv-master,external_files.c
1922,1922,1922,bstr,fname,mpv-master,external_files.c
1930,1930,1930,int,fn_start,mpv-master,external_files.c
1935,1935,1935,,slist,mpv-master,external_files.c
1936,1936,1936,int,nsub,mpv-master,external_files.c
1939,1939,1939,int,limit_fuzziness,mpv-master,external_files.c
1940,1940,1940,int,limit_type,mpv-master,external_files.c
1948,1948,1948,int,nsubs,mpv-master,external_files.c
1950,1950,1950,char,paths,mpv-master,external_files.c
1951,1951,1951,char,cfg_path,mpv-master,external_files.c
1956,1956,1956,,mpctx,mpv-master,audio.c
1959,1959,1959,double,db,mpv-master,audio.c
1964,1964,1964,,ao_c,mpv-master,audio.c
1970,1970,1970,size_t,buf_sz,mpv-master,audio.c
1971,1971,1971,int,rate,mpv-master,audio.c
1974,1974,1974,,old,mpv-master,audio.c
1977,1977,1977,,ao,mpv-master,audio.c
1990,1990,1990,double,pts,mpv-master,audio.c
1994,1994,1994,lua_State,L,mpv-master,lua.c
1996,1996,1996,void,ud,mpv-master,lua.c
2001,2001,2001,int,job,redis,bio.c
2002,2002,2002,bio_job,free_fn,redis,bio.c
2003,2003,2003,lazy_free_fn,arg_count,redis,bio.c
2005,2005,2005,int,need_fsync,redis,bio.c
2006,2006,2006,int,need_reclaim_cache,redis,bio.c
2015,2015,2015,int,job_type,redis,bio.c
2016,2016,2016,ConnectionType,ct,redis,connection.c
2017,2017,2017,void,typename,redis,connection.c
2022,2022,2022,void,dbid,redis,lazyfree.c
2027,2027,2027,robj,tracking,redis,lazyfree.c
2028,2028,2028,int,lua_scripts,redis,lazyfree.c
2029,2029,2029,redisDb,lua,redis,lazyfree.c
2030,2030,2030,rax,functions_lib_ctx,redis,lazyfree.c
2031,2031,2031,dict,blocks,redis,lazyfree.c
2044,2044,2044,int,use_tls,redis,cluster_legacy.c
2047,2047,2047,void,length,redis,cluster_legacy.c
2070,2070,2070,char,do_fsync,redis,cluster_legacy.c
2073,2073,2073,char,announced_tcp_port,redis,cluster_legacy.c
2074,2074,2074,int,announced_tls_port,redis,cluster_legacy.c
2075,2075,2075,int,announced_cport,redis,cluster_legacy.c
2076,2076,2076,int,node,redis,cluster_legacy.c
2081,2081,2081,char,shard_id,redis,cluster_legacy.c
2082,2082,2082,clusterNode,hard,redis,cluster_legacy.c
2084,2084,2084,clusterNode,msglen,redis,cluster_legacy.c
2087,2087,2087,void,link,redis,cluster_legacy.c
2090,2090,2090,int,conn,redis,cluster_legacy.c
2091,2091,2091,int,el,redis,cluster_legacy.c
2093,2093,2093,void,privdata,redis,cluster_legacy.c
2094,2094,2094,clusterNode,mask,redis,cluster_legacy.c
2095,2095,2095,clusterLink,nodename,redis,cluster_legacy.c
2097,2097,2097,clusterLink,failing,redis,cluster_legacy.c
2098,2098,2098,connection,sender,redis,cluster_legacy.c
2103,2103,2103,void,master,redis,cluster_legacy.c
2110,2110,2110,clusterNode,delnode,redis,cluster_legacy.c
2121,2121,2121,int,nodeid,redis,cluster_legacy.c
2124,2124,2124,char,ip,redis,cluster_legacy.c
2125,2125,2125,char,port,redis,cluster_legacy.c
2126,2126,2126,clusterNode,cport,redis,cluster_legacy.c
2130,2130,2130,clusterNode,hdr,redis,cluster_legacy.c
2131,2131,2131,void,tls_port,redis,cluster_legacy.c
2132,2132,2132,clusterNode,tcp_port,redis,cluster_legacy.c
2133,2133,2133,char,g,redis,cluster_legacy.c
2136,2136,2136,char,gossip_msg,redis,cluster_legacy.c
2143,2143,2143,int,announced_ip,redis,cluster_legacy.c
2149,2149,2149,clusterMsgDataGossip,senderConfigEpoch,redis,cluster_legacy.c
2150,2150,2150,uint16_t,slots,redis,cluster_legacy.c
2155,2155,2155,char,dataSize,redis,cluster_legacy.c
2161,2161,2161,uint64_t,gossipcount,redis,cluster_legacy.c
2172,2172,2172,void,msgblock,redis,cluster_legacy.c
2184,2184,2184,clusterLink,message,redis,cluster_legacy.c
2190,2190,2190,clusterMsgSendBlock,module_id,redis,cluster_legacy.c
2192,2192,2192,int,payload,redis,cluster_legacy.c
2201,2201,2201,robj,sharded,redis,cluster_legacy.c
2206,2206,2206,clusterLink,reason,redis,cluster_legacy.c
2207,2207,2207,uint64_t,max_slaves,redis,cluster_legacy.c
2209,2209,2209,char,handshake_timeout,redis,cluster_legacy.c
2210,2210,2210,uint32_t,now,redis,cluster_legacy.c
2214,2214,2214,char,bitmap,redis,cluster_legacy.c
2221,2221,2221,clusterNode,slot,redis,cluster_legacy.c
2229,2229,2229,void,from_node,redis,cluster_legacy.c
2230,2230,2230,void,to_node,redis,cluster_legacy.c
2233,2233,2233,mstime_t,ci,redis,cluster_legacy.c
2236,2236,2236,clusterNode,slot_info_pairs,redis,cluster_legacy.c
2237,2237,2237,void,slot_info_pairs_count,redis,cluster_legacy.c
2240,2240,2240,unsigned,tls_primary,redis,cluster_legacy.c
2251,2251,2251,int,o,redis,cluster_legacy.c
2254,2254,2254,clusterNode,del,redis,cluster_legacy.c
2255,2255,2255,int,start_slot,redis,cluster_legacy.c
2256,2256,2256,clusterNode,end_slot,redis,cluster_legacy.c
2263,2263,2263,void,nodes,redis,cluster_legacy.c
2266,2266,2266,clusterNode,hashslot,redis,cluster_legacy.c
2269,2269,2269,sds,numnodes,redis,cluster_legacy.c
2285,2285,2285,robj,slave_idx,redis,cluster_legacy.c
2293,2293,2293,void,tids,redis,threads_mngr.c
2294,2294,2294,pid_t,tids_len,redis,threads_mngr.c
2300,2300,2300,int,level,redis,server.c
2301,2301,2301,char,msg,redis,server.c
2308,2308,2308,void,retcode,redis,server.c
2316,2316,2316,dict,key1,redis,server.c
2317,2317,2317,void,key2,redis,server.c
2349,2349,2349,void,moreMem,redis,server.c
