,OUT,SWUM,POSSE,STANFORD
71,NM NM NPL,NM NM N,NM NM N,NM NM NPL
72,N,N,N,N
73,N,N,V,V
74,NM V,NM N,N N,N VM
75,NM N,NM N,N N,N N
76,NM NM N,NM NM N,N NM N,N NM N
77,NM N,NM N,N V,N N
78,NM NM N,NM NM N,N N N,N N N
79,N,N,N,N
80,N,N,N,N
81,N,N,N,N
82,NM NM N,NM NM N,N N N,N N N
83,NM N,NM N,N N,N N
84,N,N,N,N
85,N,N,N,N
86,N,N,N,N
87,N,N,N,V
88,N,N,N,N
89,N,N,NM,NM
90,N,N,N,N
91,N,N,N,N
92,N,N,NM,N
93,N,N,N,N
94,VM,N,V,VBN
95,NM NM N,DT NM N,NM N NM,NM N N
96,N,N,N,N
97,N,N,N,N
98,NM N,NM N,NM N,NM N
99,V N,NM N,V N,V NM
100,N,N,N,N
101,N,N,N,N
102,NM N,NM N,NM N,NM N
103,N,N,N,N
104,V P,NM N,V P,N N
105,NM N,NM N,N N,V N
106,V N,NM N,V N,N N
107,NM N,NM N,NM N,N N
108,NM N,NM N,N N,N N
109,N,N,V,N
110,V P,NM N,V P,V N
111,VM,N,V,VBN
112,N,N,N,N
113,N,N,N,N
114,NM N,NM N,N N,N N
115,NPL,N,N,NPL
116,NM N,NM N,N N,N N
117,NPL,N,N,NPL
118,N,N,N,N
119,N,N,N,N
120,NM N,NM N,N N,P N
121,NM,N,NM,VBN
122,NPL,N,N,NPL
123,N,N,N,N
124,N,N,FAILURE,P
125,VM,N,V,VBN
126,NM D,NM N,N N,NPL D
127,NM D,NM N,N N,NPL D
128,N,N,N,N
129,V,N,N,VBN
130,N N,NM N,V N,NM N
131,N,N,N,N
132,N,N,N,N
133,NM N,NM N,N N,N VBP
134,N,N,N,N
135,N,N,N,N
136,N,N,N,N
137,NM NPL,NM N,NM N,VBN NPL
138,NM N,NM N,N N,N N
139,N,N,N,N
140,N,N,N,N
141,N,N,N,N
142,N,N,N,N
143,NPL,N,N,NPL
144,NPL,N,N,NPL
145,N,N,N,N
146,NM N,NM N,FAILURE FAILURE,N P
147,NM N,NM N,N N,V N
148,N,N,N,N
149,NM N,NM N,N N,N N
150,NM NPL,NM N,N N,N NPL
151,NM NPL,NM N,N N,N NPL
152,V N,NM N,V NM,V NM
153,N,N,N,N
154,NM N,NM N,N N,N N
155,NPL,N,N,NPL
156,NPL,N,N,NPL
157,NM N,NM N,NM N,N N
158,NM NM N,NM NM N,NM N N,N N N
159,NM NM N,NM NM N,NM N N,N N N
160,N,N,N,N
161,N,N,N,N
162,N,N,NM,N
163,N,N,N,N
164,N,N,V,V
165,VM,N,V,VBN
166,N,N,V,VBD
167,N,N,N,N
168,N,N,N,N
169,N,N,N,N
170,NPL,N,N,NPL
171,N,N,N,N
172,NM NPL,NM N,N N,N NPL
173,N,N,N,N
174,N,N,N,NM
175,N,N,V,V
176,N,N,V,V
177,N,N,NM,NM
178,N,N,V,N
179,NPL,N,N,NPL
180,NM N,NM N,N N,N N
181,N,N,N,N
182,N,N,N,N
183,N,N,N,N
184,NM N,NM N,N N,N N
185,NM N,NM N,N N,N N
186,NM N,NM N,N N,N N
187,N,N,N,N
188,N,N,N,N
189,NM N,NM N,N V,NM N
190,N,N,N,N
191,NM N,NM N,N N,N N
192,N,N,N,N
193,NM NPL,NM N,NM N,NM NPL
194,NM N,NM N,N N,V N
195,N,N,N,N
196,NM N,NM N,NM N,VBN N
197,NPL,N,N,NPL
198,NM N,NM N,N N,P N
199,NM N,NM N,N N,N N
200,V NM N,NM NM N,V N N,V N NM
201,NM N,NM N,N N,N N
202,NM NM N,NM NM N,N N N,N N N
203,NM NM N,NM NM N,N N N,N N N
204,N,N,N,N
205,N,N,N,N
206,N,N,V,V
207,DT,N,FAILURE,DT
208,N,N,N,N
209,N,N,N,N
210,N,N,N,N
211,NPL,N,N,NPL
212,N,N,N,N
213,N,N,NM,N
214,NM N,NM N,N N,N N
215,N,N,N,N
216,N,N,NM,NM
217,N,N,N,N
218,N,N,N,N
219,NPL,N,N,NPL
220,N,N,N,N
221,NM N,NM N,P N,P N
222,NM N,NM N,N N,N N
223,N,N,V,V
224,N,N,N,N
225,N,N,N,N
226,N,N,N,N
227,NM N,NM N,N N,N N
228,NPL,N,N,NPL
229,N,N,N,N
230,N,N,N,V
231,N,N,N,V
232,N,N,N,P
233,NM NM N,NM NM N,N N N,NM N N
234,N,N,N,N
235,N,N,N,N
236,NM N,NM N,N N,N N
237,NM N,NM N,N N,N N
238,VM P N,DT NM N,FAILURE FAILURE FAILURE,VM P N
239,N,N,N,N
240,NPL,N,N,NPL
241,N,N,N,N
242,N,N,N,N
243,NM NPL,NM N,N N,N VBZ
244,N,N,N,N
245,V,N,N,VBG
246,NM NPL,NM N,N N,N NPL
247,NM NM N,NM NM N,N N N,N NPL VBG
248,N,N,NM,NM
249,N,N,N,N
250,NM D,NM N,N N,N D
251,NM D,NM N,N N,N D
252,NM N,NM N,P N,P N
253,N,N,N,N
254,NM N,NM N,N N,P N
255,N,N,N,V
256,NM N,NM N,N N,N N
257,NM NM N,NM NM N,P N N,P N N
258,N,N,N,P
259,NM NPL,NM N,N N,N NPL
260,N,N,N,N
261,N,N,FAILURE,P
262,N,N,N,N
263,N,N,N,N
264,N,N,N,N
265,NM NPL,NM N,N N,N NPL
266,NM NPL,NM N,N N,N NPL
267,NM NPL,NM N,N N,N NPL
268,NM N,NM N,N N,N N
269,V N,NM N,V N,V N
270,NM N,NM N,N N,N N
271,N,N,N,V
272,NM N,NM N,N N,N N
273,N,N,N,N
274,N,N,N,N
275,N,N,N,N
276,NM N,NM N,N N,N N
277,NM N,NM N,N N,N N
278,NM D,NM N,N N,N D
279,NM D,NM N,N N,N D
280,N,N,N,V
281,N,N,V,V
282,N,N,N,N
283,N,N,N,N
284,N,N,N,N
285,N,N,N,N
286,N,N,N,N
287,V N,NM N,P N,VM VBN
288,V V,NM N,P N,VM VM
289,N,N,N,V
290,N,N,N,N
291,N,N,N,N
292,P NM,NM DT,FAILURE FAILURE,P NM
293,NM N,NM N,N N,V N
294,N,N,V,V
295,N,N,N,N
296,N,N,N,P
297,N,N,N,N
298,N,N,N,N
299,N,N,FAILURE,P
300,N,N,V,N
301,N,N,N,N
302,N,N,N,N
303,NM D,NM N,NM N,N D
304,NM D,NM N,N N,N D
305,NM D,NM N,NM N,N D
306,NM D,NM N,N N,N D
307,N,N,N,N
308,N,N,N,N
309,N,N,N,N
310,N,N,N,N
311,NM N,NM N,P N,P N
312,NM N,NM N,P N,P N
313,N,N,N,N
314,N,N,N,N
315,NM D,NM N,N N,N D
316,NM D,NM N,N N,N D
317,N,N,N,N
318,N,N,N,N
319,N,N,N,N
320,NM N,NM N,N N,N N
321,NM N,DT N,NM N,NM N
322,N,N,FAILURE,P
323,NM N,NM N,N N,V N
324,N,N,N,N
325,N,N,N,N
326,N,N,N,P
327,N,N,NM,N
328,N,N,N,N
329,NPL,N,N,NPL
330,N,N,N,V
331,NM N,NM N,N N,N N
332,N,N,N,N
333,V,N,N,VM
334,NM N,NM N,N N,N N
335,N,N,N,N
336,N,N,N,N
337,NM N,NM N,NM N,NM N
338,NM NPL,NM N,NM N,NM NPL
339,N,N,N,N
340,NM N,NM N,N N,N N
341,N,N,N,N
342,N,N,N,V
343,N,N,N,N
344,N,N,FAILURE,N
345,N,N,N,N
346,N,N,N,N
347,N,N,N,N
348,NM NPL,NM N,N N,N NPL
349,NM N,NM N,N N,N N
350,N,N,N,N
351,NPL,N,N,NPL
352,NM NPL,NM N,N N,N NPL
353,NM N,NM N,N N,N N
354,NM N,NM N,N N,N N
355,N,N,N,N
356,N,N,N,N
357,NM N,NM N,N N,N N
358,N,N,N,N
359,N,N,N,N
360,N,N,N,N
361,NM N,NM N,N N,N N
362,NM DT,NM DT,N N,V DT
363,NM N,NM N,N N,N N
364,NM N,NM N,N N,N N
365,NM N,NM N,N N,N N
366,NM N,NM N,FAILURE FAILURE,V N
367,N,N,N,N
368,N,N,N,N
369,NM DT,NM DT,N N,VBD DT
370,N,N,N,N
371,NM N,NM N,N N,N N
372,NM N,NM N,N N,N N
373,N,N,N,N
374,NM N,NM N,N N,N N
375,N,N,N,N
376,NM N,NM N,N N,N N
377,NM N,NM N,N N,N N
378,N,N,N,N
379,N,N,N,N
380,NM NM N,NM NM N,N N N,N N N
381,NM N,NM N,N N,N N
382,NM N,NM N,N N,V N
383,N,N,N,N
384,NM NM N,NM NM N,N N N,N N N
385,N,N,N,N
386,NM N,NM N,N N,N N
387,N,N,N,N
388,N,N,N,N
389,N,N,N,N
390,N,N,N,N
391,N,N,N,N
392,N,N,N,N
393,N,N,N,N
394,NM N,NM N,NM N,N N
395,NM NM N,NM NM N,N N N,N N N
396,NM N,NM N,N N,N N
397,NM N,NM N,N N,N V
398,NM NM N,NM NM N,N NM N,N NM N
399,NM NM N,NM NM N,N N N,N N N
400,NM N,NM N,N N,N N
401,NM N,NM N,N N,N N
402,N,N,N,N
403,NM N,NM N,P N,N N
404,N,N,N,N
405,N,N,N,N
406,N,N,N,P
407,N,N,N,N
408,N,N,N,N
409,N,N,N,N
410,NM N,NM N,N N,N N
411,N,N,N,N
412,NPL,N,V,NPL
413,NM N,NM N,N N,N N
414,NM N,NM N,N N,VM V
415,NM N,NM N,N N,N N
416,NM N,NM N,N N,N N
417,NM N,NM N,N N,N N
418,NM N,NM N,N N,N N
419,NM NPL,NM N,N N,N NPL
420,NPL,N,N,NPL
421,NM N,NM N,N N,N N
422,NM N,NM N,N N,N N
423,N,N,N,N
424,NM N,NM N,N N,P N
425,NM N,NM N,N N,N N
426,N,N,N,N
427,N,N,N,NM
428,N,N,N,P
429,NPL,N,N,NPL
430,N,N,N,N
431,N,N,N,N
432,N,N,N,N
433,NM N,NM N,NM N,NM N
434,NM N,NM N,N N,N N
435,NM NM N,NM NM N,N N V,V N N
436,NM NM N,NM NM N,N N N,V V N
437,NM N,NM N,N N,N N
438,N,N,N,N
439,NM N,NM N,N N,N N
440,NM N,NM N,N N,N N
441,N,N,N,N
442,NM NPL,NM N,N N,N NPL
443,N,N,N,N
444,NM V N,NM NM N,N N N,NPL VBP N
445,NPL,N,N,NPL
446,NM NPL,NM N,N N,N NPL
447,N,N,N,N
448,NM NM N,NM NM N,N N V,V N N
449,NM NM N,NM NM N,NM N N,VBN N N
450,NM NM N,NM NM N,NM N N,VBN N N
451,NM NM N,NM NM N,NM NM N,VBN N N
452,N,N,N,N
453,NM N,NM N,N N,N N
454,NM,N,NM,VM
455,NM N,NM N,N N,N N
456,N,N,N,N
457,N,N,V,N
458,N,N,N,P
459,NM NPL,NM N,N N,N NPL
460,N,N,N,N
461,NM N,NM N,N N,N N
462,V,N,N,VBG
463,N,N,N,N
464,N,N,N,N
465,PRE N,NM N,N N,DT N
466,NM N,NM N,N N,N N
467,N,N,N,P
468,N,N,N,N
469,NM N,NM N,NM N,N N
470,N,N,N,N
471,NM N,NM N,N N,V N
472,NM N,NM N,N N,N N
473,N,N,N,N
474,NM N,NM N,N N,N N
475,NM N,NM N,NM N,VBN P
476,NM NM N,NM NM N,N N N,V N N
477,NPL,N,N,NPL
478,NM N,NM N,N N,NPL N
479,NM N,NM N,N N,N N
480,NM N,NM N,N N,N N
481,N,N,N,N
482,NM N,NM N,N N,N N
483,N,N,N,N
484,V,N,N,VBN
485,N,N,N,N
486,NM NPL,NM N,N N,N NPL
487,NM N,NM N,N N,N N
488,V,N,N,VM
489,N,N,N,N
490,N,N,N,N
491,NM N,NM N,P N,P N
492,NM N,NM N,P N,P N
493,N,N,N,N
494,NM NM NPL,NM NM N,N N N,N N NPL
495,NM NM NM N,NM NM NM N,N N N N,N N NPL VBP
496,NM N,NM N,N N,NPL NM
497,N,N,N,N
498,DT,N,N,DT
499,NM N,NM N,N N,V N
500,NM N,NM N,N N,V N
501,NPL,N,N,NPL
502,NM N,NM N,N N,V N
503,NM NPL,NM N,N N,N NPL
504,NM N,NM N,N N,N N
505,NPL,N,N,NPL
506,NM N,NM N,N N,NPL N
507,N,N,N,N
508,N,N,N,N
509,NM N,NM N,N N,N N
510,NM D,NM N,NM N,N D
511,NM D,NM N,NM N,N D
512,NM N,DT N,NM N,NM N
513,NM N,NM N,NM N,VBN N
514,N,N,N,N
515,NM N,NM N,NM N,NM N
516,NM N,NM N,NM N,NM N
517,N,N,N,N
518,NM NPL,NM N,N N,VM VBZ
519,NM N,NM N,N N,N N
520,NM N,NM N,N N,V N
521,NM N,NM N,P N,P N
522,NM N,NM N,P N,P N
523,NM NM N,NM NM N,N N N,V N N
524,NM N,PR N,P N,P N
525,NM NM N,NM NM N,N N N,V NM N
526,NM,PR,N,P
527,NM N,NM N,N N,N N
528,NM N,NM N,N N,N N
529,NM N,NM N,N N,N N
530,N,N,N,N
531,NM N,NM N,N N,V N
532,NM N,NM N,N N,N N
533,NM N,NM N,N N,N N
534,NM N,NM N,N N,N N
535,NM N,NM N,NM N,VBN N
536,NPL,N,N,NPL
537,N,N,N,N
538,N,N,N,N
539,N,N,NM,NM
540,NM N,NM N,N N,N N
541,NM N,NM N,N N,N N
542,N,N,N,V
543,NM V,NM N,N V,VM V
544,NM N,NM N,N N,N N
545,NM NM N,NM NM N,N N N,NM NM N
546,NM N,NM N,N N,N N
547,NM NPL,NM N,N N,V NPL
548,NM NPL,NM N,N N,N NPL
549,NPL,N,N,NPL
550,NM N,NM N,N N,V N
551,NM NPL,NM N,P N,P NPL
552,NM NPL,NM N,N N,N NPL
553,NM N,NM N,N N,N N
554,N,N,N,N
555,NM N,NM N,N N,V N
556,N,N,N,N
557,NM N,NM N,N N,N N
558,NPL,N,N,NPL
559,N,N,N,N
560,NPL,N,N,NPL
561,NM DT,NM DT,P N,P DT
562,NM NM,NM PR,P N,P N
563,NM NPL,NM N,N N,VBG NPL
564,NM NM P DT N,NM NM NM DT N,FAILURE FAILURE FAILURE FAILURE FAILURE,VBG NPL P DT N
565,NM NPL,NM N,N N,NM NPL
566,DT NPL,DT N,P N,DT NPL
567,NM,PR,N,N
568,V,N,N,VBG
569,N,N,N,N
570,N,N,N,N
571,NM N,NM N,N N,N N
572,NM N,NM N,N N,N N
573,NPL,N,N,NPL
574,NM N,NM N,NM N,N N
575,NM N,NM N,N N,N N
576,NM N,NM N,N N,N N
577,NM N,NM N,N N,N N
578,NM N,NM N,N N,N N
579,NM NM N,NM NM N,N N N,VM V N
580,N,N,N,N
581,N,N,N,N
582,N,N,N,V
583,N,N,N,N
584,N,N,N,V
585,NM N,NM N,N N,N N
586,NM N,NM N,NM N,NM N
587,N,N,N,N
588,N,N,N,N
589,NM N,NM N,N N,V N
590,NM N,NM N,N N,V N
591,N,N,N,N
592,N,N,N,N
593,N,N,N,N
594,N,N,NM,N
595,N,N,N,N
596,N,N,N,N
597,N,N,N,N
598,NM N,NM N,N N,N N
599,NM N,NM N,N N,N N
600,N,N,N,N
601,N,N,N,N
602,N,N,N,N
603,N,N,N,N
604,VM,N,V,VBN
605,NM N,NM N,N N,N N
606,NM NM N,NM NM N,N N N,N N N
607,V,N,N,VBG
608,N,N,N,N
609,NM NM N,NM NM N,N N N,N N N
610,NM NM N,NM NM N,N N N,N N N
611,N,N,N,N
612,NM NPL,NM N,P N,P NPL
613,NM NPL,NM N,P N,P NPL
614,NPL,N,N,NPL
615,N,N,N,N
616,NM N,NM N,N N,N N
617,N,N,N,N
618,N,N,N,N
619,N,N,N,N
620,NM N,NM N,N N,N N
621,N,N,N,N
622,N,N,N,N
623,NM N,NM N,NM N,NM N
624,NM N,NM N,NM N,VBN N
625,NM NM N,NM NM N,N N N,V N VBN
626,NM N,NM N,N N,V N
627,NM NM N,NM NM N,N N N,N NPL N
628,NM N,NM N,N NM,N VM
629,V NM P NPL,NM NM NM N,V N P N,N N P NPL
630,NM N,NM N,N N,N N
631,N,N,N,N
632,NM NPL,NM N,P N,P NPL
633,N,N,N,N
634,NM N,NM N,N N,N N
635,N,N,N,N
636,N,N,N,N
637,N,N,N,N
638,V,N,N,VM
639,NM N,NM N,N N,V N
640,NM NM N,NM NM N,N N N,V NM N
641,NM NM V N,NM NM NM N,N N N N,V N VM NM
642,NM NPL,NM N,N N,N NPL
643,NM N,NM N,N N,N N
644,NPL,N,N,NPL
645,N,N,N,N
646,NM NM N,NM NM N,N N N,N NPL VBP
647,NM N,NM N,N N,VBZ N
648,NM N,NM N,N N,N N
649,NPL,N,N,NPL
650,NM N,NM N,NM N,N N
651,NM N,NM N,N N,N N
652,NM N,NM N,N N,N N
653,N,N,N,N
654,N,N,FAILURE,P
655,NM N,NM N,N N,N N
656,N,N,N,V
657,N,N,N,N
658,N,N,N,N
659,NM N,NM N,N N,N N
660,NM N,NM N,N N,N N
661,NM N,NM N,N N,N N
662,NM N,NM N,N N,N N
