,OUT,SWUM,POSSE,STANFORD
66,NM N,NM N,N N,N N
67,NM NM NM N,NM NM NM N,N N N N,N N N N
68,NM NM NM N,NM NM NM N,N N N N,N N N N
69,NM NM N,NM NM N,N NM N,N N N
70,NM NM NM N,NM NM NM N,N N N N,N N N N
71,NM NM NM N,NM NM NM N,N N N N,N N N N
72,NM NM NM N,NM NM NM N,N N N N,N N N N
73,NM N,NM N,N N,N N
74,DT N,NM N,N N,FAILURE FAILURE
75,DT N,NM N,N N,FAILURE FAILURE
76,NM N,NM N,N N,N N
77,NM N,NM N,N N,N N
78,NM NM N,NM NM N,NM N N,N N N
79,NM NM N,NM NM N,NM N N,NM N N
80,P N,NM N,P N,P N
81,N P N,NM NM N,FAILURE FAILURE FAILURE,N P N
82,NPL,N,N,NPL
83,N,N,V,V
84,NM N,NM N,N N,N N
85,NM N,NM N,N N,N N
86,NM N,NM N,N N,N N
87,DT NM NM N,DT NM NM N,NM NM N N,DT N N N
88,NM N,NM N,N N,N N
89,DT DT N,NM NM N,N N N,FAILURE FAILURE FAILURE
90,NM NPL N,NM NM N,N N N,N NPL N
91,NM N,NM N,N N,N N
92,NM N,NM N,N N,N N
93,NM N,NM N,N N,N N
94,N,N,N,N
95,N,N,N,N
96,N P N,NM NM N,V P N,N P N
97,NM NM N,NM NM N,N N N,N N N
98,NM NM NM N,NM NM NM N,N N N N,N N N N
99,NM NM N,NM NM N,N N N,N N N
100,NM NM NM N,NM NM NM N,N N N N,N N N N
101,NM NM N,NM NM N,N N N,N N N
102,NM NM NM N,NM NM NM N,N N N N,N N N N
103,NM N,NM N,N N,N N
104,NM NM NM NM N,NM NM NM NM N,N N NM N N,N N N N N
105,NM NM NM NM N,NM NM NM NM N,N N N N N,N N N N N
106,NM N,NM N,N N,N N
107,NM N,NM N,N N,N N
108,DT N,NM N,N N,FAILURE FAILURE
109,NM N,NM N,N N,N N
110,NM NM NM NM N,NM NM NM NM N,N N NM N N,N N N N N
111,N,N,N,N
112,NM NM NPL,NM NM N,N NM N,N NM NPL
113,NM NPL,NM N,N N,N NPL
114,NM NPL,NM N,N N,N NPL
115,NM NPL,NM N,N N,N NPL
116,N NM P NPL,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N P NPL
117,N,N,N,FAILURE
118,NM N,NM N,N N,N N
119,NM N,NM N,N N,N N
120,NM N,NM N,NM N,N N
121,NM N,NM N,N N,N N
122,NM NM NM N,NM NM NM N,N N N N,N N N N
123,NM NM N,NM NM N,N N N,N N N
124,NM N,NM N,N N,N N
125,NM NM NM N,NM NM NM N,N N N N,N N N N
126,NM NM NM NM N,NM NM NM NM N,N N N NM N,N N N N N
127,NM N,NM N,N N,N N
128,NM NM NM N,NM NM NM N,N N N N,N N N N
129,NM NM N,FAILURE FAILURE FAILURE,NM N N,N N N
130,NM NM N,NM NM N,N NM N,N NM N
131,NM NPL,NM N,N N,N NPL
132,NM N,NM N,NM N,NM N
133,N,N,N,N
134,N,N,N,N
135,NM NM NPL,NM NM N,N NM N,N N NPL
136,N,N,N,N
137,NM NM NM N,NM NM NM N,N N N N,N N N N
138,NM NM N,NM NM N,NM N N,NM NM N
139,DT N,NM N,N N,FAILURE FAILURE
140,NM N,NM N,N N,N N
141,DT N,NM N,N N,FAILURE FAILURE
142,NM N,NM N,N N,N N
143,DT N,NM N,N N,FAILURE FAILURE
144,NM NM N,NM NM N,NM N N,P N N
145,NM NM N,NM NM N,N N N,N N N
146,N,N,N,N
147,N,N,N,NM
148,NM N,NM N,N N,N N
149,NM NM N,NM NM N,N N N,N N N
150,NM NM NM N,NM NM NM N,NM N N N,N N N N
151,NM NM N,NM NM N,N N N,N N N
152,NM NM NM N,NM NM NM N,NM N N N,N N N N
153,NM N,NM N,NM N,NM N
154,NM NM NM N,NM NM NM N,N N N N,N N N N
155,NM NM N,NM NM N,N N N,N N N
156,NM N,NM N,N N,N N
157,NM NM N,NM NM N,NM N N,NM N N
158,N,N,N,N
159,N,N,N,N
160,N,N,N,N
161,NM N,NM N,N N,N N
162,NM N,NM N,N N,N N
163,NM N,NM N,NM N,N N
164,NM NM N,NM NM N,N N N,N N N
165,NM N,NM N,N N,N N
166,NM NM N,NM NM N,NM N N,N N N
167,NM NM N,NM NM N,N N N,N N N
168,NM NM N,NM NM N,N N N,N N N
169,N,N,N,N
170,N P NM N,NM NM NM N,V P N N,N P N N
171,N P NM N,NM NM NM N,V P NM N,N P NM N
172,N P NM N,NM NM NM N,V P NM N,N P N N
173,NM NM N,NM NM N,NM N N,N N N
174,NM N,NM N,NM N,N N
175,NM N,NM N,N N,N N
176,NM N,NM N,N N,N N
177,NM N,NM N,N N,N N
178,NM N,NM N,N N,N N
179,NM N,NM N,N N,VBN N
180,N NM P,NM NM N,FAILURE FAILURE FAILURE,N N P
181,N NM NM P,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N N P
182,NM N,NM N,N N,N N
183,N,N,N,N
184,V,N,N,VBG
185,N P N,NM NM N,V P N,N P N
186,N NM P,NM NM N,V N P,N N P
187,N P,NM N,V P,N P
188,NM N,NM N,N N,V N
189,N,N,N,N
190,NM NM N,NM NM N,N NM N,N N N
191,NM N,NM N,N N,N N
192,NM N,NM N,N N,N N
193,NM NM NM NM N,NM NM NM NM N,N N NM N N,N N N N N
194,N P N,NM NM N,FAILURE FAILURE FAILURE,N P N
195,NM NM N,NM NM N,N N N,N N N
196,NM NM N,NM NM N,N N N,N N N
197,NM NM N,NM NM N,NM N N,N N N
198,NM N,NM N,N N,N N
199,NM NM N,NM NM N,NM N N,NM N N
200,N,N,N,N
201,NM N,NM N,N N,V N
202,N N,NM N,FAILURE FAILURE,N N
203,P P N,NM NM N,FAILURE FAILURE FAILURE,P P N
204,N,N,N,N
205,NM NM N,FAILURE FAILURE FAILURE,N NM N,N N N
206,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N NM N,N N N N
207,N,N,N,N
208,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N NM N,N N N N
209,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,NM NM N N,NM N N N
210,NM NM N,FAILURE FAILURE FAILURE,NM NM N,NM N N
211,NM NM N,NM NM N,N N N,N N N
212,NM NM N,FAILURE FAILURE FAILURE,N NM N,N N N
213,NM NM N,FAILURE FAILURE FAILURE,N NM N,FAILURE FAILURE FAILURE
214,NM NM N,NM NM N,N N N,N N N
215,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,NM NM NM N,N N N N
216,NM NM N,FAILURE FAILURE FAILURE,NM NM N,NM N N
217,NM NM N,FAILURE FAILURE FAILURE,N NM N,N N N
218,NM NM NM N,NM NM NM N,N N N N,N N N N
219,NM N,NM N,N N,N N
220,NM NM N,NM NM N,N N N,N N N
221,NM N,FAILURE FAILURE,NM N,N N
222,NM NM N,FAILURE FAILURE FAILURE,NM N N,N N N
223,NM NM N,FAILURE FAILURE FAILURE,NM N N,N N N
224,NM NM NM N,NM NM NM N,N N N N,N N N N
225,NM NM NM NPL,NM NM NM N,NM N N N,N N N NPL
226,NM NPL,NM N,N N,N NPL
227,NM NM N,FAILURE FAILURE FAILURE,N NM N,N N N
228,NM NM N,NM NM N,NM N N,N N N
229,NM N,NM N,N N,N N
230,NM N,NM N,N N,N N
231,NM NM N,NM NM N,N N N,N N N
232,DT N,NM N,N N,FAILURE FAILURE
233,NM NM N,FAILURE FAILURE FAILURE,NM NM N,NM N N
234,NM N,NM N,NM N,N N
235,NM NM N,NM NM N,NM NM N,N N N
236,NM NM NM NM N,NM NM NM NM N,N N NM N N,N N N N N
237,NM NM N,FAILURE FAILURE FAILURE,NM NM N,N N N
238,NM N,NM N,NM N,N N
239,NM N,NM N,N N,N N
240,NM NM V DT N,NM NM NM DT DT,N N N P N,N N VBZ DT N
241,NM NM N,NM NM N,N N N,N N N
242,NM NM NM N,NM NM NM N,N NM N N,N N N N
243,NM NM NM N,NM NM NM N,N N N N,N N N N
244,NM N,NM N,N N,N N
245,NM NM N,FAILURE FAILURE FAILURE,NM NM N,VBG N N
246,NM N,NM N,NM N,VBG N
247,NM NM N,FAILURE FAILURE FAILURE,N NM N,N N N
248,NM NM N,FAILURE FAILURE FAILURE,N NM N,N N N
249,N,N,NM,NM
250,NM N,NM N,NM N,NM N
251,NM NM N,NM NM N,N N N,N N N
252,NM NM NM NM N,NM NM NM NM N,N N N N N,N N N N N
253,NM NM N,FAILURE FAILURE FAILURE,N NM N,FAILURE FAILURE FAILURE
254,DT N,NM N,N N,FAILURE FAILURE
255,NM NM N,FAILURE FAILURE FAILURE,N NM N,FAILURE FAILURE FAILURE
256,NM NM N,FAILURE FAILURE FAILURE,N NM N,FAILURE FAILURE FAILURE
257,NM NM N,FAILURE FAILURE FAILURE,N NM N,FAILURE FAILURE FAILURE
258,NM NM N,FAILURE FAILURE FAILURE,N NM N,FAILURE FAILURE FAILURE
259,NM NM N,FAILURE FAILURE FAILURE,N NM N,N N N
260,NM NM N,FAILURE FAILURE FAILURE,N NM N,N N N
261,NM NM N,FAILURE FAILURE FAILURE,N NM N,N N N
262,NM NM N,FAILURE FAILURE FAILURE,N NM N,N N N
263,NM N,NM N,N N,N N
264,N P NM N,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N P N N
265,V P NPL,NM NM N,V P N,V P NPL
266,N P NPL,NM NM N,V P N,N P NPL
267,NM N,NM N,NM N,N N
268,NM N,NM N,NM N,N N
269,NM NM N,NM NM N,NM N N,N N N
270,N,N,N,N
271,NM N,NM N,NM N,N N
272,NM NM N,NM NM N,N N N,N N N
273,NM NM N,NM NM N,N N N,N N N
274,NM NM N,NM NM N,NM N N,N N N
275,NM N,NM N,N N,N N
276,NM N,NM N,N N,N N
277,NM N,NM N,N N,N N
278,NM NM N,NM NM N,N N N,N N N
279,NM N,NM N,NM N,N N
280,NM NM N,NM NM N,NM N N,N N N
281,NM NM N,NM NM N,NM N N,NM N N
282,NM NM NM N,NM NM NM N,NM N N N,N N N N
283,NM N,NM N,N N,N N
284,NM NM NM N,NM NM NM N,NM NM N N,N N N N
285,NM N,NM N,N N,N N
286,NM NM NM N,NM NM NM N,NM NM N N,NM VBG N N
287,NM NM N,NM NM N,NM NM N,NM VBG N
288,NM NM NM N,NM NM NM N,NM NM N N,NM VBG N N
289,NM NM NM N,NM NM NM N,NM NM NM N,N N VBG N
290,NM NM N,NM NM N,N NM N,N N N
291,NM N,NM N,NM N,N N
292,NM NM N,NM NM N,NM N N,N N N
293,N,N,N,N
294,NM CJ NM N,NM NM NM N,NM N N N,N CJ N N
295,N,N,N,N
296,NM N,NM N,NM N,N N
297,V,N,N,VBG
298,NM N,NM N,N N,N N
299,NM V NM N,NM NM NM N,N N N N,N VBZ N N
300,N NM NM,NM NM N,V N NM,N N N
301,NM NM NM NM NPL,NM NM NM NM N,N N N NM N,N N N N NPL
302,NM NM NM NM NPL,NM NM NM NM N,N N NM NM N,N N V NM NPL
303,NM NM NM NM NPL,NM NM NM NM N,N N N NM N,N N N N NPL
304,NM NM P NM NM NPL,FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE,N N NM N N N,N N D N N NPL
305,NM N,NM N,N V,N N
306,NM NM,NM N,N NM,N NM
307,NM D N,NM NM N,N NM N,N D N
308,P N,NM N,P N,P N
309,NM NM NPL,NM NM N,N N N,N N NPL
310,NM N,NM N,N V,N N
311,NM NM N,NM NM N,N N N,N N N
312,NM N,NM N,N N,N N
313,NM N,NM N,N N,N N
314,NM N,NM N,N N,N N
315,NM N,NM N,N N,N V
316,NM NM N,NM NM N,N N N,N N V
317,N,N,N,N
318,UNK,UNK,UNK,UNK
319,N,N,N,NM
320,DT N,DT N,NM N,DT N
321,NM NM NM N,NM NM NM N,N N N N,N N N N
322,UNK,UNK,UNK,UNK
323,NM NPL,NM N,N N,N NPL
324,NM NM N,NM NM N,N N N,N N N
325,NM NM,NM N,N NM,N N
326,NM NPL,NM N,N N,N NPL
327,UNK,UNK,UNK,UNK
328,N,N,N,N
329,NM N,NM N,N N,V VBG
330,NM N,NM N,N V,N N
331,NM NM N,NM NM N,N NM N,N N N
332,UNK,UNK,UNK,UNK
333,NM NM N,NM NM N,N N N,N N N
334,NM NM NPL,NM NM N,N NM N,N N NPL
335,NM P NM N,FAILURE FAILURE FAILURE FAILURE,N NM NM N,N D N N
336,NM NM N,NM NM N,N NM N,N N N
337,NM NM N,NM NM N,N N N,N N N
338,NM NM N,NM NM N,N N N,N N N
339,NM NM N,NM NM N,N N N,N N N
340,NM NM N,NM NM N,N NM N,N N N
341,NM NM NM N,NM NM NM N,NM N N N,N N N N
342,NM NM N,FAILURE FAILURE FAILURE,NM NM N,N N N
343,NM N,NM N,NM N,N N
344,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N N NM N,N N N N N
345,NM NM N,NM NM N,N N N,VBG N N
346,NM NM NM N,NM NM NM N,N N N N,N N N N
347,NM NM N,NM NM N,N N N,N N N
348,NM NM N,NM NM N,N N N,N N N
349,NM NM,NM N,N NM,N N
350,N NM NM N,FAILURE FAILURE FAILURE FAILURE,N N NM N,V N N N
351,NM NM N,NM NM N,N N N,N N N
352,NM NM N,FAILURE FAILURE FAILURE,N NM N,N N N
353,NM N,NM N,N N,N N
354,NM NM N,FAILURE FAILURE FAILURE,N NM N,N N N
355,NM N,NM N,N N,N N
356,NM NM NM NPL,NM NM NM N,NM NM N N,N V N NPL
357,NM NM NPL,NM NM N,NM N N,N N NPL
358,NM NM NPL,NM NM N,NM N N,N N NPL
359,NM NM NPL,NM NM N,NM N N,N N NPL
360,NM NM NPL,NM NM N,NM N N,N N NPL
361,NM NM NPL,NM NM N,NM NM N,N N NPL
362,NM NM N,NM NM N,NM N N,N N N
363,NM NM NM NPL,NM NM NM N,NM NM N N,N N N NPL
364,NM NM NM NPL,NM NM NM N,NM N N N,N N N NPL
365,NM NM NM NPL,NM NM NM N,NM NM N N,N N N NPL
366,NM NM NPL,NM NM N,NM N N,N N NPL
367,NM NM NM NPL,FAILURE FAILURE FAILURE FAILURE,NM NM N N,N N N NPL
368,NM NPL NPL,NM NM N,NM N N,N NPL NPL
369,NM NM NPL,NM NM N,NM N N,N N NPL
370,NM D NM NPL,NM NM NM N,NM NM N N,N D N NPL
371,NM NM NM NM NPL,FAILURE FAILURE FAILURE FAILURE FAILURE,N N N N N,N N N N NPL
372,NM NM NPL,NM NM N,NM N N,N N NPL
373,NM NM NM NPL,NM NM NM N,NM N N N,N V N NPL
374,NM NM NPL,NM NM N,NM N N,N N NPL
375,NM NPL NPL,NM NM N,NM N N,N NPL NPL
376,NM NPL,NM N,N N,N NPL
377,NM NM NM NM NPL,NM NM NM NM N,NM N N N N,N N N N NPL
378,NM NM NPL,NM NM N,NM N N,N N NPL
379,NM N,NM N,N N,N N
380,NM N,NM N,N N,N N
381,NM NM N,NM NM N,N N N,N N N
382,NM NM N,FAILURE FAILURE FAILURE,NM NM N,NM N N
383,NM N,NM N,NM N,NM N
384,NM NM N,NM NM N,N NM N,N N N
385,NM NM P P N,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,NM N P P N
386,NM NM P N,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,NM N P N
387,NM NM NPL,NM NM N,N NM N,N V NPL
388,NM NM NM NM,NM NM NM N,N NM N NM,N V N N
389,NM N,NM N,N V,N VBZ
390,NM NM N,NM NM N,N N N,N V N
391,N,N,N,N
392,NM NM N,NM NM N,N N N,N V N
393,NM NM NM N,NM NM NM N,N N N N,N N V N
394,NM NM N,NM NM N,N N N,N N N
395,NM N,NM N,NM N,N N
396,NM NM N,NM NM N,N N N,N N N
397,NM NM N,NM NM N,N N N,N N N
398,NM NM N,NM NM N,N NM N,N N N
399,NM NM N,NM NM N,N N N,N N N
400,N NM P,NM NM N,V N P,N N P
401,NM N,NM N,N N,N N
402,NM N,NM N,N N,N N
403,NM NM NPL,NM NM N,N NM N,N N NPL
404,NM N,NM N,N N,N N
405,NM N,NM N,N N,N N
406,NM NPL,NM N,N N,N NPL
407,NM NM NM N,NM NM NM N,N N N N,N N N N
408,NM NM NM NM,FAILURE FAILURE FAILURE FAILURE,N NM N NM,N N N VBN
409,NM NM NM N,NM NM NM N,N N N N,N N N N
410,N P,NM N,V P,N P
411,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
412,NM N,NM N,N N,N N
413,NM NM N,NM NM N,N NM N,N N N
414,NM N,NM N,N N,N N
415,NM NM NM N,NM NM NM N,N NM N N,N N N N
416,NM NM N,NM NM N,N N N,N N N
417,NM NM N,NM NM N,N N N,N N N
418,NM NM NM N,NM NM NM N,N N N N,N N N N
419,NM NM N,NM NM N,N N N,N V N
420,NM NPL,NM N,N N,V VM
421,N NM NM NM V,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N VBD V VBN
422,NM NM N,NM NM N,N N N,N N N
423,NM N,NM N,N N,N N
424,NM NM NM N,NM NM NM N,N N N N,N N N N
425,NM N,NM N,N N,N N
426,NM NM NM N,NM NM NM N,N N N N,N N N N
427,NM NM NM V,NM NM NM N,N N N V,N N N V
428,NM N,NM N,N N,V N
429,NM N,NM N,N N,N N
430,NM NM V,NM NM N,N N NM,N V VBN
431,NM NM NM N,NM NM NM N,N N N N,N N N N
432,NM NM NM N,NM NM NM N,N N N V,N N N N
433,NM NM NM N,NM NM NM N,N N N N,N N N N
434,NM NM NM N,NM NM NM N,N N N N,N N N N
435,NM N,NM N,N N,N N
436,NM NM N,NM NM N,N N N,N V N
437,NM NM NM N,NM NM NM N,N NM N N,N V N N
438,NM NM NPL,NM NM N,N N N,N V NPL
439,NM NM NM NPL,NM NM NM N,N N N N,N VBP V NPL
440,NM N,NM N,N N,N N
441,NM NM NM N,NM NM NM N,N N NM N,N N N N
442,NM NM N,NM NM N,N NM N,N N N
443,NM NM NM N,NM NM NM N,N N NM N,N N N N
444,NM NM D N,NM NM NM N,N N NM N,N N D N
445,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N N N,N N N N
446,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N N N,N N N N
447,NM NM N,NM NM N,N N N,N N N
448,NM NM N,NM NM N,N N N,N N N
449,NM NPL,NM N,N N,N NPL
450,N P NPL,NM NM N,V P N,N P NPL
451,N P NPL,NM NM N,V P N,N P NPL
452,N P NPL,NM NM N,V P N,N P NPL
453,NM NM NPL,NM NM N,N N N,N N NPL
454,NM NPL,NM N,N N,N VBZ
455,NM N,NM N,N N,N N
456,NM NM N,NM NM N,N N N,N N N
457,NM NM N,NM NM N,N N N,N N N
458,N NM P N,NM NM NM N,V N P N,N N P N
459,NM NM NM N,NM NM NM N,N N N N,N N N N
460,NM NM N,NM NM N,N N N,N N N
461,NM NM NM NPL,NM NM NM N,N NM N N,N N N NPL
462,NM NM N,NM NM N,N NM N,N N N
463,NM NM NM D,NM NM NM N,N NM N N,N N N D
464,NM N,NM N,N N,N N
465,NM N,NM N,N V,N N
466,NM NM NM N,NM NM NM N,N NM N N,N N N N
467,NPL NPL,NM N,N N,NPL NPL
468,NM NM NM NPL,NM NM NM N,N N N N,N N N VBZ
469,NM NM NM NPL,NM NM NM N,N N N N,N N N VBZ
470,NM NM NM NPL,NM NM NM N,N N N N,N N N VBZ
471,NM NM NPL,NM NM N,N N N,N N NPL
472,NM NPL,NM N,N N,N NPL
473,NM NM V NM N,NM NM NM NM N,N N N N N,N N VBZ N N
474,NM NM NM NM N,NM NM NM NM N,N N N N N,N N N N N
475,NM NM NM NM N,NM NM NM NM N,N N N N N,N N N N N
476,N NM NM NM NM,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N V N N NM
477,NM NM N,NM NM N,N N N,N N N
478,NM NM NM NM N,NM NM NM NM N,N N N N N,N N N N N
479,NM NM NM,NM NM N,N N NM,N NM N
480,NM NM N,NM NM N,N NM N,N N V
481,NM NM N,NM NM N,N N N,N N N
482,NM NM N,NM NM N,N N N,N V N
483,N P P NPL,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N P P NPL
484,NM N,NM N,N N,N N
485,NM NM N,NM NM N,N N N,N N N
486,NM NM NM N,NM NM NM N,N N N N,N N N N
487,NM NM NM N,NM NM NM N,N N N N,N N N N
488,NM NM NM N,NM NM NM N,N N N N,N N N N
489,NM NM N,NM NM N,N N N,N N N
490,NM NM NM NM N,NM NM NM NM N,N N N N N,N N N N N
491,NM NM V,NM NM N,N N NM,N V VBN
492,NM NM NM N,NM NM NM N,N N N N,N N N N
493,NM NM NM N,NM NM NM N,N N N N,N N N N
494,N P N,NM NM N,V P N,N P N
495,N NM NM P N,NM NM NM NM N,V N N P N,N N N P N
496,NM N,NM N,N N,N N
497,NM NM NM NM NPL,NM NM NM NM N,N N N NM N,N N N V NPL
498,NM NM NM N,NM NM NM N,N N N N,N N N N
499,NM NM NM N,NM NM NM N,N NM N N,N N N N
500,NM NM N,NM NM N,N N N,N N N
501,NM NM N,NM NM N,N N N,N N N
502,N NM P N,NM NM NM N,V N P N,N N P N
503,NM NM NM N,NM NM NM N,N N N N,N N N N
504,NM NM NM N,NM NM NM N,N N N N,N N N N
505,NM NM NM N,NM NM NM N,N N N N,N N N N
506,NM N,NM N,NM N,N N
507,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
508,NM NM NM N,NM NM NM N,N N N N,N N N N
509,NM NM NM NM N,NM NM NM NM N,N N N N N,N N N N N
510,NM NM NPL,NM NM N,N N N,N N VBZ
511,NM NM NM N,NM NM NM N,N N N N,N N N N
512,NM NM NM N,NM NM NM N,N N N N,N N N N
513,NM NM NM N,NM NM NM N,N N N N,N N N N
514,NM NM NM N,NM NM NM N,N NM N N,N N N N
515,N NM NM NM NM DT,NM NM NM NM NM DT,FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE,N N N N N DT
516,N NM NM NM NM N,NM NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE,N N N N N N
517,NM N,NM N,N N,N N
518,NM N,NM N,N N,N N
519,NM NM NM N,NM NM NM N,N N N N,N N N N
520,N P N,NM NM N,V P N,N P N
521,NM NM NM N,NM NM NM N,N N N V,N N N N
522,NM NM NM N,NM NM NM N,N N N N,N N N N
523,NM NM N,NM NM N,N N V,N N N
524,N P N,NM NM N,V P N,N P N
525,N P P,NM NM N,V P P,N P P
526,NM V,NM N,N V,N V
527,N NM NM NM P NM N,NM NM NM NM NM NM N,V N N N P NM N,N N N N P N N
528,V P NM N,NM NM NM N,V P N N,V P N N
529,NM N,NM N,N V,N N
530,NM NM NM N,NM NM NM N,N N N N,N N N N
531,V P N,NM NM N,V P N,V P V
532,NM NM NM NM N,NM NM NM NM N,N N N N N,N N N V N
533,NM NM N,NM NM N,N N N,N N N
534,NM N,NM N,N N,N N
535,NM NM NM NPL,NM NM NM N,N N NM N,N V N NPL
536,NM NM NM V,NM NM NM N,N N N NM,N N N VBD
537,NM NM NM N,NM NM NM N,N N N N,N N N N
538,NM N,NM N,N N,N N
539,NM NM NM NM NPL,NM NM NM NM N,N N N NM N,N N N V NPL
540,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
541,NM NM N,NM NM N,N N N,N N N
542,NM NM NM NPL,NM NM NM N,N N NM N,N N V NPL
543,NM NM N,NM NM N,N N N,N N N
544,NM NM N,NM NM N,N N N,N N N
545,NM N,NM N,N V,N N
546,NM N,NM N,N N,N N
547,N NM D NM P NPL,NM NM NM NM NM N,V N NM N P N,N N D N P NPL
548,NM NM D NM NPL,NM NM NM NM N,N N NM N N,N N D N NPL
549,NM NM D NM NM,NM NM NM NM N,N N NM N NM,N N D N N
550,NM NM NM NM NM N,NM NM NM NM NM N,N N N N N N,N V N N N VBG
551,N NM NM P NM NM NPL,NM NM NM NM NM NM N,V N N P N N N,N N N P V N NPL
552,N NM NM P NM NM N,NM NM NM NM NM NM N,V N N P N N N,N N N P N N N
553,N NM D NM P N,NM NM NM NM NM N,V N NM N P N,N N D N P N
554,N NM D NM P NPL,NM NM NM NM NM N,V N NM N P N,N N D N P NPL
555,NM NM D NM N,NM NM NM NM N,N N NM N N,N N D N N
556,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
557,NM NM D N,NM NM NM N,N N NM N,N N D N
558,NM NM D NM NM N,NM NM NM NM NM N,N N NM N N N,N N D N N N
559,NM NM D NM N,NM NM NM NM N,N N NM N N,N N D N N
560,NM NM NM N,NM NM NM N,N N N N,N N N N
561,NM NM NPL,NM NM N,N NM N,N N NPL
562,N NM NM P NM VM NM P,NM NM NM NM NM NM NM N,V NM N P NM P N P,N N N P N N N P
563,N NM P NM,NM NM NM PR,V N P N,N N P N
564,NM NM N,NM NM N,N N N,N N N
565,NM NM N,NM NM N,N N N,N N N
