,SEQUENCE,POS,NLTK,CORENLP,OPENNLP,SPACY,FLAIR,STANZA
40,value label type mismatch,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN VB NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN
41,invalid column name,JJ NN NN,JJ NN NN,JJ NN NN,NN NN NN,JJ NN NN,JJ NN NN,JJ NN NN
42,categorical conversion warning,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN VBG,JJ NN NN,JJ NN NN,JJ NN NN
43,lossy set item error,JJ VB NN NN,JJ VBN NN NN,NN VBN NN NN,JJ VBN NN NN,JJ VBN NN NN,JJ NN NN NN,JJ NN NN NN
44,no buffer present,DT NN JJ,DT NN NN,DT NN JJ,DT NN NN,DT NN NN,DT NN JJ,DT NN NN
45,invalid comparison,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
46,subclassed series,VBN NNS,VBN NN,VBN NN,VBN NN,VBN NN,JJ NN,VBN NN
47,subclassed data frame,VBN NNS NN,VBN NNS NN,VBN NNS NN,VBN NNS NN,VBN NNS NN,VBN NNS NN,VBN NNS NN
48,plot accessor,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
49,options,NNS,NNS,NNS,NNS,NNS,NNS,NNS
50,hist plot,NNP NN,NN NN,NN NN,NN NN,JJ NN,NN NN,NN NN
51,kde plot,NNP NN,NN NN,NN NN,NN NN,NNP NNP,NNP NN,NNP NN
52,mpl plot,NNP NN,NN NN,NN NN,NN NN,NNP NN,NNP NN,NNP NN
53,plane plot,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
54,scatter plot,NN NN,NN NN,NN NN,NN NN,NN NN,VB NN,VB NN
55,hex bin plot,NN JJ NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NN,NN NN NN,NNP NNP NN
56,line plot,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
57,area plot,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
58,bar plot,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
59,barh plot,NNP NN,NN NN,NN NN,NN NN,VBN NN,UH NN,NN NN
60,pie plot,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
61,box plot,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
62,bp,NNP,NN,NN,NN,VB,XX,NN
63,time converter,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
64,time formatter,NN NN,NN NN,NN NN,NN IN,NN NN,NN NN,NN NN
65,period converter,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
66,datetime converter,NN NN,NN NN,NN NN,NN NN,JJ NN,NN NN,NN NN
67,pandas auto date formatter,NNP JJ NN NN,JJ NN NN NN,NNS NN NN NN,NNS NN NN IN,VBZ NN NN NN,NNS NN NN NN,NNS NN NN NN
68,pandas auto date locator,NNP JJ NN NN,JJ NN NN NN,NNS NN NN NN,NNS NN NN NN,VBZ NN NN NN,NNS NN NN NN,NNS NN NN NN
69,milli second locator,NN NN NNP,JJ JJ NN,NNS JJ NN,NNS JJ NN,NNP NNP NN,NNP JJ NN,NN JJ NN
70,time series date locator,NN NNS NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NNP NNP NN,NN NN NN NN,NN NN NN NN
71,time series date formatter,NN NNS NN NN,NN NN NN NN,NN NN NN NN,NN NN NN IN,NN NNP NNP NN,NN NN NN NN,NN NN NN NN
72,time series timedelta formatter,NN NNS NNP NN,NN NN NN NN,NN NN NNP NN,NN NN NN NN,NN NNP NNP NN,NN NN NN NN,NN NN NN NN
73,data frame,NN NN,NNS NN,NNS NN,NNS NN,NNS NN,NN NN,NN NN
74,index slice,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
75,indexing mixin,VBG NN,VBG NN,NN NN,NN NN,VBG NN,VBG NN,NN NN
76,location indexer,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
77,loc indexer,NN NN,NN NN,NN NN,NN NN,NNP NNP,NNP NN,JJ NN
78,i loc indexer,PRP NN NN,JJ NN NN,PRP VBP NN,FW NN NN,PRP VBP NNP,PRP VBP NN,PRP VBP NN
79,scalar access indexer,NN NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,NN NN NN,NN NN NN
80,at indexer,IN NNP,IN NN,IN NN,IN NN,IN NN,IN NN,IN NN
81,i at indexer,PRP IN NNP,NN IN NN,PRP IN NN,NN IN NN,PRP IN NN,PRP IN NN,PRP IN NN
82,flags,NNS,NNS,NNS,NNS,NNS,NNS,NNS
83,disallow,VB,NN,VB,NN,NN,VB,VB
84,bottleneck switch,NN NN,NN NN,NN NN,NN NN,NNP VB,NN NN,NN NN
85,nd frame,NNP NN,NN NN,NN NN,NN NN,NNP NNP,UH NN,JJ NN
86,pandas object,NNP NN,NNS VBP,NNS VBP,NNS NN,VBZ VBP,NNS VBP,NNS NN
87,no new attributes mixin,DT JJ NNS NN,DT JJ NNS VBP,DT JJ NNS NN,DT JJ NNS NN,DT JJ NNS NN,DT JJ NNS VBP,DT JJ NNS NN
88,selection mixin,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
89,index ops mixin,NN NN NN,NN NNS NN,NN NNS NN,NN NNS .,NN NNS NNP,NN VBZ NN,NN NNS NN
90,dir names mixin,NN NNS NN,NN NNS VBP,NN NNS NN,NN NNS .,NNP NNS NN,NN NNS NN,NN NNS NN
91,pandas delegate,NNP NN,NNS VBP,NNS NN,NNS NN,VBZ NN,NNS VBP,NNS NN
92,cached accessor,VBN NN,VBN NN,VBN NN,VBD NN,VBN NN,VBN NN,VBN NN
93,ops mixin,NN NN,NNS NN,NNS NN,NNS NN,NNS NNP,UH NN,NNS NN
94,series,NN,NN,NN,NN,NN,NN,NN
95,resampler,NNP,NN,NN,NN,NN,NN,NN
96,group by mixin,NN IN NNP,NN IN NN,NN IN NN,NN IN NN,NN IN NNP,NN IN NN,NN IN NN
97,datetime index resampler,NN NN NNP,NN NN NN,NN NN NN,NN NN NN,NNP NN NN,NN NN NN,NN NN NN
98,datetime index resampler groupby,NN NN NNP NNP,NN NN NN NN,NN NN NN NN,NN NN NN NN,NNP NN NN VBD,NN NN NN NN,NN NN NN NN
99,period index resampler,NN NN NNP,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
100,period index resampler groupby,NN NN NNP NNP,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN VBD,NN NN NN NN,NN NN NN NN
101,timedelta index resampler,NNP NN NNP,NN NN NN,JJ NN NN,NN NN NN,NNP NNP NN,NNP NN NN,NN NN NN
102,timedelta index resampler groupby,NNP NN NNP NNP,NN NN NN NN,JJ NN NN NN,NN NN NN NN,NNP NN NN VBD,NNP NN NN NN,NN NN NN NN
103,time grouper,NN NN,NN NN,NN NN,NN NN,NN VB,NN NN,NN NN
104,multi index u int engine,JJ NN FW NNP NN,NN NN JJ NN NN,JJ NN NN NN NN,JJ NN IN NN NN,NNP NNP NNP NN NN,NN NN NN NN NN,JJ NN NN NN NN
105,multi index py int engine,JJ NN FW NNP NN,NN NN VBD NN NN,JJ NN NN NN NN,JJ NN NN NN NN,NNP NNP NNP NN NN,NN NN NN NN NN,JJ NN NN NN NN
106,multi index,JJ NN,NN NN,JJ NN,NNS NN,NNP NN,JJ NN,JJ NN
107,period index,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
108,interval index,NN NN,NN NN,NN NN,NN NN,NN NN,JJ NN,JJ NN
109,extension index,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
110,nd array backed extension index,NNP NN VBN NN NN,JJ NN VBD NN NN,JJ NN VBD NN NN,NN NN VBD NN NN,NNP NNP VBN NN NN,NN NN VBN NN NN,NN NN VBN NN NN
111,properties,NNS,NNS,NNS,NNS,NNS,NNS,NNS
112,arrow temporal properties,NN JJ NNS,JJ JJ NNS,NN JJ NNS,JJ JJ NNS,JJ JJ NNS,JJ JJ NNS,NN JJ NNS
113,datetime properties,NN NNS,NN NNS,NN NNS,NN NNS,JJ NNS,NN NNS,NN NNS
114,timedelta properties,NNP NNS,NN NNS,NN NNS,NN NNS,NNP NNS,NNP NNS,NN NNS
115,period properties,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
116,combined datetime like properties,VBN NN IN NNS,VBN NN IN NNS,VBN NN IN NNS,VBN NN IN NNS,VBN NN IN NNS,VBN NN IN NNS,VBN NN IN NNS
117,index,NN,NN,NN,NN,NN,NN,NN
118,range index,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
119,datetime index,NN NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
120,categorical index,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
121,timedelta index,NNP NNP,NN NN,JJ NN,NN NN,NNP NN,NNP NN,NN NN
122,datetime index ops mixin,NN NN NN NN,NN NN VBZ NN,NN NN NNS NN,NN NN NNS .,NNP NN NNS NNP,NN NN NNS NN,NN NN NNS NN
123,datetime timedelta mixin,NNP NNP NNP,NN NN NN,NN NN NN,NN NN NN,NNP NNP NNP,NN NN NN,NN NN NN
124,pandas buffer,NNP NN,NNS VBP,NNS NN,NNS NN,NNS VBP,NNS VBP,NNS NN
125,pandas buffer py arrow,NNP NN NNP NN,NNS VBP JJ NN,NNS NN NN NN,NNS VB JJ NN,NNS VBP NNP NN,NNS VBP IN NN,NNS NN NN NN
126,pandas data frame x chg,NNP NNS NN FW NNP,NNS NNS NN NNP NN,NNS NNS NN SYM NN,NNS NNS NN NN NN,VBZ NNP NNP SYM NNP,NNS NN NN NN NN,NNS NN NN NN NN
127,pandas column,NNP NN,NNS NN,NNS NN,NN NN,VBZ NN,NNS NN,NNS NN
128,dl pack device type,NNP NN NN NN,JJ NN NN NN,NN NN NN NN,NN VB NN NN,NNP VB NN NN,NN NN NN NN,NNP NN NN NN
129,d type kind,NN NN NN,NN NN NN,NN NN NN,JJ NN NN,DT NN NN,XX NN NN,NN NN NN
130,column null type,NN JJ NN,NN NN NN,NN JJ NN,NN NN NN,NNP NNP NN,NN NN NN,NN JJ NN
131,column buffers,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
132,categorical description,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
133,buffer,NN,NN,NN,NN,VB,NN,NN
134,column,NN,NN,NN,NN,NN,NN,NN
135,arrow c types,NN FW NNS,NN NN NNS,NN NN NNS,NN NN NNS,NNP NNP NNS,NN NN NNS,NN NN NNS
136,endianness,NN,NN,NN,NN,JJ,NN,NN
137,year month day dict,NN NN NN NN,NN NN NN VB,NN NN NN NN,NN NN NN VBP,NN NN NN NNP,NN NN NN NN,NN NN NN NN
138,full datetime dict,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
139,index type,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
140,series type,NN NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
141,index model,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
142,series model,NN NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
143,iloc type,NNP NN,NN NN,JJ NN,NN NN,NNP NN,NNP NN,JJ NN
144,i loc model,PRP NN NN,JJ NN NN,PRP VBP NN,IN NN NN,PRP NNP NNP,PRP NN NN,PRP VBP NN
145,py tables scope,NNP NNS NN,NN NNS VBP,NN NNS NN,JJ NNS NN,NNP VBZ NN,UH NNS VBP,NN NNS NN
146,term,NN,NN,NN,NN,NN,NN,NN
147,constant,NN,JJ,JJ,JJ,JJ,JJ,JJ
148,bin op,JJ NN,NN NN,NN NN,NN NN,NN NN,NN UH,NNP NN
149,filter bin op,NN JJ NN,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN RB,NN NN NN
150,joint filter bin op,JJ NN JJ NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN
151,condition bin op,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN RB,NN NN NN
152,joint condition bin op,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN RB,JJ NN NNP NN
153,unary op,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,NNP RB,JJ NN
154,py tables expr visitor,NNP NNS NN NN,NN NNS VBP NN,NN NNS JJ NN,JJ NNS VBP NN,NNP VBZ VBP NN,UH NNS VBP NN,NN NNS NN NN
155,py tables expr,NNP NNS NN,NN NNS VBP,NN NNS JJ,JJ NNS VBP,NNP VBZ NN,UH NNS VBP,NN NNS NN
156,term value,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
157,deep chain map,JJ NN NN,RB NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
158,scope,NN,NN,NN,NN,NN,NN,NN
159,op,NN,NN,NN,NN,NN,UH,NN
160,div,NNP,NN,NN,NN,NNP,VB,UH
161,math call,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
162,func node,NN NN,NN NN,JJ NN,NN NN,VB NNP,NN NN,NN NN
163,abstract engine,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
164,num expr engine,NN NN NN,NN NN NN,NNP NNP NN,NN NN NN,JJ NN NN,UH NN NN,NN NN NN
165,python engine,NNP NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
166,base expr visitor,JJ NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NN NN,NN NN NN,NN NN NN
167,pandas expr visitor,NNP NN NN,NNS VBP NN,NNS NN NN,NNS NN NN,VBZ NNP NN,NNS VBP NN,NNS NN NN
168,python expr visitor,NNP NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NN,NN NN NN,NN NN NN
169,expr,NN,NN,NN,NN,NN,NN,NN
170,group by indexing mixin,VB IN NN NN,NN IN VBG NN,NN IN NN NN,NN IN NN NN,NN IN VBG NN,NN IN VBG NN,NN IN VBG NN
171,group by positional selector,VB IN JJ NN,NN IN JJ NN,NN IN JJ NN,NN IN JJ NN,NN IN JJ NN,NN IN JJ NN,NN IN JJ NN
172,group by nth selector,VB IN NNP NN,NN IN JJ NN,NN IN JJ NN,NN IN NN NN,NN IN NN NN,NN IN JJ NN,NN IN JJ NN
173,wrapped cython op,JJ NNP NN,VBN NN NN,VBN NN NN,VBN NN NN,VBD NNP NN,VBN NN RP,VBN NN NN
174,base grouper,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
175,bin grouper,JJ NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NNP NN
176,data splitter,NNS NN,NNS NN,NNS NN,NNS NN,NNS VBP,NN NN,NN NN
177,series splitter,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
178,frame splitter,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
179,named agg,VBN NNP,VBN NN,VBN NN,VBN NN,VBN PRP,VBN NN,VBN RB
180,series group by,NN VB IN,NN NN IN,NN NN IN,NN NN IN,NNP NN IN,NN NN IN,NN NN IN
181,data frame group by,NN NN VB IN,NNS NN NN IN,NNS NN NN IN,NNS NN NN IN,NNP NN NN IN,NN NN NN IN,NN NN NN IN
182,output key,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
183,grouper,NN,NN,NN,NN,VB,NN,NN
184,grouping,NN,VBG,NN,VBG,VBG,NN,NN
185,group by plot,NN IN NN,NN IN NN,NN IN NN,NN IN NN,NN IN NN,NN IN NN,NN IN NN
186,base group by,JJ NN RB,NN NN IN,NN NN IN,NN NN IN,NN NN IN,NN NN IN,NN NN IN
187,group by,VB IN,NN IN,NN IN,NN IN,NN IN,NN IN,NN IN
188,join unit,NN NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
189,block,NN,NN,NN,NN,VB,NN,NN
190,ea backed block,NNP VBN NN,NN VBD NN,NNP VBD NN,NN VBD NN,PRP VBN NN,`` VBN NN,NNP VBN NN
191,extension block,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
192,numpy block,NNP NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,NN NN
193,nd array backed extension block,NNP NN VBN NN NN,JJ NN VBD NN NN,JJ NN VBD NN NN,NN NN VBD NN NN,NNP NNP VBN NN NN,NN NN VBN NN NN,NNP NN VBN NN NN
194,datetime like block,NN IN NN,NN IN NN,NN IN NN,NN IN NN,RB IN NN,NN UH NN,NN UH NN
195,datetime tz block,NN NNP NN,NN NN NN,NN NN NN,NN NN NN,JJ NN NN,NN NN NN,NN NN NN
196,block pair info,NN NN NN,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN,VB NN NN
197,base block manager,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
198,block manager,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
199,single block manager,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
200,concatenator,NN,NN,NN,NN,NN,NN,NNP
201,merge operation,VB NN,NN NN,VB NN,VBP NN,VB NN,NN NN,VB NN
202,ordered merge,VBN VB,VBN NN,VBN NN,VBN VBP,VBD NN,VBN NN,VBN NN
203,as of merge,IN IN VB,IN IN NN,IN IN NN,IN IN VBP,IN IN NN,IN IN NN,IN IN NN
204,unstacker,NN,NN,NN,NN,JJ,NN,JJ
205,extension d type,NN NN NN,NN NN NN,NN NN NN,NN VBD NN,NN NN NN,NN NN NN,NN NN NN
206,storage extension d type,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN VBD NN,NN NNP XX NN,NN NN NN NN,NN NN NN NN
207,registry,NN,NN,NN,NN,NN,NN,NN
208,pandas extension d type,NNP NN NN NN,JJ NN NN NN,NNS NN NN NN,NNS NN VBD NN,VBZ NNP NN NN,NNS NN NN NN,NNS NN NN NN
209,categorical d type type,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,VB VBD NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN
210,categorical d type,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
211,datetime tzd type,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NN,NN NN NN,NN NN NN
212,period d type,NN NN NN,NN NN NN,NN NN NN,NN VBD NN,NN NN NN,NN NN NN,NN NN NN
213,interval d type,NN NN NN,JJ NN NN,NN NN NN,NN VBD NN,NN NN NN,JJ NN NN,JJ NN NN
214,numpy ead type,NNP NNP NN,JJ NN NN,JJ NN NN,JJ NN NN,NNP NNP NN,JJ NN NN,NN NN NN
215,base masked d type,JJ VBN NN NN,NN VBD JJ NN,NN VBN NN NN,NN VBD VBN NN,NNP VBD NN NN,NN JJ NN NN,NN VBN NN NN
216,sparse d type,JJ NN NN,NN NN NN,JJ NN NN,JJ NN NN,NNP LS NN,JJ NN NN,JJ NN NN
217,arrow d type,NN NN NN,NN NN NN,NN NN NN,NN VBD NN,NN DT NN,NN NN NN,NN NN NN
218,nd frame describer abstract,NNP NN NN NN,JJ NN NNP NN,NN NN NN NN,NN NN NN JJ,NNP NNP NNP NN,UH NN NN NN,UH NN NN NN
219,series describer,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
220,data frame describer,NN NN NN,NNS NN NN,NNS NN NN,NNS NN NN,NNP NN NN,NN NN NN,NN NN NN
221,select n,VB CD,NN NN,VB NN,VBP NN,JJ CC,VB .,VB CC
222,select n series,VB CD NNS,JJ JJ NN,VB NN NN,VBP NN NN,JJ NNP NN,NN CD NN,VB CC NN
223,select n frame,VB CD NN,JJ NN NN,VB NN NN,VBP NN NN,JJ CC NN,VB DT NN,VB CC NN
224,object string array mixin,NN NN NN NN,JJ VBG NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NNP,NN NN NN NN,NN NN NN NN
225,base string array methods,JJ NN NN NNS,NN VBG NN NNS,NN NN NN NNS,JJ NN NN NNS,NN NN NN NNS,NN NN NN NNS,NN NN NN NNS
226,string methods,NN NNS,VBG NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
227,string d type,NN NN NN,VBG NN NN,NN NN NN,NN VBD NN,NNP DT NN,NN NN NN,NN NN NN
228,base string array,JJ NN NN,NN NN NN,NN NN NN,JJ NN NN,NN NN NN,NN NN NN,NN NN NN
229,string array,NN NN,VBG NN,NN NN,NN NN,NN NN,NN NN,NN NN
230,period array,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
231,numpy extension array,NN NN NN,JJ NN NN,JJ NN NN,JJ NN NN,NNP NNP NN,JJ NN NN,NN NN NN
232,interval array,NN NN,JJ NN,NN NN,NN NN,NN NN,JJ NN,NN NN
233,numeric d type,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,NNP NN NN,JJ NN NN,JJ NN NN
234,numeric array,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
235,base masked array,JJ VBN NN,NN VBD NN,NN JJ NN,JJ JJ NN,NNP VBD NN,NN VBD NN,NN VBN NN
236,nd array backed extension array,NNP NN VBN NN NN,JJ NN VBD NN NN,JJ NN VBD NN NN,NN NN VBD NN NN,NNP NNP VBN NN NN,`` NN VBN NN NN,NN NN VBN NN NN
237,boolean d type,NN NN NN,JJ NN NN,JJ NN NN,VB VBD NN,NNP NNP NN,NN NN NN,NN NN NN
238,boolean array,NN NN,JJ NN,JJ NN,JJ NN,NNP NNP,JJ NN,NN NN
239,extension array,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
240,extension array supports any all,NN NN VBZ DT DT,NN NN VBZ DT DT,NN NN VBZ RB RB,NN NN VBZ DT RB,NN NN VBZ DT DT,NN NN VBZ DT RB,NN NN VBZ DT DT
241,extension ops mixin,NN NN NN,NN NNS NN,NN NNS NN,NN NNS .,NN NNS NN,NN VBZ NN,NN NNS NN
242,extension scalar ops mixin,NN NN NN NN,NN JJ NNS NN,NN JJ NNS NN,NN NN NNS .,NN JJ NNS NN,NN NN VBZ NN,NN NN NNS NN
243,arrow string array mixin,NN NN NN NN,NN VBG NN NN,NN NN NN NN,JJ NN NN NN,NN NN NN NNP,JJ NN NN NN,NN NN NN NN
244,datetime array,NN NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
245,floating d type,JJ NN NN,VBG NN NN,VBG NN NN,VBG JJ NN,VBG XX NN,VBG NN NN,VBG NN NN
246,floating array,JJ NN,VBG NN,VBG NN,VBG NN,VBG NN,VBG NN,VBG NN
247,float32 d type,NNP NN NN,NN NN NN,NN NN NN,VB VBD NN,NNP DT NN,NN NN NN,NN NN NN
