,SEQUENCE,POS,NLTK,CORENLP,OPENNLP,SPACY,FLAIR,STANZA
60,get visibility,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
61,set visibility,VB NN,VBN NN,VBN NN,VBN NN,VB NN,VB NN,VB NN
62,get pattern,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
63,set pattern,VB NN,NN NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN
64,convert to proto format,VB TO NN NN,NN TO VB NN,VB TO VB NN,NN TO NN IN,VB IN NNP NN,VB IN NN NN,VB IN NN NN
65,convert from proto format,VB IN NN NN,NN IN NN NN,VB IN NN NN,NN IN NN NN,VB IN NNP NN,VB IN NN NN,VB IN NN NN
66,get diagnostic message,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
67,join paths,VB NNS,NN NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
68,is directory,VBZ NN,VBZ NN,VBZ NN,VBZ NN,VBZ NN,VBZ NN,VBZ NN
69,is file pretending to be directory,VBZ NN VBG TO VB NN,VBZ JJ VBG TO VB JJ,VBZ NN VBG TO VB NN,VBZ NN VBG TO VB NN,VBZ NN VBG TO VB NN,VBZ NN VBG TO VB NN,VBZ NN VBG TO VB NN
70,is root dir,VBZ NN NN,VBZ JJ NN,VBZ NN NN,VBZ NN NN,VBZ NNP NNP,VBZ NN NN,VBZ NN NN
71,debug,VB,NN,VB,NN,RB,NN,NN
72,debug ex,VB NN,NN NN,VB NN,NN NN,RB VB,FW FW,NN NN
73,trace,VB,NN,NN,NN,NN,NN,NN
74,partition filename from number,NN NN IN NN,NN NN IN NN,NN NN IN NN,NN NN IN NN,NN VBN IN NN,NN NN IN NN,NN NN IN NN
75,ls,VB,NN,NNS,NNS,NNP,VBZ,NNP
76,file stats to string,NN NNS IN NN,NN NNS TO VBG,NN NNS IN NN,NN NNS TO NN,NN NNS TO VB,NN NNS TO VB,NN NNS TO NN
77,validate read args,VB VBN NNS,NN VBD NNS,VB VBN NNS,NN VBD NNS,NN NNP NNP,VB VB NNS,VB NN NN
78,test mk dir rm dir,VB VB NN VB NN,NN NN NN NN NN,NN NN NN NN NN,NN NN NN NN NN,NN NNP NNP NNP NNP,NN UH NN NN NN,NN NN NN NN NN
79,test mk dir rm rf dir,VB VB NN VB NNP NN,NN NN NN NN NN NN,NN NN NN NN NN NN,NN NN NN NN NN NN,NN NNP NNP NNP NNP NNP,NN UH NN NN IN NN,NN NN NN NN NN NN
80,test no mkdir over file,VB JJ NNP IN NN,NN DT NN IN NN,NN DT NN IN NN,NN DT NN IN NN,VB DT NN IN NN,NN UH NN IN NN,VB DT NN IN NN
81,test mkdir over parent file,VB NNP IN NN NN,NN NN IN NN NN,NN NN IN NN NN,NN NN IN NN NN,NN NNP IN NN NN,NN NN IN NN NN,NN NN IN NN NN
82,target to data,NN TO NN,NN TO VB,NN IN NNS,NN TO NNS,NN IN NNS,NN IN NNS,NN IN NNS
83,data to target,NN TO NN,NNS TO VB,NNS TO VB,NNS TO VB,NNS TO VB,NNS TO VB,NNS TO VB
84,login as fc user,VB IN NNP NN,NN IN NN NN,NN IN NNP NN,NN IN JJ NN,VB IN NNP NN,NN IN `` NN,VB IN NN NN
85,check rpc admin access,VB NNP NN NN,NN NN NN NN,VB NN NN NN,NN VBD NN NN,VB NNP NNP NN,VB NN NN NN,VB NN NN NN
86,get rpc address to bind to,VB NNP NN TO VB TO,VB JJ NN TO VB TO,VB JJ NN TO VB IN,VB JJ NN TO NN TO,VB NN NN TO VB IN,VB NN NN TO VB IN,VB NN NN TO VB IN
87,get policy provider,VB NN NN,NN NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
88,get scope inside parent node,VB NN IN JJ NN,VB NN IN NN NN,VB NN IN NN NN,VB NN IN NN NN,VB NN IN NN NN,VB NN IN NN NN,VB NN IN NN NN
89,get local target,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
90,do run,VB VBP,VB VB,VB VB,VB VB,VBP VB,VBP VB,VB NN
91,bad arg,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
92,print usage,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,VB NN
93,format zk,VB FW,NN NN,NN NN,NN NN,NN NNP,NN NN,NN NN
94,confirm format,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
95,init hm,VB FW,NN NN,FW UH,NN NN,NNP UH,NN UH,NN UH
96,init rpc,VB NNP,NN NN,FW FW,NN NN,VBD NNP,NN NN,NN NN
97,start rpc,VB NNP,NN NN,VB NNP,NN NN,VB NNP,VB NN,VB NN
98,init zk,VB FW,NN NN,FW FW,NN NN,VBD NNP,NN NN,NN NN
99,get parent znode,VB JJ NNP,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
100,main loop,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
101,fatal error,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
102,become active,VB JJ,VB JJ,VB JJ,VB JJ,VB JJ,VB JJ,VB JJ
103,record active attempt,VB JJ NN,NN JJ NN,NN JJ NN,VB JJ NN,VB JJ NN,NN JJ NN,NN JJ NN
104,wait for active attempt,VB IN JJ NN,NN IN JJ NN,VB IN JJ NN,VB IN JJ NN,VB IN JJ NN,VB IN JJ NN,VB IN JJ NN
105,create req info,VB NN NN,NN NN NN,VB NN NN,VB NN NN,VB JJR NN,VB NNP NN,VB NN NN
106,become standby,VB JJ,NN NN,VBN NN,VBN NN,VBN JJ,VBN NN,VB NN
107,fence old active,VB JJ JJ,NN JJ JJ,NN JJ JJ,NN JJ JJ,VB JJ JJ,NN JJ JJ,NN JJ NN
108,do fence,VB VBP,VB NN,VBP NN,VB NN,VB NN,VBP NN,VB NN
109,cede active,VB JJ,NNS JJ,VB JJ,VB JJ,VB JJ,NN JJ,VB JJ
110,do cede active,VB VBP JJ,VB NNS JJ,VB VB JJ,VBP VB JJ,VB VB JJ,VBP VB JJ,VB VB JJ
111,graceful failover to you,JJ NN TO PRP,JJ NN TO PRP,JJ NN IN PRP,JJ NN TO PRP,JJ NN IN PRP,JJ NN IN PRP,JJ NN IN PRP
112,do graceful failover,VB JJ NN,VB JJ VB,VBP JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
113,check eligible for failover,VB JJ IN NN,NN NN IN NN,VB NN IN NN,NN NN IN NN,VB JJ IN NN,VB JJ IN NN,VB JJ IN NN
114,get current active,VB JJ JJ,VB JJ JJ,VB JJ JJ,VB JJ JJ,VB JJ JJ,VB JJ JJ,VB JJ NN
115,recheck electability,VB NN,NN NN,VB NN,NN NN,NN NN,VB NN,VB NN
116,schedule recheck,NN VBP,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
117,verify changed service state,VB JJ NN NN,RB VBN NN NN,VB JJ NN NN,RB VBD NN NN,VB VBN NN NN,VB VBN NN NN,VB VBN NN NN
118,get last health state,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
119,set last health state,VB JJ NN NN,VBN JJ NN NN,VBN JJ NN NN,VBN JJ NN NN,VBD JJ NN NN,NN JJ NN NN,VB JJ NN NN
120,get elector for tests,VB NN IN NNS,VB NN IN NNS,VB NN IN NNS,VB NN IN NNS,VB NN IN NNS,VB NN IN NNS,VB NN IN NNS
121,get rpc server for tests,VB NNP NN IN NNS,VB JJ NN IN NNS,VB NN NN IN NNS,VB JJ NN IN NNS,VB NN NN IN NNS,VB NN NN IN NNS,VB NN NN IN NNS
122,enter neutral mode,VB JJ NN,RB JJ NN,VB JJ NN,VBP JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
123,notify fatal error,VB JJ NN,JJ JJ NN,VB JJ NN,VBP JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
124,entered state,VBN NN,VBN NN,VBN NN,VBN NN,VBD NN,VBD NN,VBD NN
125,report service status,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
126,set conf,VB NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN
127,add node to rack,VB NN TO NN,VB NN TO VB,VB NN TO VB,VB RB TO VB,VB NN TO VB,VB NN IN NN,VB NN IN NN
128,resolve,VB,NN,NN,NN,VB,VB,VB
129,is single switch,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN
130,get switch map,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
131,reset map,VB NN,NN NN,NN NN,NN NN,NN NN,JJ NN,NN NN
132,reload cached mappings,VB VBD NNS,NN VBD NNS,VB VBN NNS,NN VBD NNS,RB VBN NNS,VB VBN NNS,VB VBN NNS
133,from yarn,IN NN,IN NN,IN NN,IN NN,IN NN,IN NN,IN NN
134,to yarn,TO NN,TO VB,IN NN,TO NN,TO VB,IN NN,IN NN
135,from cluster time stamp,IN NN NN NN,IN JJR NN NN,IN NN NN NN,IN NN NN VB,IN NN NN NN,IN NN NN NN,IN NN NN NN
136,to cluster time stamp,TO NN NN NN,TO VB NN NN,IN NN NN NN,TO NN NN VB,TO NN NN NN,IN NN NN NN,TO VB NN NN
137,from yarn nodes,IN NN NNS,IN CD NNS,IN NN NNS,IN NN NNS,IN NNP NNP,IN NN NNS,IN NN NNS
138,from yarn apps,IN NN NNS,IN CD NNS,IN NN NNS,IN NN NNS,IN NN NNS,IN NN NNS,IN NN NNS
139,from yarn queue info,IN NN NN NN,IN JJR NN NN,IN NN NN NN,IN NN NN NN,IN NN NN NN,IN NN NN NN,IN NN NN NN
140,from yarn queue user acls info,IN NN NN NN NNPS NN,IN JJR NN NN NN NN,IN NN NN NN NNS NN,IN NN NN NN NNS .,IN NNP NNP NN NNP NN,IN NN NN NN NNS NN,IN NN NN NN NNS NN
141,get default retry policy,VB JJ VBP NN,VB JJ NN NN,VB NN VB NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
142,should retry,MD VB,MD VB,MD VB,MD VB,MD VB,MD VB,MD VB
143,get multiple linear random retry,VB JJ JJ JJ VBP,VB JJ JJ NN NN,VB JJ JJ JJ VB,VB JJ JJ JJ NN,VB JJ JJ JJ NN,VB JJ JJ JJ NN,VB JJ JJ JJ NN
144,set up,VB RP,VBN RP,VBN RP,VBN IN,VB RP,VB RP,VB RP
145,create test subdirs,VB NN NNS,JJ NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
146,test list level test,VB VB NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN
147,test list level test hadoop,VB VB NN NN NNP,NN NN NN NN NN,NN NN NN NN NN,NN NN NN NN NN,NN NN NN NN NN,NN NN NN NN NN,NN NN NN NN NN
148,test list status empty directory,VB VB NN JJ NN,NN NN NN JJ NN,NN NN NN JJ NN,NN NN NN JJ NN,NN NNP NNP JJ NN,NN NN NN JJ NN,NN NN NN JJ NN
149,test list status file,VB VB NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NNP NNP NN,NN NN NN NN,NN NN NN NN
150,test list empty root,VB VB JJ NN,NN NN JJ NN,NN NN JJ NN,NN VBP JJ NN,NN VBP JJ NN,NN NN JJ NN,NN NN JJ NN
151,test list non empty root,VB VB RB JJ NN,NN NN NN JJ NN,NN NN AFX JJ NN,NN NN RB JJ NN,NN NN AFX JJ NN,NN NN AFX JJ NN,NN NN AFX JJ NN
152,test list status root dir,VB VB NN JJ NN,NN NN NN NN NN,NN NN NN NN NN,NN NN NN NN NN,NN NNP NNP NNP NNP,NN NN NN NN NN,NN NN NN NN NN
153,test list status filtered,VB VB NN VBD,NN NN NN VBD,NN NN NN VBN,NN NN NN VBN,NN NN NN VBD,NN NN NN VBN,NN NN NN VBN
154,get datum,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
155,set datum,VB NN,VBN NN,VBN NN,VBN NN,VBD NNP,VB NN,VB NN
156,get task id,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN <UNK>,VB NN RP,VB NN NN
157,get error,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
158,get finish time,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
159,get task type,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
160,get failed attempt id,VB JJ NN NN,VB JJ NN NN,VB VBN NN NN,VB VBN NN NN,VB VBN NN <UNK>,VB VBN NN IN,VB VBN NN NN
161,get task status,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
162,get counters,VB NNS,NN NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
163,get event type,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
164,get select query,VB VB NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
165,set session time zone,VB NN NN NN,VBN NN NN NN,VBN NN NN NN,VBN NN NN NN,VBN NN NN NN,NN NN NN NN,VB NN NN NN
166,run command,VB NN,NN NN,VB NN,NN NN,VB NN,VB NN,VB NN
167,test ds quota exceeded exception is human readable,VB FW NN VBN NN VBZ NN JJ,NN NN NN VBN NN VBZ JJ JJ,NN NNS NN VBD NN VBZ JJ JJ,NN NNS NN VBD NN VBZ JJ NN,VB DT NN VBD NN VBZ JJ JJ,NN VBZ NN VBN NN VBZ JJ JJ,NN NN NN VBD NN VBZ JJ JJ
168,test quota commands,VB NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN VBZ,NN NN NNS
169,test namespace commands,VB NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN VBZ,NN NN NNS
170,test space commands,VB NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN VBZ,NN NN NNS
171,check content summary,VB NN NN,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN,VB NN NN
172,test max space quotas,VB JJ NN NNS,NN NN NN NNS,NN NN NN NNS,NN NN NN NNS,NN NNP NN NNS,NN NN NN NNS,NN NN NN NNS
173,test block allocation adjusts usage conservatively,VB NN NN VBZ NN RB,NN NN NN VBZ NN RB,NN NN NN VBZ NN RB,NN NN NN NNS NN RB,NN NN NN NNS VBP RB,NN NN NN VBZ NN RB,NN NN NN VBZ NN RB
174,test multiple files smaller than one block,VB JJ NNS JJR IN CD NN,NN NN VBZ JJR IN CD NN,NN JJ NNS JJR IN CD NN,NN JJ NNS JJR IN CD NN,VBP JJ NNS JJR IN CD NN,VB JJ NNS JJR IN CD NN,VB JJ NNS JJR IN CD NN
175,register datanode,VB NN,NN NN,NN NN,NN NN,VB NN,VB NN,NN NN
176,send heartbeat,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
177,block report,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
178,cache report,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
179,block received and deleted,NN VBN CC VBN,NN VBD CC VBD,NN VBD CC VBD,NN VBN CC VBN,NN VBD CC VBN,NN VBD CC VBN,NN VBN CC VBN
180,error report,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
181,version request,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
182,report bad blocks,VB JJ NNS,NN JJ NNS,NN JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
183,commit block synchronization,VB NN NN,NN NN NN,VB NN NN,JJ NN NN,VB NN NN,VB NN NN,VB NN NN
184,log success,VB NN,NN NN,NN NN,NN NN,VB NN,VB NN,NN NN
185,create success log,VB NN NN,NN NN NN,VB NN NN,VBP NN VBP,VB NN NN,VB NN NN,VB NN NN
186,add remote ip,VB JJ NN,JJ NN NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
187,add,VB,VB,VB,VB,VB,VB,VB
188,start,VB,NN,VB,NN,VB,VB,VB
189,log failure,VB NN,NN NN,NN NN,NN NN,VB NN,NN NN,VB NN
190,create failure log,VB NN NN,NN NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
191,get metrics,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
192,shutdown,NN,NN,NN,NN,NN,NN,NN
193,test modify acl entries,VB VB NNP NNS,NN NN NN NNS,NN VBP NN NNS,NN VB RB NNS,NN VB NNP NNS,NN VB NN NNS,NN VB NN NNS
194,test remove acl entries,VB VB NNP NNS,NN NN NN NNS,NN VB NN NNS,NN VB NN NNS,NN VB NNP NNS,NN VB NN NNS,NN VB NN NNS
195,test remove default acl,VB VB JJ NNP,NN NN NN NN,NN VB NN NN,NN VB NN NN,NN VB NN NNP,NN VB NN NN,NN VB NN NN
196,test remove acl,VB VB NNP,NN NN NN,NN VB NN,NN VB NN,NN VB NNP,NN VB NN,NN VB NN
197,test set acl,VB VB NNP,NN NN NN,NN VBN NN,NN NN NN,NN VBN NNP,NN NN NN,NN NN NN
198,test get acl status,VB VB NN NN,NN NN NN NN,NN VBP NN NN,NN VB JJ NN,NN VB DT NN,NN VB NN NN,NN VB NN NN
199,test edit log,VB VB NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NN,NN VB NN,NN NN NN
200,test fs image,VB NN NN,NN NN NN,NN NNS NN,NN NNS NN,VB JJ NN,NN VBZ NN,NN NN NN
201,expect exception,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
202,init cluster,VB NN,NN NN,JJ NN,NN NN,NNP NN,NN NN,NN NN
203,restart,VB,NN,VB,NN,NN,VB,VB
204,get server,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
205,bind to,VB TO,NN TO,NN TO,NN TO,VB IN,VB IN,VB IN
206,get next,VB NN,VB JJ,VB RB,VB JJ,VB JJ,VB RB,VB RB
207,close,VB,RB,RB,RB,VB,RB,VB
208,read,VB,NN,VB,VBN,VB,VB,VB
209,next file name,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
210,service init,NN VB,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
211,service stop,NN VB,NN NN,NN NN,NN NN,NN VB,NN NN,NN NN
212,get lock,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
213,return lock,VB NN,NN NN,NN NN,NN NN,VB NN,NN NN,VB NN
214,new instance,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
215,get bytes,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
216,get bytes for lookup,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN
217,get next string,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
218,get next long,VB JJ NN,VB JJ JJ,VB RB RB,VB JJ RB,VB RB RB,VB RB RB,VB RB RB
219,get offset,VB NN,NN VB,VB VBN,VB VBN,VB VBN,VB NN,VB NN
220,get entity,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
221,get entity timelines,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
222,compare,VB,NN,VB,NN,VB,VBP,VB
223,prefix matches,NN VBZ,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
224,get entities,VB NNS,NN NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
225,get entity by time,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN
226,put,VB,NN,NN,VBN,VB,VB,VB
227,write primary filter entries,VB JJ NN NNS,JJ JJ NN NNS,VB JJ NN NNS,VB JJ NN NNS,VB JJ NN NNS,VB JJ NN NNS,VB JJ NN NNS
228,get start time,VB NN NN,VB JJ NN,VB VB NN,VB VB NN,VB VB NN,VB NN NN,VB NN NN
229,get start time long,VB NN NN NN,VB JJ NN JJ,VB VB NN RB,VB VB NN RB,VB VB NN RB,VB NN NN RB,VB NN NN RB
230,get and set start time,VB CC VB NN NN,NN CC VB NN NN,VB CC VB NN NN,VB CC VBN NN NN,VB CC VBD NN NN,VB CC VB NN NN,VB CC VB NN NN
