,SEQUENCE,POS,NLTK,CORENLP,OPENNLP,SPACY,FLAIR,STANZA
220,tolerance,NN,NN,NN,NN,NN,NN,NN
221,out dir,NN NN,IN NN,IN NN,IN NN,RP NNP,RB NN,RB NN
222,ref dir,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
223,err,NN,NN,VB,NN,NNP,UH,NN
224,d,FW,NN,NN,NN,LS,XX,NNP
225,log,NN,NN,NN,NN,VB,VB,VB
226,lev,NNP,NN,NN,NN,NN,NN,NNP
227,w stream,FW NN,NN NN,IN NN,NN NN,NNP NN,XX NN,UH NN
228,args,NNP,NN,NNS,NNS,NNP,NNS,NN
229,str,NN,NN,NN,NN,NNP,NNP,RB
230,handle,VB,NN,VB,NN,VB,VB,VB
231,dict,NN,NN,NN,NN,VB,NN,NN
232,kv,NNP,NN,NNP,NN,RB,NN,NN
233,tal loc ctx,NNP NN NN,JJ NN NN,JJ NN NN,JJ NN NN,NNP NNP RB,NNP NNP NN,UH UH FW
234,item,NN,NN,NN,NN,NN,NN,NN
235,lst,NNP,NN,NN,NN,RB,VB,NN
236,num c,NN FW,NN NN,NNP NN,NN NNS,NNP NN,UH NN,NN NN
237,img fmt,NN NN,NN NN,NNP NNP,NN NN,NNP NN,NNP NN,VBN NN
238,not if fmt,RB IN NN,RB IN NNS,RB IN NN,RB IN NN,RB IN VB,RB IN NN,RB IN NN
239,csp,NNP,NN,NN,NN,NNP,NN,NN
240,levels,NNS,NNS,NNS,NNS,NNS,NNS,NNS
241,env,NN,NN,NN,NN,NN,NN,NN
242,string,NN,NN,NN,NN,NNP,NN,NN
243,utf chars,NNP NNS,JJ NNS,NN NNS,NN NNS,NN NNS,NNP NNS,NNP NNS
244,error,NN,NN,NN,NN,NN,NN,NN
245,logging,VBG,VBG,VBG,VBG,VBG,NN,NN
246,j fields,FW NNS,NN NNS,NN NNS,NN NNS,NN NNS,NNP NNS,NN NNS
247,j fields mapping,FW NNS NN,NN NNS VBG,NN NNS VBG,NN NNS VBG,NN VBZ NN,NNP NNS NN,NN NNS NN
248,global,JJ,JJ,JJ,JJ,JJ,JJ,JJ
249,root,NN,NN,NN,NN,NN,NN,NN
250,p 1,FW CD,NN CD,NN CD,NN CD,NN CD,NN CD,NN CD
251,p 2,FW CD,NN CD,NN CD,NN CD,NN CD,NN CD,NN CD
252,out url,NN NNP,IN JJ,IN NN,IN NN,RP NN,RB XX,IN NN
253,dir,NN,NN,NN,NN,NNP,NN,NN
254,ta parent,FW NN,NN NN,IN NN,TO NN,IN NN,NNP NN,IN NN
255,queue,NN,NN,NN,NN,NN,UH,NN
256,wakeup ctx,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
257,on lock ctx,IN NN NN,IN NN NN,IN NN NN,IN NN NN,IN NN NN,IN NN NN,IN NN NN
258,fn,NNP,NN,NNP,NN,UH,XX,NNP
259,fn data,NNP NNS,NN NNS,NNP NNS,NN NNS,NNP NNP,XX NN,NN NNS
260,timeout,NN,NN,NN,NN,NN,NN,NN
261,until,RB,IN,IN,IN,IN,IN,RB
262,arg,NN,NN,NN,NN,NN,NNP,NN
263,ctx,NN,NN,NN,NN,RB,NN,NNP
264,pool,NN,NN,NN,NN,NN,NN,NN
265,init threads,VB NNS,NN NNS,NN NNS,NN NNS,JJ NNS,NN NNS,NN NNS
266,min threads,JJ NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
267,max threads,JJ NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
268,fn ctx,NNP NN,NN NN,NNP NNP,NN NN,NNP RB,FW FW,UH NN
269,allow queue,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
270,max depth,JJ NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
271,indent,NN,NN,NN,NN,NN,JJ,NN
272,user cp,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
273,buf,NN,NN,NN,NN,NNP,NN,NNP
274,cp,NN,NN,NN,NN,NNP,NN,NN
275,template,NN,NN,NN,NN,NN,NN,NN
276,suffix len,NN NN,NN NN,NN NN,NN VBN,NNP NNP,NNP NNP,NN NN
277,file path,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
278,str 1,NN CD,NN CD,NN CD,NN CD,NNP CD,NN CD,NN CD
279,str 2,NN CD,NN CD,NN CD,NN CD,NNP CD,NN CD,NN CD
280,reject,VB,NN,VB,VB,VB,VB,VB
281,accept,VB,NN,VB,VB,VB,VB,VB
282,haystack,NN,NN,NN,NN,NN,NN,NN
283,needle,NN,NN,NN,NN,VB,NN,NN
284,sep,VB,NN,NN,NN,NNP,UH,NNP
285,rest,NN,NN,NN,NN,NN,VB,NN
286,tok,NN,NN,NN,NN,NN,NNP,UH
287,out left,NN JJ,IN NN,RB RB,RB VBN,RB VBN,RB RB,RB NN
288,out right,NN JJ,IN NN,RB RB,RB RB,RP RB,RB UH,RB RB
289,start,NN,NN,VB,NN,VB,VB,VB
290,base,NN,NN,NN,NN,NN,NN,NN
291,prefix,NN,NN,NN,NN,VB,NN,NN
292,out next,NN JJ,IN JJ,RB RB,IN JJ,RP RB,RB RB,RB RB
293,append min,VB NN,NN NN,VBP NN,NN NN,NNP NNP,VB NN,VB NN
294,append,VB,NN,VBP,NN,VB,VB,VB
295,fmt,NN,NN,NN,NN,VB,NN,NNP
296,ap,FW,NN,RB,NN,NNP,UH,RB
297,suffix,NN,NN,NN,NN,NNP,NN,NN
298,hex,NN,NN,NN,NN,NNP,UH,NN
299,out,NN,IN,RB,IN,RB,RB,RB
300,ret,NNP,NN,NN,NN,NNP,NN,UH
301,k,FW,NN,NN,NN,NN,XX,NN
302,lang,NN,NN,NN,NN,NNP,NNP,NNP
303,l 1,FW CD,NN CD,NN CD,NN CD,NN CD,LS CD,NNP CD
304,s 1,FW CD,NN CD,NN CD,PRP CD,NNS CD,LS CD,POS CD
305,l 2,FW CD,NN CD,NN CD,NN CD,NN CD,LS CD,NNP CD
306,s 2,FW CD,NN CD,NN CD,PRP CD,NNS CD,LS CD,POS CD
307,waiter,NN,NN,NN,NN,NN,NN,NN
308,value,NN,NN,NN,NN,NN,NN,NN
309,slave,NN,NN,NN,NN,VB,NN,NN
310,uu,FW,NN,NNP,NN,RB,UH,UH
311,in start,IN NN,IN NN,IN NN,IN NN,IN NN,IN NN,IN NN
312,in end,IN NN,IN NN,IN NN,IN NN,IN NN,IN NN,IN NN
313,tag,NN,NN,NN,NN,VB,UH,NN
314,seed,NN,NN,NN,NN,NN,NN,NN
315,name 1,NN CD,NN CD,NN CD,NN CD,NN CD,NN CD,NN CD
316,name 2,NN CD,NN CD,NN CD,NN CD,NN CD,NN CD,NN CD
317,n,FW,NN,NN,NN,CC,NFP,LS
318,ptr,NN,NN,NN,NN,NN,FW,NN
319,loc,NN,NN,NN,NN,NN,NNP,UH
320,element size,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
321,next idx,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
322,at,IN,IN,IN,IN,IN,IN,IN
323,append len,VB NN,NN NN,VBP NNP,NN VBN,VB NNP,VB NNP,VB NN
324,stream,NN,NN,NN,NN,VB,NN,NN
325,url,NNP,NN,NN,NN,NN,UH,NN
326,ok,NN,NN,UH,NN,UH,UH,UH
327,proto,NN,NN,NN,NN,NN,NN,NN
328,len,NN,NN,NNP,VBN,NNP,NNP,NN
329,pos,NN,NN,NNS,NNS,NN,NN,NN
330,keep,VB,VB,VB,VB,VB,VB,VB
331,s info,FW NN,NN NN,POS NN,PRP VB,POS NN,XX NN,POS NN
332,filename,NN,NN,NN,NN,NN,NN,NN
333,forward,VB,RB,RB,RB,RB,RB,RB
334,buf size,NN NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
335,mem,NN,NN,NN,FW,NNP,UH,NNP
336,total,NN,JJ,JJ,NN,NN,JJ,JJ
337,forward size,JJ NN,RB NN,RB NN,RB NN,JJ NN,RB NN,JJ NN
338,new pos,JJ NN,JJ NN,JJ NNS,JJ NNS,JJ NN,JJ NN,JJ NN
339,cmd,NN,NN,NN,NN,NNP,NN,NN
340,max size,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
341,arch,NN,NN,NN,NN,VB,NN,NN
342,priv,JJ,NN,NN,NN,NN,NN,NN
343,buffer,NN,NN,NN,NN,VB,NN,NN
344,whence,WRB,NN,IN,WRB,NN,WRB,WRB
345,request,NN,NN,NN,NN,NN,NN,NN
346,mpa,NNP,NN,NN,NN,VB,NNP,NN
347,r,FW,NN,NN,NN,LS,NFP,NN
348,max volumes,JJ NNS,NN NNS,JJ NNS,NN NNS,NNP NNS,NN NNS,NN NNS
349,max len,JJ NN,NN NN,NN NNP,NN VBN,NNP NN,NNP NNP,NN NN
350,cur,NN,NN,NN,NN,NNP,NN,NN
351,streams,NNS,NNS,NNS,NNS,NNS,NNS,NNS
352,num streams,NN NNS,NN NNS,NN NNS,NN NNS,JJ NNS,UH NNS,NN NNS
353,del sys,VB NN,NN NN,DT NNS,FW NNS,NNP NNP,FW FW,NNP NNP
354,fe fd,FW FW,NN NN,FW FW,JJ NN,NNP NNP,FW FW,UH NNP
355,adapter,NN,NN,NN,NN,NNP,NN,NN
356,frontend,NN,NN,NN,CC,VB,VB,NN
357,demux cnt,NN NN,NN NN,NN NN,NN NN,NNP RB,NN NN,NN FW
358,cnt,NN,NN,NN,NN,RB,NN,ADD
359,fd,FW,NN,NN,NN,NNP,UH,NNP
360,pid,NNP,NN,NN,JJ,VBD,NN,NN
361,pes type,NNP NN,NNS NN,NNS NN,NNS NN,NNP NN,UH NN,NN NN
362,dev no,NN NN,NN DT,NN DT,NN NN,UH UH,UH UH,UH UH
363,service id,NN NN,NN NN,NN NN,NN NN,NN <UNK>,NN NN,NN NN
364,fe status,FW NN,NN NN,FW FW,NN NN,NNP NN,FW FW,NN NN
365,fd frontend,FW NN,NNS VBP,NN NN,NN CC,NNP VBP,UH VB,NN NN
366,tm out,VB RP,NN RP,NN RP,NN IN,UH RP,NNP RP,UH RB
367,t,FW,NN,NN,NN,NN,LS,NN
368,secfd,FW,NN,NN,NN,VB,NN,UH
369,sat no,NNP NN,JJ DT,VBD DT,VBD RB,VBD DT,VBD UH,VBD UH
370,polv,NNP,NN,NN,NN,VB,NN,NN
371,hi lo,UH FW,NN NN,UH NNP,PRP NN,UH NNP,UH UH,UH UH
372,cmd seq,NN NN,NN NN,NN NN,NN NNS,NNP NNP,NN NN,NN NN
373,freq,NN,NN,NN,NN,NNP,NNP,NN
374,s rate,FW NN,NN NN,NN NN,PRP NN,POS NN,NNS NN,POS NN
375,pol,NNP,NN,NN,NN,NN,NN,NN
376,stream id,NN NN,NN NN,NN NN,NN NN,NNP <UNK>,NN NN,NN NN
377,spec inv,NN NN,NN NN,NNP NNP,NN NN,NNP NNP,NN NN,NN NN
378,diseqc,NNP,NN,NN,NN,UH,NNP,NN
379,modulation,NN,NN,NN,NN,NN,NN,NN
380,hp code rate,FW NN NN,JJ NN NN,NNP NN NN,JJ NN NN,NNP NN NN,NN NN NN,NN NN NN
381,transmission mode,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
382,guard interval,NN NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
383,bandwidth,NN,NN,NN,NN,JJ,NN,NN
384,lp code rate,FW NN NN,JJ NN NN,NNP NN NN,VB NN NN,JJ NN NN,NN NN NN,NN NN NN
385,hier,NNP,NN,JJR,RBR,NN,UH,NNP
386,band width,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
387,device,NN,NN,NN,NN,NN,NN,NN
388,speed,NN,NN,NN,NN,NN,NN,NN
389,ext,NNP,NN,NN,NN,NNP,RB,NN
390,sig,NN,NN,NN,NN,NN,UH,NN
391,aid,NNP,NN,NN,NN,NN,NN,NN
392,sid,NNP,NN,NNP,NN,VB,NN,NN
393,cr,FW,NN,NNP,NN,NNP,NN,LS
394,mod string,NN NN,NN NN,JJ NN,JJ NN,NNP NN,JJ NN,NN NN
